 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Men som forligspartner at skulle forsvare det, som der er lagt op til her, og som  ligger i forlængelse af tåbelige skatter som multimedieskat og strafafgift til dieselbilejere, vil vi ikke stå model til, og derfor stemmer vi, som vi gør.
1-1	Men	men	CC:----:--:----	
1-2	som	som	US:----:--:----	
1-3	forligspartner	forligspartner	NC:siuc:--:----	
1-4	at	at	UI:----:--:----	
1-5	skulle	skulle	VI:----:-a:----	
1-6	forsvare	forsvare	VI:----:-a:----	
1-7	det	det	PP:s-un:--:-3n-	
1-8	,	,	ZD	
1-9	som	som	US:----:--:----	
1-10	der	der	US:----:--:----	
1-11	er	være	VF:----:sa:----	
1-12	lagt	lægge	VT:siu#:t-:----	
1-13	op	op	D-:----:--:u---	
1-14	til	til	T-:----:--:----	
1-15	her	her	D-:----:--:u---	
1-16	,	,	ZD	
1-17	og	og	CC:----:--:----	
1-18	som	som	US:----:--:----	
1-19	ligger	ligge	VF:----:sa:----	
1-20	i	i	T-:----:--:----	
1-21	forlængelse	forlængelse	NC:siuc:--:----	
1-22	af	af	T-:----:--:----	
1-23	tåbelige	tåbelig	AC:p#u#:--:p---	
1-24	skatter	skat	NC:piu#:--:----	
1-25	som	som	US:----:--:----	
1-26	multimedieskat	multimedieskat	NC:siuc:--:----	
1-27	og	og	CC:----:--:----	
1-28	strafafgift	strafafgift	NC:siuc:--:----	
1-29	til	til	T-:----:--:----	
1-30	dieselbilejere	dieselbilejer	NC:piu#:--:----	
1-31	,	,	ZD	
1-32	vil	ville	VF:----:sa:----	
1-33	vi	vi	PP:p-nc:--:-1n-	
1-34	ikke	ikke	D-:----:--:u---	
1-35	stå	stå	VI:----:-a:----	
1-36	model	model|model-1|model-F-stå-model-til|model-6-6a|model-5|model-4|model-3|model-2|model-1a	NC:siuc:--:----	
1-37	til	til	T-:----:--:----	
1-38	,	,	ZD	
1-39	og	og	CC:----:--:----	
1-40	derfor	derfor	D-:----:--:u---	
1-41	stemmer	stemme	VF:----:sa:----	
1-42	vi	vi	PP:p-nc:--:-1n-	
1-43	,	,	ZD	
1-44	som	som	US:----:--:----	
1-45	vi	vi	PP:p-nc:--:-1n-	
1-46	gør	gøre	VF:----:sa:----	
1-47	.	.	ZP	

#id=2
#text= Jeg vil bare i al stilfærdighed sige, at den danske arbejdsmarkedsmodel, flexicuritysystemet, jo ikke er en statisk model.
2-1	Jeg	jeg	PP:s-nc:--:-1n-	
2-2	vil	ville	VF:----:sa:----	
2-3	bare	bare	:----:--:u---	
2-4	i	i	T-:----:--:----	
2-5	al	al	PI:s-uc:--:----	
2-6	stilfærdighed	stilfærdighed	NC:siuc:--:----	
2-7	sige	sige	VI:----:-a:----	
2-8	,	,	ZD	
2-9	at	at	CS:----:--:----	
2-10	den	den	PM:s-uc:--:----	
2-11	danske	dansk	AC:sdu#:--:p---	
2-12	arbejdsmarkedsmodel	arbejdsmarkedsmodel	NC:siuc:--:----	
2-13	,	,	ZD	
2-14	flexicuritysystemet	flexicuritysystem	NC:sdun:--:----	
2-15	,	,	ZD	
2-16	jo	jo	D-:----:--:u---	
2-17	ikke	ikke	D-:----:--:u---	
2-18	er	være	VF:----:sa:----	
2-19	en	en	PI:s-uc:--:----	
2-20	statisk	statisk	AC:siu§:--:p---	
2-21	model	model|model-1a|model-1|model-5|model-4|model-3|model-2|model-F-stå-model-til|model-6-6a	NC:siuc:--:----	
2-22	.	.	ZP	

#id=3
#text= Kristen Touborg ville bakke op om, fordi det faktisk er en god, motiverende model.
3-1	Kristen	kristen	AC:siuc:--:p---	
3-2	Touborg	Touborg	NP:siu#:--:----	
3-3	ville	ville	VF:----:ta:----	
3-4	bakke	bakke	VI:----:-a:----	
3-5	op	op	D-:----:--:u---	
3-6	om	om	T-:----:--:----	
3-7	,	,	ZD	
3-8	fordi	fordi	CS:----:--:----	
3-9	det	det	PP:s-un:--:-3n-	
3-10	faktisk	faktisk	AD:----:--:p---	
3-11	er	være	VF:----:sa:----	
3-12	en	en	PI:s-uc:--:----	
3-13	god	god	AC:siuc:--:p---	
3-14	,	,	ZD	
3-15	motiverende	motivere	VP:##u#:s-:----	
3-16	model	model|model-3|model-2|model-1a|model-1|model-F-stå-model-til|model-6-6a|model-5|model-4	NC:siuc:--:----	
3-17	.	.	ZP	

#id=4
