 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Men sådan er prisklassen konkret, og de fleste modeller bliver ofte kun produceret i et meget lille antal.
1-1	Men	men	CC:----:--:----	
1-2	sådan	sådan	D-:----:--:u---	
1-3	er	være	VF:----:sa:----	
1-4	prisklassen	prisklasse	NC:sduc:--:----	
1-5	konkret	konkret	AD:----:--:p---	
1-6	,	,	ZD	
1-7	og	og	CC:----:--:----	
1-8	de	den	PM:p-u#:--:----	
1-9	fleste	mange	AC:p#u#:--:s---	
1-10	modeller	model|model-1|model-2|model-6-6a|model-F-stå-model-til|model-5|model-4|model-3|model-1a	NC:piu#:--:----	
1-11	bliver	blive	VF:----:sa:----	
1-12	ofte	ofte	D-:----:--:u---	
1-13	kun	kun	D-:----:--:u---	
1-14	produceret	producere	VT:siu#:t-:----	
1-15	i	i	T-:----:--:----	
1-16	et	en	PI:s-un:--:----	
1-17	meget	megen	AD:----:--:p---	
1-18	lille	lille	AC:s§u§:--:p---	
1-19	antal	antal	NC:siun:--:----	
1-20	.	.	ZP	

#id=2
#text= Specielt de japanske cosplay modeller, men i denne omgang holder jeg mig til de to, for tiden mest populære shounen serier:
2-1	Specielt	speciel	AD:----:--:p---	
2-2	de	de	PP:p-n#:--:-3n-	
2-3	japanske	japansk	AC:sdu#:--:p---	
2-4	cosplay	cosplaY	NC:siun:--:----	
2-5	modeller	model|model-1a|model-2|model-4|model-6-6a|model-F-stå-model-til|model-5|model-3|model-1	NC:piu#:--:----	
2-6	,	,	ZD	
2-7	men	men	CC:----:--:----	
2-8	i	i	T-:----:--:----	
2-9	denne	denne	PM:s-uc:--:----	
2-10	omgang	omgang	NC:siuc:--:----	
2-11	holder	holde	VF:----:sa:----	
2-12	jeg	jeg	PP:s-nc:--:-1n-	
2-13	mig	jeg	PP:s-uc:--:-1#-	
2-14	til	til	T-:----:--:----	
2-15	de	den	PM:p-u#:--:----	
2-16	to	to	LC:--u-:--:----	
2-17	,	,	ZD	
2-18	for	for	T-:----:--:----	
2-19	tiden	tiden	XY:----:--:----	
2-20	mest	megen	AD:----:--:s---	
2-21	populære	populær	:--:p---	
2-22	shounen	shounen	PI:s-uc:--:----	
2-23	serier	serie	NC:piu#:--:----	
2-24	:	:	ZP	

