 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexi | Tag
#id=1
#text=Kommer i tre modeller:
1-1	Kommer	komme	VF:----:sa:----	_	
1-2	i	i	T-:----:--:----	_	
1-3	tre	tre	LC:--u-:--:----	_	
1-4	modeller	model|1|model-5|model-4|model-3|model-2|model-1a|model-F-stå-model-til|model-6-6a	NC:piu#:--:----	model_2	
1-5	:	:	ZP	_	

#id=2
#text=Erik og Anni i sladderpressen Derimod er han sammen med den tidligere Playboy-model og massagepige Anni Fønsby blevet del af den mere kulørte del af erhvervslivet, som ikke er bleg for en tur i retten.
2-1	Erik	Erik	NP:siu#:--:----	_	
2-2	og	og	CC:----:--:----	_	
2-3	Anni	Anni	NP:siu#:--:----	_	
2-4	i	i	T-:----:--:----	_	
2-5	sladderpressen	sladderpresse	NC:sduc:--:----	_	
2-6	Derimod	derimod	D-:----:--:u---	_	
2-7	er	være	VF:----:sa:----	_	
2-8	han	han	PP:s-nc:--:-3n-	_	
2-9	sammen	sammen	D-:----:--:u---	_	
2-10	med	med	T-:----:--:----	_	
2-11	den	den	PM:s-uc:--:----	_	
2-12	tidligere	tidlig	AC:##u#:--:c---	_	
2-13	Playboy	playboy	NW:----:--:----	_	
2-14	-	-	ZH	_	
2-15	model	model|model-1a|model-1|model-F-stå-model-til|model-6-6a|model-5|model-4|model-3|model-2	NC:siuc:--:----	model_6a	
2-16	og	og	CC:----:--:----	_	
2-17	massagepige	massagepige	NC:siuc:--:----	_	
2-18	Anni	Anni	NP:siu#:--:----	_	
2-19	Fønsby	Fønsby	NP:siu#:--:----	_	
2-20	blevet	blive	VT:siu#:t-:----	_	
2-21	del	del	NC:siuc:--:----	_	
2-22	af	af	T-:----:--:----	_	
2-23	den	den	PM:s-uc:--:----	_	
2-24	mere	megen	AD:----:--:c---	_	
2-25	kulørte	kulørt	AC:sdu#:--:p---	_	
2-26	del	del	NC:siuc:--:----	_	
2-27	af	af	T-:----:--:----	_	
2-28	erhvervslivet	erhvervsliv	NC:sdun:--:----	_	
2-29	,	,	ZD	_	
2-30	som	som	US:----:--:----	_	
2-31	ikke	ikke	D-:----:--:u---	_	
