 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Kommer i tre modeller:
1-1	Kommer	komme	VF:----:sa:----	
1-2	i	i	T-:----:--:----	
1-3	tre	tre	LC:--u-:--:----	
1-4	modeller	model|1|model-5|model-4|model-3|model-2|model-1a|model-F-stå-model-til|model-6-6a	NC:piu#:--:----	
1-5	:	:	ZP	

#id=2
#text=Erik og Anni i sladderpressen Derimod er han sammen med den tidligere Playboy-model og massagepige Anni Fønsby blevet del af den mere kulørte del af erhvervslivet, som ikke er bleg for en tur i retten.
2-1	Erik	Erik	NP:siu#:--:----	
2-2	og	og	CC:----:--:----	
2-3	Anni	Anni	NP:siu#:--:----	
2-4	i	i	T-:----:--:----	
2-5	sladderpressen	sladderpresse	NC:sduc:--:----	
2-6	Derimod	derimod	D-:----:--:u---	
2-7	er	være	VF:----:sa:----	
2-8	han	han	PP:s-nc:--:-3n-	
2-9	sammen	sammen	D-:----:--:u---	
2-10	med	med	T-:----:--:----	
2-11	den	den	PM:s-uc:--:----	
2-12	tidligere	tidlig	AC:##u#:--:c---	
2-13	Playboy	playboy	NW:----:--:----	
2-14	-	-	ZH	
2-15	model	model|model-1a|model-1|model-F-stå-model-til|model-6-6a|model-5|model-4|model-3|model-2	NC:siuc:--:----	
2-16	og	og	CC:----:--:----	
2-17	massagepige	massagepige	NC:siuc:--:----	
2-18	Anni	Anni	NP:siu#:--:----	
2-19	Fønsby	Fønsby	NP:siu#:--:----	
2-20	blevet	blive	VT:siu#:t-:----	
2-21	del	del	NC:siuc:--:----	
2-22	af	af	T-:----:--:----	
2-23	den	den	PM:s-uc:--:----	
2-24	mere	megen	AD:----:--:c---	
2-25	kulørte	kulørt	AC:sdu#:--:p---	
2-26	del	del	NC:siuc:--:----	
2-27	af	af	T-:----:--:----	
2-28	erhvervslivet	erhvervsliv	NC:sdun:--:----	
2-29	,	,	ZD	
2-30	som	som	US:----:--:----	
2-31	ikke	ikke	D-:----:--:u---	
2-32	er	være	VF:----:sa:----	
2-33	bleg	bleg	AC:siuc:--:p---	
2-34	for	for	T-:----:--:----	
2-35	en	en	PI:s-uc:--:----	
2-36	tur	tur	NC:siuc:--:----	
