 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lex | Tag
#id=1
#text=Der er nemlig et fuldstændigt uhindret udsyn bagud i den farlige cyklistvinkel, og da sidespejlene er et par store, regulære plader, kan man tydeligt se, hvad der foregår rundt om bilen.
1-1	Der	der	US:----:--:----	_	
1-2	er	være	VF:----:sa:----	_	
1-3	nemlig	nemlig	D-:----:--:u---	_	
1-4	et	en	PI:s-un:--:----	_	
1-5	fuldstændigt	fuldstændig	AC:siun:--:p---	_	
1-6	uhindret	uhindret	AC:siun:--:p---	_	
1-7	udsyn	udsyn	NC:siun:--:----	_	
1-8	bagud	bagud	D-:----:--:u---	_	
1-9	i	i	T-:----:--:----	_	
1-10	den	den	PM:s-uc:--:----	_	
1-11	farlige	farlig	AC:sdu#:--:p---	_	
1-12	cyklistvinkel	cyklistvinkel	NC:siuc:--:----	_	
1-13	,	,	ZD	_	
1-14	og	og	CC:----:--:----	_	
1-15	da	da	CS:----:--:----	_	
1-16	sidespejlene	sidespejl	NC:pdu#:--:----	_	
1-17	er	være	VF:----:sa:----	_	
1-18	et	en	PI:s-un:--:----	_	
1-19	par	par	NC:siun:--:----	_	
1-20	store	stor	AC:p#u#:--:p---	_	
1-21	,	,	ZD	_	
1-22	regulære	regulær	AC:p#u#:--:p---	_	
1-23	plader	plade	NC:piu#:--:----	plade_1	
1-24	,	,	ZD	_	
1-25	kan	kunne	VF:----:sa:----	_	
1-26	man	man	PI:#-uc:--:----	_	
1-27	tydeligt	tydelig	AD:----:--:p---	_	
1-28	se	se	VI:----:-a:----	_	
1-29	,	,	ZD	_	
1-30	hvad	hvad	PR:s-u#:--:----	_	
1-31	der	der	US:----:--:----	_	
1-32	foregår	foregå	VF:----:sa:----	_	
1-33	rundt	rundt	D-:----:--:u---	_	
1-34	om	om	T-:----:--:----	_	
1-35	bilen	bil	NC:sduc:--:----	_	
1-36	.	.	ZP	_	

#id=2
#text= Godt nok er manden bag pladen, produceren Rick Rubin, ikke så lidt af en tryllekunstner, men selv ikke han kan formentlig få Johnny Cash til at genopstå fra graven.
2-1	Godt	god	AD:----:--:p---	_	
2-2	nok	nok	D-:----:--:u---	_	
2-3	er	være	VF:----:sa:----	_	
2-4	manden	mand	NC:sduc:--:----	_	
2-5	bag	bag	T-:----:--:----	_	
2-6	pladen	plade	NC:sduc:--:----	plade_2	
2-7	,	,	ZD	_	
2-8	produceren	producer	NC:sduc:--:----	_	
2-9	Rick	Rick	NP:siu#:--:----	_	
2-10	Rubin	rubin	NC:siuc:--:----	_	
2-11	,	,	ZD	_	
2-12	ikke	ikke	D-:----:--:u---	_	
2-13	så	så	D-:----:--:u---	_	
2-14	lidt	lidt	AD:----:--:p---	_	
2-15	af	af	T-:----:--:----	_	
2-16	en	en	PI:s-uc:--:----	_	
2-17	tryllekunstner	tryllekunstner	NC:siuc:--:----	_	
2-18	,	,	ZD	_	
2-19	men	men	CC:----:--:----	_	
2-20	selv	selv	D-:----:--:u---	_	
2-21	ikke	ikke	D-:----:--:u---	_	
2-22	han	han	PP:s-nc:--:-3n-	_	
2-23	kan	kunne	VF:----:sa:----	_	
2-24	formentlig	formentlig	AD:----:--:p---	_	
2-25	få	få	VI:----:-a:----	_	
2-26	Johnny	Johnny	XY:----:--:----	_	
2-27	Cash	cash	NC:siu#:--:----	_	
2-28	til	til	T-:----:--:----	_	
2-29	at	at	UI:----:--:----	_	
2-30	genopstå	genopstå	VI:----:-a:----	_	
2-31	fra	fra	T-:----:--:----	_	
2-32	graven	grav	NC:sduc:--:----	_	
2-33	.	.	ZP	_	

#id=3
#text= Det er sådan en gammel funky plade med en fantastisk god energi.
3-1	Det	det	PP:s-un:--:-3n-	_	
3-2	er	være	VF:----:sa:----	_	
3-3	sådan	sådan	D-:----:--:u---	_	
3-4	en	en	PI:s-uc:--:----	_	
3-5	gammel	gammel	AC:siuc:--:p---	_	
3-6	funky	funky	AD:----:--:p---	_	
3-7	plade	plade	NC:siuc:--:----	plade_2a	
3-8	med	med	T-:----:--:----	_	
3-9	en	en	PI:s-uc:--:----	_	
3-10	fantastisk	fantastisk	AC:siu§:--:p---	_	
3-11	god	god	AC:siuc:--:p---	_	
3-12	energi	energi	NC:siuc:--:----	_	
3-13	.	.	ZP	_	

#id=4
#text= Nu har også lækkerlydslabelen ECM opdaget det, og producer Manfred Eicher har sikkert sin del af æren for, at pladen  ' Stone in the Water ' holder topniveau fra start til slut.
4-1	Nu	nu	D-:----:--:u---	_	
4-2	har	have	VF:----:sa:----	_	
4-3	også	også	D-:----:--:u---	_	
4-4	lækkerlydslabelen	lækkerlydslabel	NC:sduc:--:----	_	
4-5	ECM	ECM	NP:siu#:--:----	_	
4-6	opdaget	opdage	VT:siu#:t-:----	_	
4-7	det	det	PP:s-un:--:-3n-	_	
4-8	,	,	ZD	_	
4-9	og	og	CC:----:--:----	_	
4-10	producer	produce	VF:----:sa:----	_	
4-11	Manfred	Manfred	NP:siu#:--:----	_	
4-12	Eicher	Eicher	NP:siu#:--:----	_	
4-13	har	have	VF:----:sa:----	_	
4-14	sikkert	sikker	AD:----:--:p---	_	
4-15	sin	sin	PO:s--c:--:-3ys	_	
4-16	del	del	NC:siuc:--:----	_	
4-17	af	af	T-:----:--:----	_	
4-18	æren	ær	NC:sduc:--:----	_	
4-19	for	for	T-:----:--:----	_	
4-20	,	,	ZD	_	
4-21	at	at	CS:----:--:----	_	
4-22	pladen	plade	NW:----:--:----	plade_2	
4-23	'	'	ZA	_	
4-24	Stone	Stones	NP:siu#:--:----	_	
4-25	in	In	XF:----:--:----	_	
4-26	the	the	XF:----:--:----	_	
4-27	Water	Water	XF:----:--:----	_	
4-28	'	'	ZA	_	
4-29	holder	holde	VF:----:sa:----	_	
4-30	topniveau	topniveau	NC:siun:--:----	_	
4-31	fra	fra	T-:----:--:----	_	
4-32	start	start	NC:siuc:--:----	_	
4-33	til	til	T-:----:--:----	_	
4-34	slut	slut	NC:§§u§:--:----	_	
4-35	.	.	ZP	_	

#id=5
#text=En smuk, vægtløs plade med lutter langsomme numre.
5-1	En	en	PI:s-uc:--:----	_	
5-2	smuk	smuk	AC:siuc:--:p---	_	
5-3	,	,	ZD	_	
5-4	vægtløs	vægtløs	AC:siuc:--:p---	_	
5-5	plade	plade	NC:siuc:--:----	plade_2a	
5-6	med	med	T-:----:--:----	_	
5-7	lutter	lutter	AC:§§u§:--:p---	_	
5-8	langsomme	langsom	AC:p#u#:--:p---	_	
5-9	numre	nummer	NC:piu#:--:----	_	
5-10	.	.	ZP	_	

#id=6
#text=Udsendte sin første plade som 17-årig.
6-1	Udsendte	udsende	VF:----:ta:----	_	
6-2	sin	sin	PO:s--c:--:-3ys	_	
6-3	første	første	AC:§§u§:--:p---	_	
6-4	plade	plade	NC:siuc:--:----	plade_2	
6-5	som	som	US:----:--:----	_	
6-6	17	17	LW:----:--:----	_	
6-7	-	-	ZH	_	
6-8	årig	årig	AC:siuc:--:p---	_	
6-9	.	.	ZP	_	

#id=7
#text=Siden har han solgt over 100 millioner plader.
7-1	Siden	siden	D-:----:--:u---	_	
7-2	har	have	VF:----:sa:----	_	
7-3	han	han	PP:s-nc:--:-3n-	_	
7-4	solgt	sælge	VT:siu#:t-:----	_	
7-5	over	over	T-:----:--:----	_	
7-6	100	100	LC:--u-:--:----	_	
7-7	millioner	million	NC:piu#:--:----	_	
7-8	plader	plade	NC:piu#:--:----	plade_2	
7-9	.	.	ZP	_	

#id=8
#text=Den elegante tyske sangerinde Anne Schwanewilms synger sig dramatisk og alligevel fjerlet igennem den ene kærlighedsforvikling efter den anden på en ny hypnotisk plade med Olivier Messiaens farverige musik.
8-1	Den	den	PM:s-uc:--:----	_	
8-2	elegante	elegant	AC:sdu#:--:p---	_	
8-3	tyske	tysk	AC:sdu#:--:p---	_	
8-4	sangerinde	sangerinde	NC:siuc:--:----	_	
8-5	Anne	Anne	NP:siu#:--:----	_	
8-6	Schwanewilms	Schwanewilms	NP:siu#:--:----	_	
8-7	synger	synge	VF:----:sa:----	_	
8-8	sig	sig	PP:#-u#:--:-3y-	_	
8-9	dramatisk	dramatisk	AC:siu§:--:p---	_	
8-10	og	og	CC:----:--:----	_	
8-11	alligevel	alligevel	D-:----:--:u---	_	
8-12	fjerlet	fjerlet	AD:----:--:p---	_	
8-13	igennem	igennem	T-:----:--:----	_	
8-14	den	den	PM:s-uc:--:----	_	
8-15	ene	ene	AC:§§u§:--:p---	_	
8-16	kærlighedsforvikling	kærlighedsforvikling	NC:siuc:--:----	_	
8-17	efter	efter	T-:----:--:----	_	
8-18	den	den	PM:s-uc:--:----	_	
8-19	anden	anden	PI:s-uc:--:----	_	
8-20	på	på	T-:----:--:----	_	
8-21	en	en	PI:s-uc:--:----	_	
8-22	ny	ny	AC:siuc:--:p---	_	
8-23	hypnotisk	hypnotisk	AC:siuc:--:p---	_	
8-24	plade	plade	NC:siuc:--:----	plade_2a	
8-25	med	med	T-:----:--:----	_	
8-26	Olivier	Olivier	NP:siu#:--:----	_	
8-27	Messiaens	Messiaen	NP:sig#:--:----	_	
8-28	farverige	farverig	AC:sdu#:--:p---	_	
8-29	musik	musik	NC:siuc:--:----	_	
8-30	.	.	ZP	_	

#id=9
#text=Ja, huset ser næsten ud, som om det er hugget ud af en klippe, så fint er pladerne skåret og monteret i respekt for linjerne i stenene.
9-1	Ja	ja	I-:----:--:----	_	
9-2	,	,	ZD	_	
9-3	huset	hus	NC:sdun:--:----	_	
9-4	ser	se	VF:----:sa:----	_	
9-5	næsten	næsten	D-:----:--:u---	_	
9-6	ud	ud	D-:----:--:u---	_	
9-7	,	,	ZD	_	
9-8	som	som	US:----:--:----	_	
9-9	om	om	T-:----:--:----	_	
9-10	det	det	PP:s-un:--:-3n-	_	
9-11	er	være	VF:----:sa:----	_	
9-12	hugget	hugge	VT:siu#:t-:----	_	
9-13	ud	ud	D-:----:--:u---	_	
9-14	af	af	T-:----:--:----	_	
9-15	en	en	PI:s-uc:--:----	_	
9-16	klippe	klippe	NC:siuc:--:----	_	
9-17	,	,	ZD	_	
9-18	så	så	-	_	
9-19	fint	fin	AD:----:--:p---	_	
9-20	er	være	VF:----:sa:----	_	
9-21	pladerne	plade	NC:pdu#:--:----	plade_1	
9-22	skåret	skår	NC:sdun:--:----	_	
9-23	og	og	CC:----:--:----	_	
9-24	monteret	montere	VT:siu#:t-:----	_	
9-25	i	i	T-:----:--:----	_	
9-26	respekt	respekt	NC:siuc:--:----	_	
9-27	for	for	T-:----:--:----	_	
9-28	linjerne	linje	NC:pdu#:--:----	_	
9-29	i	i	T-:----:--:----	_	
9-30	stenene	sten	NC:pdu#:--:----	_	
9-31	.	.	ZP	_	

#id=10
#text="Overspillet fra en plade, jeg bragte ind i kollektivet", triumferer han.
10-1	"	"	ZI	_	
10-2	Overspillet	overspil	NC:sdun:--:----	_	
10-3	fra	fra	T-:----:--:----	_	
10-4	en	en	PI:s-uc:--:----	_	
10-5	plade	plade	NC:siuc:--:----	plade_2	
10-6	,	,	ZD	_	
10-7	jeg	jeg	PP:s-nc:--:-1n-	_	
10-8	bragte	bringe	VF:----:ta:----	_	
10-9	ind	ind	D-:----:--:u---	_	
10-10	i	i	T-:----:--:----	_	
10-11	kollektivet	kollektiv	NC:sdun:--:----	_	
10-12	"	"	ZI	_	
10-13	,	,	ZD	_	
10-14	triumferer	triumfere	VF:----:sa:----	_	
10-15	han	han	PP:s-nc:--:-3n-	_	
10-16	.	.	ZP	_	

#id=11
#text= De ville ikke høre Anders' Leonard Cohen-plader.
11-1	De	de	PP:p-n#:--:-3n-	_	
11-2	ville	ville	VF:----:ta:----	_	
11-3	ikke	ikke	D-:----:--:u---	_	
11-4	høre	høre	VI:----:-a:----	_	
11-5	Anders	Anders	NP:siu#:--:----	_	
11-6	'	'	ZA	_	
11-7	Leonard	Leonard	NP:siu#:--:----	_	
11-8	Cohen	Cohen	NW:----:--:----	_	
11-9	-	-	ZH	_	
11-10	plader	plade	NC:piu#:--:----	plade_2a	
11-11	.	.	ZP	_	

#id=12
#text=Dvd'en rummer en rolig, smukt udfoldet dokumentarfilm af instruktøren Sune Blicher om indspilningen af pladen.
12-1	Dvd	dvd	NC:siuc:--:----	_	
12-2	'	'	ZA	_	
12-3	en	@en	MN:sduc:--:----	_	
12-4	rummer	rumme	VF:----:sa:----	_	
12-5	en	en	PI:s-uc:--:----	_	
12-6	rolig	rolig	AC:siuc:--:p---	_	
12-7	,	,	ZD	_	
12-8	smukt	smuk	AD:----:--:p---	_	
12-9	udfoldet	udfolde	VT:siu#:t-:----	_	
12-10	dokumentarfilm	dokumentarfilm	NC:siuc:--:----	_	
12-11	af	af	T-:----:--:----	_	
12-12	instruktøren	instruktør	NC:sduc:--:----	_	
12-13	Sune	Sune	NP:siu#:--:----	_	
12-14	Blicher	Blicher	NP:siu#:--:----	_	
12-15	om	om	T-:----:--:----	_	
12-16	indspilningen	indspilning	NC:sduc:--:----	_	
12-17	af	af	T-:----:--:----	_	
12-18	pladen	plade	NC:sduc:--:----	plade_2	
12-19	.	.	ZP	_	

#id=13
#text= Som det fremgår af filmen, er det alderspræsidenten Lee Konitz, der til lejligheden opfinder svaret og dermed pladens titel i form af verbet balladeering.
13-1	Som	som	US:----:--:----	_	
13-2	det	det	PP:s-un:--:-3n-	_	
13-3	fremgår	fremgå	VF:----:sa:----	_	
13-4	af	af	T-:----:--:----	_	
13-5	filmen	film	NC:sduc:--:----	_	
13-6	,	,	ZD	_	
13-7	er	være	VF:----:sa:----	_	
13-8	det	det	PP:s-un:--:-3n-	_	
13-9	alderspræsidenten	alderspræsident	NC:sduc:--:----	_	
13-10	Lee	Lee	NP:siu#:--:----	_	
13-11	Konitz	Konitz	NP:siu#:--:----	_	
13-12	,	,	ZD	_	
13-13	der	der	US:----:--:----	_	
13-14	til	til	T-:----:--:----	_	
13-15	lejligheden	lejlighed	NC:sduc:--:----	_	
13-16	opfinder	opfinde	VF:----:sa:----	_	
13-17	svaret	svar	NC:sdun:--:----	_	
13-18	og	og	CC:----:--:----	_	
13-19	dermed	dermed	D-:----:--:u---	_	
13-20	pladens	plade	NC:sdgc:--:----	plade_2	
13-21	titel	titel	NC:siuc:--:----	_	
13-22	i	i	T-:----:--:----	_	
13-23	form	form	NC:siuc:--:----	_	
13-24	af	af	T-:----:--:----	_	
13-25	verbet	verbum	NC:sdun:--:----	_	
13-26	balladeering	balladeering	NC:siuc:--:----	_	
13-27	.	.	ZP	_	

#id=14
#text=Som Jakob Bro siger et sted i filmen, så endte Lee Konitz' dæmpede altsax med at blive kernen på en plade, der med sin afspændte skønhed hensætter lytteren i en tilstand af noget, som godt kan nærme sig lykke.
14-1	Som	som	US:----:--:----	_	
14-2	Jakob	Jakob	NP:siu#:--:----	_	
14-3	Bro	bro	NC:siuc:--:----	_	
14-4	siger	sige	VF:----:sa:----	_	
14-5	et	en	PI:s-un:--:----	_	
14-6	sted	sted	NC:siun:--:----	_	
14-7	i	i	T-:----:--:----	_	
14-8	filmen	film	NC:sduc:--:----	_	
14-9	,	,	ZD	_	
14-10	så	så	D-:----:--:u---	_	
14-11	endte	ende	VF:----:ta:----	_	
14-12	Lee	Lee	NP:siu#:--:----	_	
14-13	Konitz	Konitz	NP:siu#:--:----	_	
14-14	'	'	ZA	_	
14-15	dæmpede	dæmpe	VP:sdu#:t-:----	_	
14-16	altsax	altsax	NC:siuc:--:----	_	
14-17	med	med	T-:----:--:----	_	
14-18	at	at	UI:----:--:----	_	
14-19	blive	blive	VI:----:-a:----	_	
14-20	kernen	kerne	NC:sduc:--:----	_	
14-21	på	på	T-:----:--:----	_	
14-22	en	en	PI:s-uc:--:----	_	
14-23	plade	plade	NC:siuc:--:----	plade_2a	
14-24	,	,	ZD	_	
14-25	der	der	US:----:--:----	_	
14-26	med	med	T-:----:--:----	_	
14-27	sin	sin	PO:s--c:--:-3ys	_	
14-28	afspændte	afspænde	VP:sdu#:t-:----	_	
14-29	skønhed	skønhed	NC:siuc:--:----	_	
14-30	hensætter	hensætte	VF:----:sa:----	_	
14-31	lytteren	lytter	NC:sduc:--:----	_	
14-32	i	i	T-:----:--:----	_	
14-33	en	en	PI:s-uc:--:----	_	
14-34	tilstand	tilstand	NC:siuc:--:----	_	
14-35	af	af	T-:----:--:----	_	
14-36	noget	nogen	PI:s-un:--:----	_	
14-37	,	,	ZD	_	
14-38	som	som	US:----:--:----	_	
14-39	godt	god	AD:----:--:p---	_	
14-40	kan	kunne	VF:----:sa:----	_	
14-41	nærme	nærme	VI:----:-a:----	_	
14-42	sig	sig	PP:#-u#:--:-3y-	_	
