 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Denne gang blev bolden spillet frem mod Bjørn Runström, der fik tid og plads af AaB-forsvareren  til at spille bolden videre til Espen Ruud, som kunne vippe bolden ind i feltet, hvor en fremstormende Hans Henrik Andreasen nikkede bolden sikkert i mål, også denne aktion for anden kamp i træk.
1-1	Denne	denne	PM:s-uc:--:----	_	
1-2	gang	gang	NC:siuc:--:----	_	
1-3	blev	blive	VF:----:ta:----	_	
1-4	bolden	bold	NC:sduc:--:----	_	
1-5	spillet	spille	VT:siu#:t-:----	_	
1-6	frem	frem	D-:----:--:u---	_	
1-7	mod	mod	T-:----:--:----	_	
1-8	Bjørn	Bjørn	NP:siu#:--:----	_	
1-9	Runström	Runström	NP:siu#:--:----	_	
1-10	,	,	ZD	_	
1-11	der	der	US:----:--:----	_	
1-12	fik	få	VF:----:ta:----	_	
1-13	tid	tid	NC:siuc:--:----	_	
1-14	og	og	CC:----:--:----	_	
1-15	plads	plads|plads-4-4a|plads-3-3a|plads-2b-2c|plads-2-2a|plads-1a|plads-1|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5	NC:siuc:--:----	plads-1	
1-16	af	af	T-:----:--:----	_	
1-17	AaB	AaB	NW:----:--:----	_	
1-18	-	-	ZH	_	
1-19	forsvareren	forsvarer	NC:sduc:--:----	_	
1-20	til	til	T-:----:--:----	_	
1-21	at	at	UI:----:--:----	_	
1-22	spille	spille	VI:----:-a:----	_	
1-23	bolden	bold	NC:sduc:--:----	_	
1-24	videre	videre	D-:----:--:u---	_	
1-25	til	til	T-:----:--:----	_	
1-26	Espen	Espen	NC:sduc:--:----	_	
1-27	Ruud	Ruud	NP:siu#:--:----	_	
1-28	,	,	ZD	_	
1-29	som	som	US:----:--:----	_	
1-30	kunne	kunne	VF:----:ta:----	_	
1-31	vippe	vippe	VI:----:-a:----	_	
1-32	bolden	bold	NC:sduc:--:----	_	
1-33	ind	ind	D-:----:--:u---	_	
1-34	i	i	T-:----:--:----	_	
1-35	feltet	felt	NC:sdun:--:----	_	
1-36	,	,	ZD	_	
1-37	hvor	hvor	D-:----:--:u---	_	
1-38	en	en	PI:s-uc:--:----	_	
1-39	fremstormende	fremstorme	VP:##u#:s-:----	_	
1-40	Hans	Hans	NP:siu#:--:----	_	
1-41	Henrik	Henrik	NP:siu#:--:----	_	
1-42	Andreasen	Andreasen	NP:siu#:--:----	_	
1-43	nikkede	nikke	VF:----:ta:----	_	
1-44	bolden	bold	NC:sduc:--:----	_	
1-45	sikkert	sikker	AD:----:--:p---	_	
1-46	i	i	T-:----:--:----	_	
1-47	mål	mål	NC:siun:--:----	_	
1-48	,	,	ZD	_	
1-49	også	også	D-:----:--:u---	_	
1-50	denne	denne	PM:s-uc:--:----	_	
1-51	aktion	aktion	NC:siuc:--:----	_	
1-52	for	for	T-:----:--:----	_	
1-53	anden	anden	PI:s-uc:--:----	_	
1-54	kamp	kamp	NC:siuc:--:----	_	
1-55	i	i	T-:----:--:----	_	
1-56	træk	træk	NC:siuc:--:----	_	
1-57	.	.	ZP	_	

#id=2
#text= Efter et point i de seneste tre kampe rykkede AC Horsens med sejren over Vejle og dermed på den rigtige side af nedrykningsstregen, og Vejle skal vinde over FC København i Parken i morgen for at tilbageerobre 10.-pladsen.
2-1	Efter	efter	T-:----:--:----	_	
2-2	et	en	PI:s-un:--:----	_	
2-3	point	point	NC:siun:--:----	_	
2-4	i	i	T-:----:--:----	_	
2-5	de	den	PM:p-u#:--:----	_	
2-6	seneste	sen	AC:§du§:--:s---	_	
2-7	tre	tre	LC:--u-:--:----	_	
2-8	kampe	kamp	NC:piu#:--:----	_	
2-9	rykkede	rykke	VF:----:ta:----	_	
2-10	AC	AC	NP:siu#:--:----	_	
2-11	Horsens	Horsens	NP:siu#:--:----	_	
2-12	med	med	T-:----:--:----	_	
2-13	sejren	sejr	NC:sduc:--:----	_	
2-14	over	over	T-:----:--:----	_	
2-15	Vejle	Vejle	NP:siu#:--:----	_	
2-16	og	og	CC:----:--:----	_	
2-17	dermed	dermed	D-:----:--:u---	_	
2-18	på	på	T-:----:--:----	_	
2-19	den	den	PM:s-uc:--:----	_	
2-20	rigtige	rigtig	AC:sdu#:--:p---	_	
2-21	side	side	NC:siuc:--:----	_	
2-22	af	af	T-:----:--:----	_	
2-23	nedrykningsstregen	nedrykningsstreg	NC:sduc:--:----	_	
2-24	,	,	ZD	_	
2-25	og	og	CC:----:--:----	_	
2-26	Vejle	Vejle	NP:siu#:--:----	_	
2-27	skal	skulle	VF:----:sa:----	_	
2-28	vinde	vinde	VI:----:-a:----	_	
2-29	over	over	T-:----:--:----	_	
2-30	FC	FC	NP:siu#:--:----	_	
2-31	København	København	NP:siu#:--:----	_	
2-32	i	i	T-:----:--:----	_	
2-33	Parken	park	NC:sduc:--:----	_	
2-34	i	i	T-:----:--:----	_	
2-35	morgen	morgen	NC:siuc:--:----	_	
2-36	for	for	T-:----:--:----	_	
2-37	at	at	UI:----:--:----	_	
2-38	tilbageerobre	tilbageerobre	VI:----:-a:----	_	
2-39	10	10	LC:--u-:--:----	_	
2-40	.	.	ZP	_	
2-41	-	-	ZH	_	
2-42	pladsen	plads|plads-2-2a|plads-1a|plads-1|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads	NC:sduc:--:----	plads-4a	
2-43	.	.	ZP	_	

#id=3
#text= Pokalsuccesen har løftet Nordvest FCspillerne og kan bære dem videre mod sæsonens største mål, og nej, det er ikke en plads i pokalfinalen.
3-1	Pokalsuccesen	Pokalsuccesen	NP:siu#:--:----	_	
3-2	har	have	VF:----:sa:----	_	
3-3	løftet	løfte	VT:siu#:t-:----	_	
3-4	Nordvest	nordvest	D-:----:--:u---	_	
3-5	FCspillerne	FCspillerne	NP:siu#:--:----	_	
3-6	og	og	CC:----:--:----	_	
3-7	kan	kunne	VF:----:sa:----	_	
3-8	bære	bære	VI:----:-a:----	_	
3-9	dem	de	PP:p-u#:--:-3n-	_	
3-10	videre	videre	D-:----:--:u---	_	
3-11	mod	mod	T-:----:--:----	_	
3-12	sæsonens	sæson	NC:sdgc:--:----	_	
3-13	største	stor	AC:§du§:--:s---	_	
3-14	mål	mål	NC:siun:--:----	_	
3-15	,	,	ZD	_	
3-16	og	og	CC:----:--:----	_	
3-17	nej	nej	I-:----:--:----	_	
3-18	,	,	ZD	_	
3-19	det	det	PP:s-un:--:-3n-	_	
3-20	er	være	VF:----:sa:----	_	
3-21	ikke	ikke	D-:----:--:u---	_	
3-22	en	en	PI:s-uc:--:----	_	
3-23	plads	plads|plads-1a|plads-1|plads-2-2a|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-F-tage-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads	NC:siuc:--:----	plads-2b	
3-24	i	i	T-:----:--:----	_	
3-25	pokalfinalen	pokalfinale	NC:sduc:--:----	_	
3-26	.	.	ZP	_	

#id=4
#text= Feltets tredje stormester, Lars Schandorff, tog 3.-pladsen med 6,5.
4-1	Feltets	felt	NC:sdgn:--:----	_	
4-2	tredje	tre	LO:--u#:--:----	_	
4-3	stormester	stormester	NC:siuc:--:----	_	
4-4	,	,	ZD	_	
4-5	Lars	Lars	NP:siu#:--:----	_	
4-6	Schandorff	Schandorff	NP:siu#:--:----	_	
4-7	,	,	ZD	_	
4-8	tog	tage	VF:----:ta:----	_	
4-9	3	3	LC:--u-:--:----	_	
4-10	.	.	ZP	_	
4-11	-	-	ZH	_	
