 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=Men timingen og doseringen skal være rigtig; ellers risikerer vi at gøre mere skade end gavn.
1-1	Men	men	CC:----:--:----	_	
1-2	timingen	timing	NC:sduc:--:----	_	
1-3	og	og	CC:----:--:----	_	
1-4	doseringen	dosering	NC:sduc:--:----	_	
1-5	skal	skulle	VF:----:sa:----	_	
1-6	være	være	VI:----:-a:----	_	
1-7	rigtig	rigtig	AC:siuc:--:p---	_	
1-8	;	;	ZP	_	
1-9	ellers	ellers	D-:----:--:u---	_	
1-10	risikerer	risikere	VF:----:sa:----	_	
1-11	vi	vi	PP:p-nc:--:-1n-	_	
1-12	at	at	UI:----:--:----	_	
1-13	gøre	gøre	VI:----:-a:----	_	
1-14	mere	megen	AC:##u#:--:c---	_	
1-15	skade	skade	NC:siuc:--:----	skade_1_1c	
1-16	end	end	CS:----:--:----	_	
1-17	gavn	gavn	NC:siuc:--:----	_	
1-18	.	.	ZP	_	

#id=2
#text=Regeringen vil ikke tøve med at tage de yderligere initiativer, der skal til, for at Danmark kommer helskindet igennem den internationale krise, men timing og dosering skal være rigtig, ellers gør vi mere skade end gavn.
2-1	Regeringen	regering	NC:sduc:--:----	_	
2-2	vil	ville	VF:----:sa:----	_	
2-3	ikke	ikke	D-:----:--:u---	_	
2-4	tøve	tøve	VI:----:-a:----	_	
2-5	med	med	T-:----:--:----	_	
2-6	at	at	UI:----:--:----	_	
2-7	tage	tage	VI:----:-a:----	_	
2-8	de	den	PM:p-u#:--:----	_	
2-9	yderligere	yderlig	AC:##u#:--:c---	_	
2-10	initiativer	initiativ	NC:piu#:--:----	_	
2-11	,	,	ZD	_	
2-12	der	der	US:----:--:----	_	
2-13	skal	skulle	VF:----:sa:----	_	
2-14	til	til	D-:----:--:u---	_	
2-15	,	,	ZD	_	
2-16	for	for	CC:----:--:----	_	
2-17	at	at	CS:----:--:----	_	
2-18	Danmark	Danmark	NP:siu#:--:----	_	
2-19	kommer	komme	VF:----:sa:----	_	
2-20	helskindet	helskindet	AD:----:--:p---	_	
2-21	igennem	igennem	T-:----:--:----	_	
2-22	den	den	PM:s-uc:--:----	_	
2-23	internationale	international	---	_	
2-24	krise	krise	NC:siuc:--:----	_	
2-25	,	,	ZD	_	
2-26	men	men	CC:----:--:----	_	
2-27	timing	timing	NC:siuc:--:----	_	
2-28	og	og	CC:----:--:----	_	
2-29	dosering	dosering	NC:siuc:--:----	_	
2-30	skal	skulle	VF:----:sa:----	_	
2-31	være	være	VI:----:-a:----	_	
2-32	rigtig	rigtig	AC:siuc:--:p---	_	
2-33	,	,	ZD	_	
2-34	ellers	ellers	D-:----:--:u---	_	
2-35	gør	gøre	VF:----:sa:----	_	
2-36	vi	vi	PP:p-nc:--:-1n-	_	
2-37	mere	megen	AC:##u#:--:c---	_	
2-38	skade	skade	NC:siuc:--:----	skade_1_1c	
2-39	end	end	CS:----:--:----	_	
2-40	gavn	gavn	NC:siuc:--:----	_	
2-41	.	.	ZP	_	

#id=3
#text= Et sådant pålæg kan række lige fra deltagelse i visse fritidsaktiviteter til at være et pålæg om, at man skal udbedre  skaderne efter det hærværk, som man har forvoldt.
3-1	Et	en	PI:s-un:--:----	_	
3-2	sådant	sådan	AC:siun:--:p---	_	
3-3	pålæg	pålæg	NC:siun:--:----	_	
3-4	kan	kunne	VF:----:sa:----	_	
3-5	række	række	VI:----:-a:----	_	
3-6	lige	lige	D-:----:--:u---	_	
3-7	fra	fra	T-:----:--:----	_	
3-8	deltagelse	deltagelse	NC:siuc:--:----	_	
3-9	i	i	T-:----:--:----	_	
3-10	visse	vis	AC:p#u#:--:p---	_	
3-11	fritidsaktiviteter	fritidsaktivitet	NC:piu#:--:----	_	
3-12	til	til	T-:----:--:----	_	
3-13	at	at	UI:----:--:----	_	
3-14	være	være	VI:----:-a:----	_	
3-15	et	en	PI:s-un:--:----	_	
3-16	pålæg	pålæg	NC:siun:--:----	_	
3-17	om	om	T-:----:--:----	_	
3-18	,	,	ZD	_	
3-19	at	at	CS:----:--:----	_	
3-20	man	man	PI:#-uc:--:----	_	
3-21	skal	skulle	VF:----:sa:----	_	
3-22	udbedre	udbedre	VI:----:-a:----	_	
3-23	skaderne	skade	NC:pdu#:--:----	skade_1_1	
3-24	efter	efter	T-:----:--:----	_	
