 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=Ingen af de andre kom til skade ved eksplosionen.
1-1	Ingen	ingen	PI:s-uc:--:----	_	
1-2	af	af	T-:----:--:----	_	
1-3	de	den	PM:p-u#:--:----	_	
1-4	andre	anden	PI:p-u#:--:----	_	
1-5	kom	komme	VF:----:ta:----	_	
1-6	til	til	T-:----:--:----	_	
1-7	skade	skade	NC:siuc:--:----	skade_F_komme til skade	
1-8	ved	ved	T-:----:--:----	_	
1-9	eksplosionen	eksplosion	NC:sduc:--:----	_	
1-10	.	.	ZP	_	

#id=2
#text= Hvilke heteroseksuelle ægtefæller ville monstro lide skade ved, at også homoseksuelle ægtefæller blev viet som dét, de er:
2-1	Hvilke	Hvilke	XY:----:--:----	_	
2-2	heteroseksuelle	heteroseksuel	AC:p#u#:--:p---	_	
2-3	ægtefæller	ægtefælle	NC:piu#:--:----	_	
2-4	ville	ville	VF:----:ta:----	_	
2-5	monstro	monstro	D-:----:--:u---	_	
2-6	lide	lide	VI:----:-a:----	_	
2-7	skade	skade	NC:siuc:--:----	skade_F_tage/lide skade	
2-8	ved	ved	T-:----:--:----	_	
2-9	,	,	ZD	_	
2-10	at	at	CS:----:--:----	_	
2-11	også	også	D-:----:--:u---	_	
2-12	homoseksuelle	homoseksuel	AC:p#u#:--:p---	_	
2-13	ægtefæller	ægtefælle	NC:piu#:--:----	_	
2-14	blev	blive	VF:----:ta:----	_	
2-15	viet	vie	VT:siu#:t-:----	_	
2-16	som	som	US:----:--:----	_	
2-17	dét	det	PP:s-un:--:-3n-	_	
2-18	,	,	ZD	_	
2-19	de	de	PP:p-n#:--:-3n-	_	
2-20	er	være	VF:----:sa:----	_	
2-21	:	:	ZP	_	

#id=3
#text= præsident, så har Irans omdømme også lidt omfattende skade i Deres regeringsperiode.
3-1	præsident	præsident	NC:siuc:--:----	_	
3-2	,	,	ZD	_	
3-3	så	så	D-:----:--:u---	_	
3-4	har	have	VF:----:sa:----	_	
3-5	Irans	Iran	NP:sig#:--:----	_	
3-6	omdømme	omdømme	NC:siun:--:----	_	
3-7	også	også	D-:----:--:u---	_	
3-8	lidt	lidt	AD:----:--:p---	_	
3-9	omfattende	omfattende	AC:§§u§:--:p---	_	
3-10	skade	skade	NC:siuc:--:----	skade_1_1c	
3-11	i	i	T-:----:--:----	_	
3-12	Deres	deres	PO:#--#:--:-3np	_	
3-13	regeringsperiode	regeringsperiode	NC:siuc:--:----	_	
3-14	.	.	ZP	_	

#id=4
#text= Fødevareminister Eva Kjer Hansen (V) får en alvorlig næse af Folketingets Europaudvalg, fordi hun efter otte måneder endnu ikke har kunnet fortælle udvalget, hvordan regeringen vil undgå skader på natur og miljø på grund af EU's ophævelse af landbrugets tvungne braklægning.
4-1	Fødevareminister	fødevareminister	NC:siuc:--:----	_	
4-2	Eva	Eva	NP:siu#:--:----	_	
4-3	Kjer	Kjer	NP:siu#:--:----	_	
4-4	Hansen	Hansen	NP:siu#:--:----	_	
4-5	(	(	ZD	_	
4-6	V	V	NP:siu#:--:----	_	
