 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Men han slap uden større skader.
1-1	Men	men	CC:----:--:----	
1-2	han	han	PP:s-nc:--:-3n-	
1-3	slap	slippe	VF:----:ta:----	
1-4	uden	uden	T-:----:--:----	
1-5	større	stor	AC:##u#:--:c---	
1-6	skader	skade	NC:piu#:--:----	
1-7	.	.	ZP	

#id=2
#text=En langvarig skade i knæet satte for lidt over et år siden en stopper for den rutinerede fodboldspillers fodboldliv.
2-1	En	en	PI:s-uc:--:----	
2-2	langvarig	langvarig	AC:siuc:--:p---	
2-3	skade	skade	NC:siuc:--:----	
2-4	i	i	T-:----:--:----	
2-5	knæet	knæ	NC:sdun:--:----	
2-6	satte	sætte	VF:----:ta:----	
2-7	for	for	T-:----:--:----	
2-8	lidt	lidt	AD:----:--:p---	
2-9	over	over	T-:----:--:----	
2-10	et	en	PI:s-un:--:----	
2-11	år	år	NC:siun:--:----	
2-12	siden	siden	T-:----:--:----	
2-13	en	en	PI:s-uc:--:----	
2-14	stopper	stopper	NC:siuc:--:----	
2-15	for	for	T-:----:--:----	
2-16	den	den	PM:s-uc:--:----	
2-17	rutinerede	rutineret	AC:sdu#:--:p---	
2-18	fodboldspillers	fodboldspiller	NC:sigc:--:----	
2-19	fodboldliv	fodboldliv	NC:siun:--:----	
2-20	.	.	ZP	

#id=3
#text=Hendes holdning til sin kidnapper bekymrer psykologer, der er bange for, at Natascha Kampusch har taget skade og er blevet sær.
3-1	Hendes	hendes	PO:#--#:--:-3ns	
3-2	holdning	holdning	NC:siuc:--:----	
3-3	til	til	T-:----:--:----	
3-4	sin	sin	PO:s--c:--:-3ys	
3-5	kidnapper	kidnapper	NC:siuc:--:----	
3-6	bekymrer	bekymre	VF:----:sa:----	
3-7	psykologer	psykolog	NC:piu#:--:----	
3-8	,	,	ZD	
