 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Faktisk holder jeg så meget af syrener, at jeg, da ægteskabssammenbruddet skilte mig fra den gamle villahave, gravede nogle skud op og lod dem flytte ind i mit singleliv.
1-1	Faktisk	faktisk	AD:----:--:p---	_	
1-2	holder	holde	VF:----:sa:----	_	
1-3	jeg	jeg	PP:s-nc:--:-1n-	_	
1-4	så	så	D-:----:--:u---	_	
1-5	meget	megen	AD:----:--:p---	_	
1-6	af	af	T-:----:--:----	_	
1-7	syrener	syren	NC:piu#:--:----	_	
1-8	,	,	ZD	_	
1-9	at	at	CS:----:--:----	_	
1-10	jeg	jeg	PP:s-nc:--:-1n-	_	
1-11	,	,	ZD	_	
1-12	da	da	CS:----:--:----	_	
1-13	ægteskabssammenbruddet	ægteskabssammenbrud	NC:sdun:--:----	_	
1-14	skilte	skilte	XY:----:--:----	_	
1-15	mig	mig	NC:siun:--:----	_	
1-16	fra	fra	T-:----:--:----	_	
1-17	den	den	PM:s-uc:--:----	_	
1-18	gamle	gammel	AC:sdu#:--:p---	_	
1-19	villahave	villahave	NC:siuc:--:----	_	
1-20	,	,	ZD	_	
1-21	gravede	grave	VF:----:ta:----	_	
1-22	nogle	nogen	PI:p-u#:--:----	_	
1-23	skud	skud	NC:piu#:--:----	skud_5	
1-24	op	op	D-:----:--:u---	_	
1-25	og	og	CC:----:--:----	_	
1-26	lod	lade	VF:----:ta:----	_	
1-27	dem	de	PP:p-u#:--:-3n-	_	
1-28	flytte	flytte	VI:----:-a:----	_	
1-29	ind	ind	D-:----:--:u---	_	
1-30	i	i	T-:----:--:----	_	
1-31	mit	min	PO:s--n:--:-1ns	_	
1-32	singleliv	singleliv	NC:siun:--:----	_	
1-33	.	.	ZP	_	

#id=2
#text= Desuden holder jeg meget af fortællingerne om trolden Shrek, så selvfølgelig skulle jeg også se seneste og sidste skud på serien, Shrek Den lykkelige .
2-1	Desuden	desuden	D-:----:--:u---	_	
2-2	holder	holde	VF:----:sa:----	_	
2-3	jeg	jeg	PP:s-nc:--:-1n-	_	
2-4	meget	megen	AD:----:--:p---	_	
2-5	af	af	T-:----:--:----	_	
2-6	fortællingerne	fortælling	NC:pdu#:--:----	_	
2-7	om	om	T-:----:--:----	_	
2-8	trolden	trold	NC:sduc:--:----	_	
2-9	Shrek	Shrek	NP:siu#:--:----	_	
2-10	,	,	ZD	_	
2-11	så	så	D-:----:--:u---	_	
2-12	selvfølgelig	selvfølgelig	D-:----:--:u---	_	
2-13	skulle	skulle	VF:----:ta:----	_	
2-14	jeg	jeg	PP:s-nc:--:-1n-	_	
2-15	også	også	D-:----:--:u---	_	
2-16	se	se	XY:----:--:----	_	
2-17	seneste	sen	AC:§du§:--:s---	_	
2-18	og	og	CC:----:--:----	_	
2-19	sidste	sidste	AC:§§u§:--:p---	_	
2-20	skud	skud	NC:siun:--:----	skud_5a	
2-21	på	på	T-:----:--:----	_	
2-22	serien	serie	NC:sduc:--:----	_	
