 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Sikke et skud.
1-1	Sikke	sikken	AC:p#u#:--:p---	_	
1-2	et	en	PI:s-un:--:----	_	
1-3	skud	skud	NC:siun:--:----	skud_4	
1-4	.	.	ZP	_	

#id=2
#text=Da to galninge i december affyrede 14 skud fra en maskinpistol mod et hus tilhørende Høje Taastrups viceborgmester Tina Marianne Jensen (V) var der tale om drabsforsøg.
2-1	Da	da	CS:----:--:----	_	
2-2	to	to	LC:--u-:--:----	_	
2-3	galninge	galning	NC:piu#:--:----	_	
2-4	i	i	T-:----:--:----	_	
2-5	december	december	NC:siuc:--:----	_	
2-6	affyrede	affyre	VF:----:ta:----	_	
2-7	14	14	LC:--u-:--:----	_	
2-8	skud	skud	NC:piu#:--:----	skud_2	
2-9	fra	fra	T-:----:--:----	_	
2-10	en	en	PI:s-uc:--:----	_	
2-11	maskinpistol	maskinpistol	NC:siuc:--:----	_	
2-12	mod	mod	T-:----:--:----	_	
2-13	et	en	PI:s-un:--:----	_	
2-14	hus	hus	NC:siun:--:----	_	
2-15	tilhørende	tilhøre	VP:##u#:s-:----	_	
2-16	Høje	høj	AC:sdu#:--:p---	_	
2-17	Taastrups	Taastrup	NP:sig#:--:----	_	
2-18	viceborgmester	viceborgmester	NC:siuc:--:----	_	
2-19	Tina	Tina	NP:siu#:--:----	_	
2-20	Marianne	Marianne	NP:siu#:--:----	_	
2-21	Jensen	Jensen	NP:siu#:--:----	_	
2-22	(	(	ZD	_	
2-23	V	V	NP:siu#:--:----	_	
2-24	)	)	ZD	_	
2-25	var	være	VF:----:ta:----	_	
2-26	der	der	US:----:--:----	_	
2-27	tale	tale	NC:siuc:--:----	_	
2-28	om	om	T-:----:--:----	_	
2-29	drabsforsøg	drabsforsøg	NC:siun:--:----	_	
2-30	.	.	ZP	_	

#id=3
#text=To af skuddene gik ind gennem et vindue, og projektilerne pløjede ind i væggen i det rum, hvor politikeren befandt sig.
3-1	To	to	LC:--u-:--:----	_	
3-2	af	af	T-:----:--:----	_	
3-3	skuddene	skud	NC:pdu#:--:----	skud_2	
3-4	gik	gå	VF:----:ta:----	_	
3-5	ind	ind	D-:----:--:u---	_	
3-6	gennem	gennem	T-:----:--:----	_	
3-7	et	en	PI:s-un:--:----	_	
3-8	vindue	vindue	NC:siun:--:----	_	
3-9	,	,	ZD	_	
3-10	og	og	CC:----:--:----	_	
3-11	projektilerne	projektil	NC:pdu#:--:----	_	
3-12	pløjede	pløje	ta:----	_	
3-13	ind	ind	D-:----:--:u---	_	
3-14	i	i	T-:----:--:----	_	
3-15	væggen	væg	NC:sduc:--:----	_	
3-16	i	i	T-:----:--:----	_	
3-17	det	den	PM:s-un:--:----	_	
3-18	rum	rum	NC:siun:--:----	_	
3-19	,	,	ZD	_	
3-20	hvor	hvor	D-:----:--:u---	_	
3-21	politikeren	politiker	NC:sduc:--:----	_	
3-22	befandt	befinde	VF:----:ta:----	_	
3-23	sig	sig	PP:#-u#:--:-3y-	_	
3-24	.	.	ZP	_	

#id=4
#text=To mål var sammen med  ni mislykkede skud resultatet på hans personlige bundlinje.
4-1	To	to	LC:--u-:--:----	_	
4-2	mål	mål	NC:piu#:--:----	_	
4-3	var	være	VF:----:ta:----	_	
4-4	sammen	sammen	D-:----:--:u---	_	
4-5	med	med	T-:----:--:----	_	
4-6	ni	ni	XY:----:--:----	_	
4-7	mislykkede	mislykket	AC:sdu#:--:p---	_	
4-8	skud	skud	NC:siun:--:----	skud_4	
4-9	resultatet	resultat	NC:sdun:--:----	_	
4-10	på	på	T-:----:--:----	_	
4-11	hans	hans	PO:#--#:--:-3ns	_	
4-12	personlige	personlig	du#:--:p---	_	
4-13	bundlinje	bundlinje	NC:siuc:--:----	_	
4-14	.	.	ZP	_	

#id=5
#text=De erkender, at de sammen med en tredje røver - som blev anholdt af guldsmeden efter et voldsomt slagsmål - havde planlagt røveriet og med pistoler var trængt ind i butikken, hvor de affyrede to løse skud, inden de tog to ure til en samlet værdi af 370.000 kr. fra den 67-årige ekspedient Margit Hansen - der er mor til ejeren.
5-1	De	de	PP:p-n#:--:-3n-	_	
5-2	erkender	erkende	VF:----:sa:----	_	
5-3	,	,	ZD	_	
5-4	at	at	CS:----:--:----	_	
5-5	de	de	PP:p-n#:--:-3n-	_	
5-6	sammen	sammen	D-:----:--:u---	_	
5-7	med	med	T-:----:--:----	_	
