 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Jamen det glæder mig da, at vi også kan sætte ministrene for skud.
1-1	Jamen	jamen	CC:----:--:----	_	
1-2	det	det	PP:s-un:--:-3n-	_	
1-3	glæder	glæde	--	_	
1-4	mig	jeg	PP:s-uc:--:-1#-	_	
1-5	da	da	D-:----:--:u---	_	
1-6	,	,	ZD	_	
1-7	at	at	CS:----:--:----	_	
1-8	vi	vi	PP:p-nc:--:-1n-	_	
1-9	også	også	D-:----:--:u---	_	
1-10	kan	kunne	VF:----:sa:----	_	
1-11	sætte	sætte	VI:----:-a:----	_	
1-12	ministrene	minister	NC:pdu#:--:----	_	
1-13	for	for	T-:----:--:----	_	
1-14	skud	skud	NC:siun:--:----	skud_F_stå-for-skud	
1-15	.	.	ZP	_	

#id=2
#text=L 72 er jo endnu et skud på stammen af tiltag til en systematisk bekæmpelse af skatteunddragelse, så vi skriver altså et nyt lille kapitel af historien om skattesnyderiets bekæmpelse her i Danmark.
2-1	L	L	NP:siu#:--:----	_	
2-2	72	72	LC:--u-:--:----	_	
2-3	er	være	VF:----:sa:----	_	
2-4	jo	jo	D-:----:--:u---	_	
2-5	endnu	endnu	D-:----:--:u---	_	
2-6	et	en	PI:s-un:--:----	_	
2-7	skud	skud	NC:siun:--:----	skud_F_sidste-(seneste,-nyeste,-..)-skud-på-stammen	
2-8	på	på	T-:----:--:----	_	
2-9	stammen	stamme	NC:sduc:--:----	_	
2-10	af	af	T-:----:--:----	_	
2-11	tiltag	tiltag	NC:siun:--:----	_	
2-12	til	til	T-:----:--:----	_	
2-13	en	en	PI:s-uc:--:----	_	
2-14	systematisk	systematisk	AC:siu§:--:p---	_	
2-15	bekæmpelse	bekæmpelse	NC:siuc:--:----	_	
2-16	af	af	T-:----:--:----	_	
2-17	skatteunddragelse	skatteunddragelse	NC:siuc:--:----	_	
2-18	,	,	ZD	_	
2-19	så	så	CS:----:--:----	_	
2-20	vi	vi	PP:p-nc:--:-1n-	_	
2-21	skriver	skrive	VF:----:sa:----	_	
2-22	altså	altså	D-:----:--:u---	_	
2-23	et	en	PI:s-un:--:----	_	
2-24	nyt	ny	AC:siun:--:p---	_	
2-25	lille	lille	AC:s§u§:--:p---	_	
2-26	kapitel	kapitel	NC:siun:--:----	_	
2-27	af	af	T-:----:--:----	_	
2-28	historien	historie	NC:sduc:--:----	_	
2-29	om	om	T-:----:--:----	_	
2-30	skattesnyderiets	skattesnyderi	NC:sdgn:--:----	_	
2-31	bekæmpelse	bekæmpelse	NC:siuc:--:----	_	
2-32	her	her	D-:----:--:u---	_	
2-33	i	i	T-:----:--:----	_	
2-34	Danmark	Danmark	NP:siu#:--:----	_	
2-35	.	.	ZP	_	

#id=3
#text=Forleden kom jeg ned ad Åboulevarden på Nørrebro og passerede den her kiosk, der var blevet beskudt med 10-12 skud en aften i september - heldigvis uden at nogen kom til skade - og jeg følte mig altså hensat til sådan en amerikansk filmkulisse, da jeg stod og kiggede på vinduet med det her projektilhul i midten.
3-1	Forleden	forleden	AD:----:--:p---	_	
3-2	kom	komme	VF:----:ta:----	_	
3-3	jeg	jeg	PP:s-nc:--:-1n-	_	
3-4	ned	ned	D-:----:--:u---	_	
3-5	ad	ad	T-:----:--:----	_	
3-6	Åboulevarden	Åboulevarden	NP:siu#:--:----	_	
3-7	på	på	T-:----:--:----	_	
3-8	Nørrebro	Nørrebro	NP:siu#:--:----	_	
3-9	og	og	CC:----:--:----	_	
3-10	passerede	passere	VF:----:ta:----	_	
3-11	den	den	PP:s-uc:--:-3n-	_	
3-12	her	her	D-:----:--:u---	_	
3-13	kiosk	kiosk	NC:siuc:--:----	_	
3-14	,	,	ZD	_	
3-15	der	der	US:----:--:----	_	
3-16	var	være	VF:----:ta:----	_	
3-17	blevet	blive	VT:siu#:t-:----	_	
3-18	beskudt	beskyde	VT:siu#:t-:----	_	
3-19	med	med	T-:----:--:----	_	
3-20	10	10	LC:--u-:--:----	_	
3-21	-	-	ZH	_	
3-22	12	12	LC:--u-:--:----	_	
3-23	skud	skud	NC:piu#:--:----	skud_2	
3-24	en	en	:s-uc:--:----	_	
3-25	aften	aften	NC:siuc:--:----	_	
3-26	i	i	T-:----:--:----	_	
3-27	september	september	NW:----:--:----	_	
3-28	-	-	ZH	_	
3-29	heldigvis	heldigvis	D-:----:--:u---	_	
3-30	uden	uden	T-:----:--:----	_	
3-31	at	at	CS:----:--:----	_	
3-32	nogen	nogen	PI:s-uc:--:----	_	
3-33	kom	komme	VF:----:ta:----	_	
3-34	til	til	T-:----:--:----	_	
3-35	skade	skade	NW:----:--:----	_	
3-36	-	-	ZH	_	
3-37	og	og	CC:----:--:----	_	
3-38	jeg	jeg	PP:s-nc:--:-1n-	_	
3-39	følte	føle	VF:----:ta:----	_	
3-40	mig	jeg	PP:s-uc:--:-1#-	_	
3-41	altså	altså	D-:----:--:u---	_	
3-42	hensat	hensætte	VT:siu#:t-:----	_	
3-43	til	til	T-:----:--:----	_	
3-44	sådan	sådan	D-:----:--:u---	_	
3-45	en	en	PI:s-uc:--:----	_	
3-46	amerikansk	amerikansk	AC:siu§:--:p---	_	
3-47	filmkulisse	filmkulisse	NC:siuc:--:----	_	
3-48	,	,	ZD	_	
3-49	da	da	CS:----:--:----	_	
3-50	jeg	jeg	PP:s-nc:--:-1n-	_	
3-51	stod	stå	VF:----:ta:----	_	
3-52	og	og	CC:----:--:----	_	
3-53	kiggede	kigge	VF:----:ta:----	_	
3-54	på	på	T-:----:--:----	_	
3-55	vinduet	vindue	NC:sdun:--:----	_	
3-56	med	med	T-:----:--:----	_	
3-57	det	det	PP:s-un:--:-3n-	_	
3-58	her	her	D-:----:--:u---	_	
3-59	projektilhul	projektilhul	AC:siuc:--:p---	_	
3-60	i	i	T-:----:--:----	_	
3-61	midten	midte	NC:sduc:--:----	_	
3-62	.	.	ZP	_	

#id=4
#text= Vi husker alle sammen de grufulde billeder af kvinder, der blev sat ned med deres slør på hovedet og fik et skud i nakken.
4-1	Vi	vi	PP:p-nc:--:-1n-	_	
4-2	husker	huske	VF:----:sa:----	_	
4-3	alle	al	PI:p-u#:--:----	_	
4-4	sammen	sammen	D-:----:--:u---	_	
4-5	de	den	PM:p-u#:--:----	_	
4-6	grufulde	grufuld	AC:p#u#:--:p---	_	
4-7	billeder	billede	NC:piu#:--:----	_	
4-8	af	af	T-:----:--:----	_	
4-9	kvinder	kvinde	NC:piu#:--:----	_	
4-10	,	,	ZD	_	
4-11	der	der	US:----:--:----	_	
4-12	blev	blive	VF:----:ta:----	_	
4-13	sat	sætte	VT:siu#:t-:----	_	
4-14	ned	ned	D-:----:--:u---	_	
4-15	med	med	T-:----:--:----	_	
4-16	deres	deres	PO:#--#:--:-3np	_	
4-17	slør	slør	NC:piu#:--:----	_	
4-18	på	på	T-:----:--:----	_	
4-19	hovedet	hoved	NC:sdun:--:----	_	
4-20	og	og	CC:----:--:----	_	
4-21	fik	få	VF:----:ta:----	_	
4-22	et	en	PI:s-un:--:----	_	
4-23	skud	skud	NC:siun:--:----	skud_2	
4-24	i	i	T-:----:--:----	_	
4-25	nakken	nakke	NC:sduc:--:----	_	
4-26	.	.	ZP	_	

#id=5
#text= Så det er blot et skud i tågen.
5-1	Så	så	CS:----:--:----	_	
5-2	det	det	PP:s-un:--:-3n-	_	
5-3	er	være	VF:----:sa:----	_	
5-4	blot	blot	D-:----:--:u---	_	
5-5	et	en	PI:s-un:--:----	_	
5-6	skud	skud	NC:siun:--:----	skud_F_skud-i-tågen	
5-7	i	i	T-:----:--:----	_	
5-8	tågen	tåge	NC:sduc:--:----	_	
5-9	.	.	ZP	_	

#id=6
#text= Så sent som i denne weekend faldt der igen skud i de københavnske gader.
6-1	Så	så	D-:----:--:u---	_	
6-2	sent	sen	AD:----:--:p---	_	
6-3	som	som	US:----:--:----	_	
6-4	i	i	T-:----:--:----	_	
6-5	denne	denne	PM:s-uc:--:----	_	
6-6	weekend	weekend	NC:siuc:--:----	_	
6-7	faldt	falde	VF:----:ta:----	_	
6-8	der	der	US:----:--:----	_	
6-9	igen	igen	D-:----:--:u---	_	
6-10	skud	skud	NC:siun:--:----	skud_1	
6-11	i	i	T-:----:--:----	_	
6-12	de	den	PM:p-u#:--:----	_	
6-13	københavnske	københavnsk	AC:p#u#:--:p---	_	
6-14	gader	gade	NC:piu#:--:----	_	
6-15	.	.	ZP	_	

