 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=I samme periode er to danskere blevet dræbt af skud fra håndvåben.
1-1	I	i	T-:----:--:----	_	
1-2	samme	samme	AC:§§u§:--:p---	_	
1-3	periode	periode	NC:siuc:--:----	_	
1-4	er	være	VF:----:sa:----	_	
1-5	to	to	LC:--u-:--:----	_	
1-6	danskere	dansker	NC:piu#:--:----	_	
1-7	blevet	blive	VT:siu#:t-:----	_	
1-8	dræbt	dræbe	VT:siu#:t-:----	_	
1-9	af	af	T-:----:--:----	_	
1-10	skud	skud	NC:siun:--:----	skud_2	
1-11	fra	fra	:----	_	
1-12	håndvåben	håndvåben	NC:siun:--:----	_	
1-13	.	.	ZP	_	

#id=2
#text=Og da Jesper Grønkjær ikke kunne få plads til at lave sit hofnummer (rykke lidt ind i banen og så spille bolden med hælen ud til en overlappende medspiller), trak han klogt nok forbi to forsvarere og øgede til 2-0 med et fladt skud.
2-1	Og	og	CC:----:--:----	_	
2-2	da	da	CS:----:--:----	_	
2-3	Jesper	Jesper	NP:siu#:--:----	_	
2-4	Grønkjær	Grønkjær	NP:siu#:--:----	_	
2-5	ikke	ikke	D-:----:--:u---	_	
2-6	kunne	kunne	VF:----:ta:----	_	
2-7	få	få	VI:----:-a:----	_	
2-8	plads	plads	NC:siuc:--:----	_	
2-9	til	til	T-:----:--:----	_	
2-10	at	at	UI:----:--:----	_	
2-11	lave	lave	VI:----:-a:----	_	
2-12	sit	sin	PO:s--n:--:-3ys	_	
2-13	hofnummer	hofnummer	NC:siun:--:----	_	
2-14	(	(	ZD	_	
2-15	rykke	rykke	VI:----:-a:----	_	
2-16	lidt	lidt	AD:----:--:p---	_	
2-17	ind	ind	D-:----:--:u---	_	
2-18	i	i	T-:----:--:----	_	
2-19	banen	bane	NC:sduc:--:----	_	
2-20	og	og	CC:----:--:----	_	
2-21	så	så	D-:----:--:u---	_	
2-22	spille	spille	VI:----:-a:----	_	
2-23	bolden	bold	NC:sduc:--:----	_	
2-24	med	med	T-:----:--:----	_	
2-25	hælen	hæl	NC:sduc:--:----	_	
2-26	ud	ud	D-:----:--:u---	_	
2-27	til	til	T-:----:--:----	_	
2-28	en	en	PI:s-uc:--:----	_	
2-29	overlappende	overlappe	VP:##u#:s-:----	_	
2-30	medspiller	medspiller	NC:siuc:--:----	_	
2-31	)	)	ZD	_	
2-32	,	,	ZD	_	
2-33	trak	trække	VF:----:ta:----	_	
2-34	han	han	PP:s-nc:--:-3n-	_	
2-35	klogt	klog	AD:----:--:p---	_	
2-36	nok	nok	D-:----:--:u---	_	
2-37	forbi	forbi	T-:----:--:----	_	
2-38	to	to	LC:--u-:--:----	_	
2-39	forsvarere	forsvarer	NC:piu#:--:----	_	
2-40	og	og	CC:----:--:----	_	
2-41	øgede	øge	VF:----:ta:----	_	
2-42	til	til	T-:----:--:----	_	
2-43	2	2	LC:--u-:--:----	_	
2-44	-	-	ZH	_	
2-45	0	0	LC:--u-:--:----	_	
2-46	med	med	T-:----:--:----	_	
2-47	et	en	PI:s-un:--:----	_	
2-48	fladt	flad	AC:siun:--:p---	_	
2-49	skud	skud	NC:siun:--:----	skud_4	
2-50	.	.	ZP	_	

#id=3
#text=Ca. 12 små snitter Hindbær-pannacotta 250 g hindbær 80 g sukker 250 g fløde 4 blade gelatine Hindbærmarmelade 500 g frosne hindbær 325 g sukker 8 g pektin revet skal fra 1 citron Tærtedej 125 g koldt smør 100 g florsukker 250 g hvedemel 1æg Glasur 200 g florsukker ca. 20 g pasteuriserede æggehvider Andet skud af citrontimian BLEND HINDBÆR, sukker og fløde sammen, sigt cremen over i en gryde, og lun ganske lidt.
3-1	Ca	cirka	D-:----:--:u---	_	
3-2	.	.	ZP	_	
3-3	12	12	LC:--u-:--:----	_	
3-4	små	lille	AC:p#u#:--:p---	_	
3-5	snitter	snitte	NC:piu#:--:----	_	
3-6	Hindbær	hindbær	NC:piu#:--:----	_	
3-7	-	-	NC:piu#:--:----	_	
3-8	pannacotta	pannacottage	VI:----:-a:----	_	
3-9	250	250	LC:--u-:--:----	_	
3-10	g	gram	NC:piu#:--:----	_	
3-11	hindbær	hindbær	NC:siun:--:----	_	
3-12	80	80	LC:--u-:--:----	_	
3-13	g	gram	NC:piu#:--:----	_	
3-14	sukker	sukke	VF:----:sa:----	_	
3-15	250	250	LC:--u-:--:----	_	
3-16	g	gram	NC:piu#:--:----	_	
3-17	fløde	fløde	VI:----:-a:----	_	
3-18	4	4	LC:--u-:--:----	_	
3-19	blade	blad	NC:piu#:--:----	_	
3-20	gelatine	gelatine	NC:siuc:--:----	_	
3-21	Hindbærmarmelade	hindbærmarmelade	NC:siuc:--:----	_	
3-22	500	500	LC:--u-:--:----	_	
3-23	g	gram	NC:piu#:--:----	_	
3-24	frosne	frossen	AC:sdu#:--:p---	_	
3-25	hindbær	hindbær	NC:siun:--:----	_	
3-26	325	325	LC:--u-:--:----	_	
3-27	g	gram	NC:piu#:--:----	_	
3-28	sukker	sukke	VF:----:sa:----	_	
3-29	8	8	LC:--u-:--:----	_	
3-30	g	gram	NC:piu#:--:----	_	
3-31	pektin	pektin	NC:siun:--:----	_	
3-32	revet	rev	NC:sdun:--:----	_	
3-33	skal	skulle	VF:----:sa:----	_	
3-34	fra	fra	T-:----:--:----	_	
3-35	1	1	LC:--u-:--:----	_	
3-36	citron	citron	NC:siuc:--:----	_	
