 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=En hjertelæge på Rigshospitalet skrev kort efter dødsfaldet et brev til sine kolleger på psykiatrisk afdeling, hvor han understregede, at patienten fik i alt tre lægemidler - to mod skizofreni og et mod depression - der alle har den bivirkning, at de kan forlænge det tidsrum, hjertet bruger til at slå et slag.
1-1	En	en	PI:s-uc:--:----	_	
1-2	hjertelæge	hjertelæge	NC:siuc:--:----	_	
1-3	på	på	T-:----:--:----	_	
1-4	Rigshospitalet	rigshospital	NC:sdun:--:----	_	
1-5	skrev	skrive	VF:----:ta:----	_	
1-6	kort	kort	AD:----:--:p---	_	
1-7	efter	efter	T-:----:--:----	_	
1-8	dødsfaldet	dødsfald	NC:sdun:--:----	_	
1-9	et	en	PI:s-un:--:----	_	
1-10	brev	brev	NC:siun:--:----	_	
1-11	til	til	T-:----:--:----	_	
1-12	sine	sin	PO:p--#:--:-3ys	_	
1-13	kolleger	kollega	NC:piu#:--:----	_	
1-14	på	på	T-:----:--:----	_	
1-15	psykiatrisk	psykiatrisk	AC:siu§:--:p---	_	
1-16	afdeling	afdeling	NC:siuc:--:----	_	
1-17	,	,	ZD	_	
1-18	hvor	hvor	D-:----:--:u---	_	
1-19	han	han	PP:s-nc:--:-3n-	_	
1-20	understregede	understrege	VF:----:ta:----	_	
1-21	,	,	ZD	_	
1-22	at	at	CS:----:--:----	_	
1-23	patienten	patient	NC:sduc:--:----	_	
1-24	fik	få	VF:----:ta:----	_	
1-25	i	i	T-:----:--:----	_	
1-26	alt	al	PI:s-un:--:----	_	
1-27	tre	tre	LC:--u-:--:----	_	
1-28	lægemidler	lægemiddel	NC:piu#:--:----	_	
1-29	-	-	ZH	_	
1-30	to	to	LC:--u-:--:----	_	
1-31	mod	mod	T-:----:--:----	_	
1-32	skizofreni	skizofreni	NC:siuc:--:----	_	
1-33	og	og	CC:----:--:----	_	
1-34	et	en	PI:s-un:--:----	_	
1-35	mod	mod	T-:----:--:----	_	
1-36	depression	depression	NW:----:--:----	_	
1-37	-	-	ZH	_	
1-38	der	der	US:----:--:----	_	
1-39	alle	al	PI:p-u#:--:----	_	
1-40	har	have	VF:----:sa:----	_	
1-41	den	den	PM:s-uc:--:----	_	
1-42	bivirkning	bivirkning	NC:siuc:--:----	_	
1-43	,	,	ZD	_	
1-44	at	at	CS:----:--:----	_	
1-45	de	de	PP:p-n#:--:-3n-	_	
1-46	kan	kunne	VF:----:sa:----	_	
1-47	forlænge	forlænge	VI:----:-a:----	_	
1-48	det	den	PM:s-un:--:----	_	
1-49	tidsrum	tidsrum	NC:siun:--:----	_	
1-50	,	,	ZD	_	
1-51	hjertet	hjerte	NC:sdun:--:----	_	
1-52	bruger	bruge	VF:----:sa:----	_	
1-53	til	til	T-:----:--:----	_	
1-54	at	at	UI:----:--:----	_	
1-55	slå	slå	VI:----:-a:----	_	
1-56	et	en	PI:s-un:--:----	_	
1-57	slag	slag	NC:siun:--:----	slag_3a	
1-58	.	.	ZP	_	

#id=2
#text=Dermed tilføjede han den anden del af det politiske Danmark et lammende slag.
2-1	Dermed	dermed	D-:----:--:u---	_	
2-2	tilføjede	tilføje	VF:----:ta:----	_	
2-3	han	han	PP:s-nc:--:-3n-	_	
2-4	den	den	PP:s-uc:--:-3n-	_	
2-5	anden	anden	PI:s-uc:--:----	_	
2-6	del	del	NC:siuc:--:----	_	
2-7	af	af	T-:----:--:----	_	
2-8	det	den	PM:s-un:--:----	_	
2-9	politiske	politisk	AC:sdu#:--:p---	_	
2-10	Danmark	Danmark	NP:siu#:--:----	_	
2-11	et	en	PI:s-un:--:----	_	
2-12	lammende	lamme	VP:##u#:s-:----	_	
2-13	slag	slag	NC:siun:--:----	slag_1b	
2-14	.	.	ZP	_	

#id=3
#text= På den måde kunne Brian Mikkelsen komme af med sine frustrationer over 70' ernes skolelærere, pædagoger i rundkredse, og endelig fik det trehovedede monster DR-Gyldendal-Politiken tilføjet et afgørende slag.
3-1	På	på	T-:----:--:----	_	
3-2	den	den	PM:s-uc:--:----	_	
3-3	måde	måde	NC:siuc:--:----	_	
3-4	kunne	kunne	VF:----:ta:----	_	
3-5	Brian	Brian	NP:siu#:--:----	_	
3-6	Mikkelsen	Mikkelsen	NP:siu#:--:----	_	
3-7	komme	komme	VI:----:-a:----	_	
3-8	af	af	--	_	
3-9	med	med	T-:----:--:----	_	
3-10	sine	sin	PO:p--#:--:-3ys	_	
3-11	frustrationer	frustration	NC:piu#:--:----	_	
3-12	over	over	T-:----:--:----	_	
3-13	70	70	LC:--u-:--:----	_	
3-14	'	'	ZA	_	
