 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Hovedpersonen i historien er ikke i stand til at løse mysteriet selv, og hun er derfor tvunget til at bede Hercule Poirot om hjælp.
1-1	Hovedpersonen	hovedperson	NC:sduc:--:----	_	
1-2	i	i	T-:----:--:----	_	
1-3	historien	historie	NC:sduc:--:----	_	
1-4	er	være	VF:----:sa:----	_	
1-5	ikke	ikke	D-:----:--:u---	_	
1-6	i	i	T-:----:--:----	_	
1-7	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
1-8	til	til	T-:----:--:----	_	
1-9	at	at	UI:----:--:----	_	
1-10	løse	løse	VI:----:-a:----	_	
1-11	mysteriet	mysterium	NC:sdun:--:----	_	
1-12	selv	selv	D-:----:--:u---	_	
1-13	,	,	ZD	_	
1-14	og	og	CC:----:--:----	_	
1-15	hun	hun	PP:s-nc:--:-3n-	_	
1-16	er	være	VF:----:sa:----	_	
1-17	derfor	derfor	D-:----:--:u---	_	
1-18	tvunget	tvinge	VT:siu#:t-:----	_	
1-19	til	til	T-:----:--:----	_	
1-20	at	at	UI:----:--:----	_	
1-21	bede	bede	VI:----:-a:----	_	
1-22	Hercule	Hercule	NP:siu#:--:----	_	
1-23	Poirot	Poirot	NP:siu#:--:----	_	
1-24	om	om	T-:----:--:----	_	
1-25	hjælp	hjælp	NC:siuc:--:----	_	
1-26	.	.	ZP	_	

#id=2
#text=Der er stand-up-humor på Zulu, og ' Tjenesten', der er kommet sig en del på DR 2.
2-1	Der	der	US:----:--:----	_	
2-2	er	være	VF:----:sa:----	_	
2-3	stand	stand	NW:----:--:----	_	
2-4	-	-	ZH	_	
2-5	up	up	NW:----:--:----	_	
2-6	-	-	ZH	_	
2-7	humor	humor	NC:siuc:--:----	_	
2-8	på	på	T-:----:--:----	_	
2-9	Zulu	zulu	NC:siu#:--:----	_	
2-10	,	,	ZD	_	
2-11	og	og	D-:----:--:u---	_	
2-12	'	'	ZA	_	
2-13	Tjenesten	tjeneste	NW:----:--:----	_	
2-14	'	'	ZA	_	
2-15	,	,	ZD	_	
2-16	der	der	US:----:--:----	_	
2-17	er	være	VF:----:sa:----	_	
2-18	kommet	komme	VT:siu#:t-:----	_	
2-19	sig	sig	PP:#-u#:--:-3y-	_	
2-20	en	en	PI:s-uc:--:----	_	
2-21	del	del	NC:siuc:--:----	_	
2-22	på	på	T-:----:--:----	_	
2-23	DR	DR	NP:siu#:--:----	_	
2-24	2	2	LC:--u-:--:----	_	
2-25	.	.	ZP	_	

#id=3
#text="Problemet er, at de falder fra igen", siger hun og tilføjer, at mange 16-årige ikke er i stand til at beslutte sig for en uddannelse.
3-1	"	"	ZI	_	
3-2	Problemet	problem	NC:sdun:--:----	_	
3-3	er	være	VF:----:sa:----	_	
3-4	,	,	ZD	_	
3-5	at	at	CS:----:--:----	_	
3-6	de	de	PP:p-n#:--:-3n-	_	
3-7	falder	falde	VF:----:sa:----	_	
3-8	fra	fra	T-:----:--:----	_	
3-9	igen	igen	D-:----:--:u---	_	
3-10	"	"	ZI	_	
3-11	,	,	ZD	_	
3-12	siger	sige	VF:----:sa:----	_	
3-13	hun	hun	PP:s-nc:--:-3n-	_	
3-14	og	og	CC:----:--:----	_	
3-15	tilføjer	tilføje	VF:----:sa:----	_	
3-16	,	,	ZD	_	
3-17	at	at	CS:----:--:----	_	
3-18	mange	mangen	AC:p#u#:--:p---	_	
3-19	16	16	LC:--u-:--:----	_	
3-20	-	-	ZH	_	
3-21	årige	årig	AC:sdu#:--:p---	_	
3-22	ikke	ikke	D-:----:--:u---	_	
3-23	er	være	VF:----:sa:----	_	
3-24	i	i	T-:----:--:----	_	
3-25	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
3-26	til	til	T-:----:--:----	_	
3-27	at	at	UI:----:--:----	_	
3-28	beslutte	beslutte	VI:----:-a:----	_	
3-29	sig	sig	PP:#-u#:--:-3y-	_	
3-30	for	for	T-:----:--:----	_	
3-31	en	en	PI:s-uc:--:----	_	
3-32	uddannelse	uddannelse	NC:siuc:--:----	_	
3-33	.	.	ZP	_	

#id=4
#text= Og de skandinaviske politikere  har faktisk i meget højere grad end deres europæiske kolleger vist sig i stand til at få vedtaget store og upopulære reformer af samfundet".
4-1	Og	og	CC:----:--:----	_	
4-2	de	den	PM:p-u#:--:----	_	
4-3	skandinaviske	skandinavisk	AC:p#u#:--:p---	_	
4-4	politikere	politiker	NC:piu#:--:----	_	
4-5	har	have	VF:----:sa:----	_	
4-6	faktisk	faktisk	AD:----:--:p---	_	
4-7	i	i	T-:----:--:----	_	
4-8	meget	megen	AD:----:--:p---	_	
4-9	højere	høj	AC:##u#:--:c---	_	
4-10	grad	grad	NC:siuc:--:----	_	
4-11	end	end	CS:----:--:----	_	
4-12	deres	deres	PO:#--#:--:-3np	_	
4-13	europæiske	europæisk	AC:p#u#:--:p---	_	
4-14	kolleger	kollega	NC:piu#:--:----	_	
4-15	vist	vise	VT:siu#:t-:----	_	
4-16	sig	sig	PP:#-u#:--:-3y-	_	
4-17	i	i	T-:----:--:----	_	
4-18	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
4-19	til	til	T-:----:--:----	_	
4-20	at	at	UI:----:--:----	_	
4-21	få	få	VI:----:-a:----	_	
4-22	vedtaget	vedtage	VT:siu#:t-:----	_	
4-23	store	stor	AC:p#u#:--:p---	_	
4-24	og	og	CC:----:--:----	_	
4-25	upopulære	upopulær	AC:p#u#:--:p---	_	
4-26	reformer	reform	NC:piu#:--:----	_	
4-27	af	af	T-:----:--:----	_	
4-28	samfundet	samfund	NC:sdun:--:----	_	
4-29	"	"	ZI	_	
4-30	.	.	ZP	_	

#id=5
#text=Udsagnet lyder bizart i vesterlandske øren, idet de fleste mennesker i USA og Europa nok som undertegnede har stillet sig tilfreds med at ihukomme, at man i nødstilfælde vil være i stand til både at donere og modtage blod fra mange andre.
5-1	Udsagnet	udsagn	NC:sdun:--:----	_	
5-2	lyder	lyde	VF:----:sa:----	_	
5-3	bizart	bizar	AD:----:--:p---	_	
5-4	i	i	T-:----:--:----	_	
5-5	vesterlandske	vesterlandsk	AC:sdu#:--:p---	_	
5-6	øren	øre	NC:sduc:--:----	_	
5-7	,	,	ZD	_	
5-8	idet	idet	CS:----:--:----	_	
5-9	de	den	PM:p-u#:--:----	_	
5-10	fleste	mange	AC:p#u#:--:s---	_	
5-11	mennesker	menneske	NC:piu#:--:----	_	
5-12	i	i	T-:----:--:----	_	
5-13	USA	USA	NP:siu#:--:----	_	
5-14	og	og	CC:----:--:----	_	
5-15	Europa	Europa	NP:siu#:--:----	_	
5-16	nok	nok	D-:----:--:u---	_	
5-17	som	som	XY:----:--:----	_	
5-18	undertegnede	undertegne	VP:p#u#:t-:----	_	
5-19	har	have	VF:----:sa:----	_	
5-20	stillet	stille	VT:siu#:t-:----	_	
5-21	sig	sig	PP:#-u#:--:-3y-	_	
5-22	tilfreds	tilfreds	AD:----:--:p---	_	
5-23	med	med	T-:----:--:----	_	
5-24	at	at	UI:----:--:----	_	
5-25	ihukomme	ihukomme	VI:----:-a:----	_	
5-26	,	,	ZD	_	
5-27	at	at	CS:----:--:----	_	
5-28	man	man	PI:#-uc:--:----	_	
5-29	i	i	T-:----:--:----	_	
5-30	nødstilfælde	nødstilfælde	NC:siun:--:----	_	
5-31	vil	ville	VF:----:sa:----	_	
5-32	være	være	VI:----:-a:----	_	
5-33	i	i	T-:----:--:----	_	
5-34	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
5-35	til	til	T-:----:--:----	_	
5-36	både	både	D-:----:--:u---	_	
5-37	at	at	UI:----:--:----	_	
5-38	donere	donere	VI:----:-a:----	_	
5-39	og	og	CC:----:--:----	_	
5-40	modtage	modtage	VI:----:-a:----	_	
5-41	blod	blod	NC:siun:--:----	_	
5-42	fra	fra	T-:----:--:----	_	
5-43	mange	mangen	AC:p#u#:--:p---	_	
5-44	andre	anden	PI:p-u#:--:----	_	
5-45	.	.	ZP	_	

#id=6
#text=A - den jordnære, overforsigtige, reserverede og ansvarsfulde person, der er lige så sensibel, som han/hun er stædig og ude af stand til at slappe af.
6-1	A	a	XS:----:--:----	_	
6-2	-	-	NC:piu#:--:----	_	
6-3	den	den	PM:s-uc:--:----	_	
6-4	jordnære	jordnær	AC:sdu#:--:p---	_	
6-5	,	,	ZD	_	
6-6	overforsigtige	overforsigtig	AC:p#u#:--:p---	_	
6-7	,	,	ZD	_	
6-8	reserverede	reservere	VF:----:ta:----	_	
6-9	og	og	CC:----:--:----	_	
6-10	ansvarsfulde	ansvarsfuld	AC:sdu#:--:p---	_	
6-11	person	person	NC:siuc:--:----	_	
6-12	,	,	ZD	_	
6-13	der	der	US:----:--:----	_	
6-14	er	være	VF:----:sa:----	_	
6-15	lige	lige	D-:----:--:u---	_	
6-16	så	så	D-:----:--:u---	_	
6-17	sensibel	sensibel	AC:siuc:--:p---	_	
6-18	,	,	ZD	_	
6-19	som	som	US:----:--:----	_	
6-20	han	han	XY:----:--:----	_	
6-21	/	/	ZS	_	
6-22	hun	hun	PP:s-nc:--:-3n-	_	
6-23	er	være	VF:----:sa:----	_	
6-24	stædig	stædig	AC:siuc:--:p---	_	
6-25	og	og	CC:----:--:----	_	
6-26	ude	ude	D-:----:--:u---	_	
6-27	af	af	T-:----:--:----	_	
6-28	stand	stand	NC:siuc:--:----	stand_F_ude-af-stand-til	
6-29	til	til	T-:----:--:----	_	
6-30	at	at	UI:----:--:----	_	
6-31	slappe	slappe	VI:----:-a:----	_	
6-32	af	af	T-:----:--:----	_	
6-33	.	.	ZP	_	

#id=7
#text=Også det var kommet i stand, efter at banksektoren havde presset regeringen.
7-1	Også	også	D-:----:--:u---	_	
7-2	det	det	PP:s-un:--:-3n-	_	
7-3	var	være	VF:----:ta:----	_	
7-4	kommet	komme	VT:siu#:t-:----	_	
7-5	i	i	T-:----:--:----	_	
7-6	stand	stand	NC:siuc:--:----	stand_F_komme-i-stand	
7-7	,	,	ZD	_	
7-8	efter	efter	CS:----:--:----	_	
7-9	at	at	CS:----:--:----	_	
7-10	banksektoren	banksektor	NC:sduc:--:----	_	
7-11	havde	have	VF:----:ta:----	_	
7-12	presset	presse	VT:siu#:t-:----	_	
7-13	regeringen	regering	NC:sduc:--:----	_	
7-14	.	.	ZP	_	

#id=8
#text= Toltem Consult Municipal Civil Servant Liaison Team, som skal udvikle undervisningsmateriale, der kan sætte kommunale embedsmænd i stand til at forstå, hvordan en markedsøkonomi fungerer, Toltem Consult Group Aqua Arena Bellahoej Sponsoring Rejection Legal Action Unit, som skal udarbejde beslutningsgrundlaget for et eventuelt erstatningskrav, og Toltem Consult Bathing Cap and Swimwear Design Studio, som skal tilføre gruppen knowhow på badetekstilområdet.
8-1	Toltem	Toltem	NP:siu#:--:----	_	
8-2	Consult	Consult	NP:siu#:--:----	_	
8-3	Municipal	Municipal	NP:siu#:--:----	_	
8-4	Civil	civil	AC:siuc:--:p---	_	
8-5	Servant	Servant	NP:siu#:--:----	_	
8-6	Liaison	Liaison	NP:siu#:--:----	_	
8-7	Team	Team	NP:siu#:--:----	_	
8-8	,	,	ZD	_	
8-9	som	som	US:----:--:----	_	
8-10	skal	skulle	VF:----:sa:----	_	
8-11	udvikle	udvikle	VI:----:-a:----	_	
8-12	undervisningsmateriale	undervisningsmateriale	NC:siun:--:----	_	
8-13	,	,	ZD	_	
8-14	der	der	US:----:--:----	_	
8-15	kan	kunne	VF:----:sa:----	_	
8-16	sætte	sætte	VI:----:-a:----	_	
8-17	kommunale	kommunal	AC:p#u#:--:p---	_	
8-18	embedsmænd	embedsmænd	NC:piu#:--:----	_	
8-19	i	i	T-:----:--:----	_	
8-20	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
8-21	til	til	T-:----:--:----	_	
8-22	at	at	UI:----:--:----	_	
8-23	forstå	forstå	VI:----:-a:----	_	
8-24	,	,	ZD	_	
8-25	hvordan	hvordan	D-:----:--:u---	_	
8-26	en	en	PI:s-uc:--:----	_	
8-27	markedsøkonomi	markedsøkonomi	NC:siuc:--:----	_	
8-28	fungerer	fungere	VF:----:sa:----	_	
8-29	,	,	ZD	_	
8-30	Toltem	Toltem	NP:siu#:--:----	_	
8-31	Consult	Consult	NP:siu#:--:----	_	
8-32	Group	Group	NP:siu#:--:----	_	
8-33	Aqua	Aqua	NP:siu#:--:----	_	
8-34	Arena	arena	NC:siuc:--:----	_	
8-35	Bellahoej	Bellahoej	NP:siu#:--:----	_	
8-36	Sponsoring	Sponsoring	NP:siu#:--:----	_	
8-37	Rejection	Rejection	NP:siu#:--:----	_	
8-38	Legal	legal	AC:siuc:--:p---	_	
8-39	Action	action	NC:siuc:--:----	_	
8-40	Unit	unit	NC:siuc:--:----	_	
8-41	,	,	ZD	_	
8-42	som	som	US:----:--:----	_	
8-43	skal	skulle	VF:----:sa:----	_	
8-44	udarbejde	udarbejde	VI:----:-a:----	_	
8-45	beslutningsgrundlaget	beslutningsgrundlag	NC:sdun:--:----	_	
8-46	for	for	T-:----:--:----	_	
8-47	et	en	PI:s-un:--:----	_	
8-48	eventuelt	eventuel	AC:siun:--:p---	_	
8-49	erstatningskrav	erstatningskrav	NC:siun:--:----	_	
8-50	,	,	ZD	_	
8-51	og	og	CC:----:--:----	_	
8-52	Toltem	Toltem	NP:siu#:--:----	_	
8-53	Consult	Consult	NP:siu#:--:----	_	
8-54	Bathing	Bathing	NP:siu#:--:----	_	
8-55	Cap	cap	NC:siuc:--:----	_	
8-56	and	and	NC:siuc:--:----	_	
8-57	Swimwear	Swimwear	NP:siu#:--:----	_	
8-58	Design	design	NC:siuc:--:----	_	
8-59	Studio	Studio	NP:siu#:--:----	_	
8-60	,	,	ZD	_	
8-61	som	som	US:----:--:----	_	
8-62	skal	skulle	VF:----:sa:----	_	
8-63	tilføre	tilføre	VI:----:-a:----	_	
8-64	gruppen	gruppe	NC:sduc:--:----	_	
8-65	knowhow	knowhow	NC:siuc:--:----	_	
8-66	på	på	T-:----:--:----	_	
8-67	badetekstilområdet	badetekstilområde	NC:sdun:--:----	_	
8-68	.	.	ZP	_	

#id=9
#text= Og som på mærkværdigste vis var i stand  til at bære sin heltekappe uplettet ud af hoveddøren til fodboldklubben Spartak Moskva, hvor han midt i denne uge blev fyret fra jobbet som cheftræner.
9-1	Og	og	CC:----:--:----	_	
9-2	som	som	US:----:--:----	_	
9-3	på	på	T-:----:--:----	_	
9-4	mærkværdigste	mærkværdigste	XY:----:--:----	_	
9-5	vis	vis	NC:siuc:--:----	_	
9-6	var	være	VF:----:ta:----	_	
9-7	i	i	T-:----:--:----	_	
9-8	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
9-9	til	til	T-:----:--:----	_	
9-10	at	at	UI:----:--:----	_	
9-11	bære	bære	VI:----:-a:----	_	
9-12	sin	sin	PO:s--c:--:-3ys	_	
9-13	heltekappe	heltekappe	NC:siuc:--:----	_	
9-14	uplettet	uplettet	AD:----:--:p---	_	
9-15	ud	ud	D-:----:--:u---	_	
9-16	af	af	T-:----:--:----	_	
9-17	hoveddøren	hoveddør	NC:sduc:--:----	_	
9-18	til	til	T-:----:--:----	_	
9-19	fodboldklubben	fodboldklub	NC:sduc:--:----	_	
9-20	Spartak	Spartak	NP:siu#:--:----	_	
9-21	Moskva	Moskva	NP:siu#:--:----	_	
9-22	,	,	ZD	_	
9-23	hvor	hvor	D-:----:--:u---	_	
9-24	han	han	PP:s-nc:--:-3n-	_	
9-25	midt	midt	D-:----:--:u---	_	
9-26	i	i	T-:----:--:----	_	
9-27	denne	denne	PM:s-uc:--:----	_	
9-28	uge	uge	NC:siuc:--:----	_	
9-29	blev	blive	VF:----:ta:----	_	
9-30	fyret	fyre	VT:siu#:t-:----	_	
9-31	fra	fra	T-:----:--:----	_	
9-32	jobbet	job	NC:sdun:--:----	_	
9-33	som	som	US:----:--:----	_	
9-34	cheftræner	cheftræner	NC:siuc:--:----	_	
9-35	.	.	ZP	_	

#id=10
#text=En diplomatisk skikkelse, der er i stand til at svømme gennem mediehavets frådende bølger uden fare for at drukne - og uden at frisuren kommer i uorden.
10-1	En	en	PI:s-uc:--:----	_	
10-2	diplomatisk	diplomatisk	AC:siu§:--:p---	_	
10-3	skikkelse	skikkelse	NC:siuc:--:----	_	
10-4	,	,	ZD	_	
10-5	der	der	US:----:--:----	_	
10-6	er	være	VF:----:sa:----	_	
10-7	i	i	T-:----:--:----	_	
10-8	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
10-9	til	til	T-:----:--:----	_	
10-10	at	at	UI:----:--:----	_	
10-11	svømme	svømme	VI:----:-a:----	_	
10-12	gennem	gennem	T-:----:--:----	_	
10-13	mediehavets	mediehav	NC:sdgn:--:----	_	
10-14	frådende	fråde	VP:##u#:s-:----	_	
10-15	bølger	bølge	NC:piu#:--:----	_	
10-16	uden	uden	T-:----:--:----	_	
10-17	fare	fare	NC:siuc:--:----	_	
10-18	for	for	T-:----:--:----	_	
10-19	at	at	UI:----:--:----	_	
10-20	drukne	drukne	VI:----:-a:----	_	
10-21	-	-	NC:piu#:--:----	_	
10-22	og	og	CC:----:--:----	_	
10-23	uden	uden	D-:----:--:u---	_	
10-24	at	at	CS:----:--:----	_	
10-25	frisuren	frisure	NC:sduc:--:----	_	
10-26	kommer	komme	VF:----:sa:----	_	
10-27	i	i	T-:----:--:----	_	
10-28	uorden	uorden	NC:siuc:--:----	_	
10-29	.	.	ZP	_	

#id=11
#text=I Danmark er det ikke strafbart at voldtage sin kone, hvis bare hun er ude af stand til at forsvare sig.
11-1	I	i	T-:----:--:----	_	
11-2	Danmark	Danmark	NP:siu#:--:----	_	
11-3	er	være	VF:----:sa:----	_	
11-4	det	det	PP:s-un:--:-3n-	_	
11-5	ikke	ikke	D-:----:--:u---	_	
11-6	strafbart	strafbar	AC:siun:--:p---	_	
11-7	at	at	UI:----:--:----	_	
11-8	voldtage	voldtage	VI:----:-a:----	_	
11-9	sin	sin	PO:s--c:--:-3ys	_	
11-10	kone	kone	NC:siuc:--:----	_	
11-11	,	,	ZD	_	
11-12	hvis	hvis	-:----	_	
11-13	bare	bare	D-:----:--:u---	_	
11-14	hun	hun	PP:s-nc:--:-3n-	_	
11-15	er	være	VF:----:sa:----	_	
11-16	ude	ude	D-:----:--:u---	_	
11-17	af	af	T-:----:--:----	_	
11-18	stand	stand	NC:siuc:--:----	stand_F_ude-af-stand-til	
11-19	til	til	T-:----:--:----	_	
11-20	at	at	UI:----:--:----	_	
11-21	forsvare	forsvare	VI:----:-a:----	_	
11-22	sig	sig	PP:#-u#:--:-3y-	_	
11-23	.	.	ZP	_	

#id=12
#text= Man krammede ud med alt og bebyrdede børn med voksenfølelser, de ikke var i stand til at kapere.
12-1	Man	man	PI:#-uc:--:----	_	
12-2	krammede	kramme	VF:----:ta:----	_	
12-3	ud	ud	D-:----:--:u---	_	
12-4	med	med	T-:----:--:----	_	
12-5	alt	al	PI:s-un:--:----	_	
12-6	og	og	CC:----:--:----	_	
12-7	bebyrdede	bebyrde	VP:p#u#:t-:----	_	
12-8	børn	barn	NC:piu#:--:----	_	
12-9	med	med	T-:----:--:----	_	
12-10	voksenfølelser	voksenfølelse	NC:piu#:--:----	_	
12-11	,	,	ZD	_	
12-12	de	de	PP:p-n#:--:-3n-	_	
12-13	ikke	ikke	D-:----:--:u---	_	
12-14	var	være	VF:----:ta:----	_	
12-15	i	i	T-:----:--:----	_	
12-16	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
12-17	til	til	T-:----:--:----	_	
12-18	at	at	UI:----:--:----	_	
12-19	kapere	kapere	VI:----:-a:----	_	
12-20	.	.	ZP	_	

#id=13
#text= Hun er bare ærlig ind til det uudholdelige i sin beskrivelse af navnlig midaldrende liv i fortvivlende dårlig stand, ligesom hun med uhyggelig præcision borer ind til den flakkende længsel, der driver eller i sin tid drev det enkelte menneske.
13-1	Hun	hun	PP:s-nc:--:-3n-	_	
13-2	er	være	VF:----:sa:----	_	
13-3	bare	bare	D-:----:--:u---	_	
13-4	ærlig	ærlig	AC:siuc:--:p---	_	
13-5	ind	ind	D-:----:--:u---	_	
13-6	til	til	T-:----:--:----	_	
13-7	det	den	PM:s-un:--:----	_	
13-8	uudholdelige	uudholdelig	AC:sdu#:--:p---	_	
13-9	i	i	T-:----:--:----	_	
13-10	sin	sin	PO:s--c:--:-3ys	_	
13-11	beskrivelse	beskrivelse	NC:siuc:--:----	_	
13-12	af	af	T-:----:--:----	_	
13-13	navnlig	navnlig	D-:----:--:u---	_	
13-14	midaldrende	midaldrende	AC:§§u§:--:p---	_	
13-15	liv	liv	NC:siun:--:----	_	
13-16	i	i	T-:----:--:----	_	
13-17	fortvivlende	fortvivle	VP:##u#:s-:----	_	
13-18	dårlig	dårlig	AC:siuc:--:p---	_	
13-19	stand	stand	NC:siuc:--:----	stand_1	
13-20	,	,	ZD	_	
13-21	ligesom	ligesom	CS:----:--:----	_	
13-22	hun	hun	PP:s-nc:--:-3n-	_	
13-23	med	med	T-:----:--:----	_	
13-24	uhyggelig	uhyggelig	AC:siuc:--:p---	_	
13-25	præcision	præcision	NC:siuc:--:----	_	
13-26	borer	bore	VF:----:sa:----	_	
13-27	ind	ind	D-:----:--:u---	_	
13-28	til	til	T-:----:--:----	_	
13-29	den	den	PM:s-uc:--:----	_	
13-30	flakkende	flakke	VP:##u#:s-:----	_	
13-31	længsel	længsel	NC:siuc:--:----	_	
13-32	,	,	ZD	_	
13-33	der	der	US:----:--:----	_	
13-34	driver	drive	NC:piu#:--:----	_	
13-35	eller	eller	CC:----:--:----	_	
13-36	i	i	T-:----:--:----	_	
13-37	sin	sin	PO:s--c:--:-3ys	_	
13-38	tid	tid	NC:siuc:--:----	_	
13-39	drev	drive	VF:----:ta:----	_	
13-40	det	den	PM:s-un:--:----	_	
13-41	enkelte	enkelt	AC:sdu#:--:p---	_	
13-42	menneske	menneske	NC:siun:--:----	_	
13-43	.	.	ZP	_	

#id=14
#text="Til dato har jeg ikke prøvet et eneste elektronisk skræmmeprodukt, der var i stand til at holde mus eller rotter væk i mere end allerhøjst et døgn ad gangen", siger Jens Lodal, biolog og seniorrådgiver på Skadedyrlaboratoriet under Aarhus Universitet.
14-1	"	"	ZI	_	
14-2	Til	til	T-:----:--:----	_	
14-3	dato	dato	NC:siuc:--:----	_	
14-4	har	have	VF:----:sa:----	_	
14-5	jeg	jeg	PP:s-nc:--:-1n-	_	
14-6	ikke	ikke	D-:----:--:u---	_	
14-7	prøvet	prøve	VT:siu#:t-:----	_	
14-8	et	en	PI:s-un:--:----	_	
14-9	eneste	eneste	AC:§§u§:--:p---	_	
14-10	elektronisk	elektronisk	AC:siu§:--:p---	_	
14-11	skræmmeprodukt	skræmmeprodukt	NC:siun:--:----	_	
14-12	,	,	ZD	_	
14-13	der	der	US:----:--:----	_	
14-14	var	være	VF:----:ta:----	_	
14-15	i	i	T-:----:--:----	_	
14-16	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
14-17	til	til	T-:----:--:----	_	
14-18	at	at	UI:----:--:----	_	
14-19	holde	holde	VI:----:-a:----	_	
14-20	mus	mus	NC:siuc:--:----	_	
14-21	eller	eller	CC:----:--:----	_	
14-22	rotter	rotte	VF:----:sa:----	_	
14-23	væk	væk	D-:----:--:u---	_	
14-24	i	i	T-:----:--:----	_	
14-25	mere	megen	AC:##u#:--:c---	_	
14-26	end	end	CS:----:--:----	_	
14-27	allerhøjst	allerhøjst	XY:----:--:----	_	
14-28	et	en	PI:s-un:--:----	_	
14-29	døgn	døgn	NC:siun:--:----	_	
14-30	ad	ad	T-:----:--:----	_	
14-31	gangen	gang	NC:sduc:--:----	_	
14-32	"	"	ZI	_	
14-33	,	,	ZD	_	
14-34	siger	sige	VF:----:sa:----	_	
14-35	Jens	Jens	NP:siu#:--:----	_	
14-36	Lodal	Lodal	NP:siu#:--:----	_	
14-37	,	,	ZD	_	
14-38	biolog	biolog	NC:siuc:--:----	_	
14-39	og	og	CC:----:--:----	_	
14-40	seniorrådgiver	seniorrådgive	VF:----:sa:----	_	
14-41	på	på	T-:----:--:----	_	
14-42	Skadedyrlaboratoriet	Skadedyrlaboratoriet	NP:siu#:--:----	_	
14-43	under	under	T-:----:--:----	_	
14-44	Aarhus	Aarhus	NP:sig#:--:----	_	
14-45	Universitet	universitet	NC:siun:--:----	_	
14-46	.	.	ZP	_	

#id=15
#text= Han var gjort af et særligt stof, der gjorde juristen i stand til at optræde sikkert og målbevidst i rollen som erhvervsmand, når det krævedes af ham.
15-1	Han	han	PP:s-nc:--:-3n-	_	
15-2	var	være	VF:----:ta:----	_	
15-3	gjort	gøre	VT:siu#:t-:----	_	
15-4	af	af	T-:----:--:----	_	
15-5	et	en	PI:s-un:--:----	_	
15-6	særligt	særlig	AC:siun:--:p---	_	
15-7	stof	stof	NC:siun:--:----	_	
15-8	,	,	ZD	_	
15-9	der	der	US:----:--:----	_	
15-10	gjorde	gøre	VF:----:ta:----	_	
15-11	juristen	jurist	NC:sduc:--:----	_	
15-12	i	i	T-:----:--:----	_	
15-13	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
15-14	til	til	T-:----:--:----	_	
15-15	at	at	UI:----:--:----	_	
15-16	optræde	optræde	VI:----:-a:----	_	
15-17	sikkert	sikker	AC:siun:--:p---	_	
15-18	og	og	CC:----:--:----	_	
15-19	målbevidst	målbevidst	AD:----:--:p---	_	
15-20	i	i	T-:----:--:----	_	
15-21	rollen	rolle	NC:sduc:--:----	_	
15-22	som	som	US:----:--:----	_	
15-23	erhvervsmand	erhvervsmand	NC:siuc:--:----	_	
15-24	,	,	ZD	_	
