 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Det betyder, at der er nogen, der har krænket dansk ejendomsret og udsat danske søfolk for fare, og så er vi i stand til at prøve at retsforfølge dem i Danmark".
1-1	Det	det	PP:s-un:--:-3n-	_	
1-2	betyder	betyde	VF:----:sa:----	_	
1-3	,	,	ZD	_	
1-4	at	at	CS:----:--:----	_	
1-5	der	der	US:----:--:----	_	
1-6	er	være	VF:----:sa:----	_	
1-7	nogen	nogen	PI:s-uc:--:----	_	
1-8	,	,	ZD	_	
1-9	der	der	US:----:--:----	_	
1-10	har	have	VF:----:sa:----	_	
1-11	krænket	krænke	VT:siu#:t-:----	_	
1-12	dansk	dansk	AC:siu§:--:p---	_	
1-13	ejendomsret	ejendomsret	NC:siuc:--:----	_	
1-14	og	og	CC:----:--:----	_	
1-15	udsat	udsat	AD:----:--:p---	_	
1-16	danske	dansk	AC:p#u#:--:p---	_	
1-17	søfolk	søfolk	NC:piu#:--:----	_	
1-18	for	for	T-:----:--:----	_	
1-19	fare	fare	NC:siuc:--:----	_	
1-20	,	,	ZD	_	
1-21	og	og	CC:----:--:----	_	
1-22	så	så	D-:----:--:u---	_	
1-23	er	være	VF:----:sa:----	_	
1-24	vi	vi	PP:p-nc:--:-1n-	_	
1-25	i	i	T-:----:--:----	_	
1-26	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
1-27	til	til	T-:----:--:----	_	
1-28	at	at	UI:----:--:----	_	
1-29	prøve	prøve	VI:----:-a:----	_	
1-30	at	at	UI:----:--:----	_	
1-31	retsforfølge	retsforfølge	VI:----:-a:----	_	
1-32	dem	de	PP:p-u#:--:-3n-	_	
1-33	i	i	T-:----:--:----	_	
1-34	Danmark	Danmark	NP:siu#:--:----	_	
1-35	"	"	ZI	_	
1-36	.	.	ZP	_	

#id=2
#text= Den er rent faktisk også i stand til at sprede vold, terror og flygtninge langt ud over konfliktens centrum.
2-1	Den	den	PP:s-uc:--:-3n-	_	
2-2	er	være	VF:----:sa:----	_	
2-3	rent	ren	AD:----:--:p---	_	
2-4	faktisk	faktisk	AD:----:--:p---	_	
2-5	også	også	D-:----:--:u---	_	
2-6	i	i	T-:----:--:----	_	
2-7	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
2-8	til	til	T-:----:--:----	_	
2-9	at	at	UI:----:--:----	_	
2-10	sprede	sprede	VI:----:-a:----	_	
2-11	vold	vold	NC:siuc:--:----	_	
2-12	,	,	ZD	_	
2-13	terror	terror	NC:siuc:--:----	_	
2-14	og	og	CC:----:--:----	_	
2-15	flygtninge	flygtning	NC:piu#:--:----	_	
2-16	langt	lang	AD:----:--:p---	_	
2-17	ud	ud	D-:----:--:u---	_	
2-18	over	over	T-:----:--:----	_	
2-19	konfliktens	konflikt	NC:sdgc:--:----	_	
2-20	centrum	centrum	NC:siun:--:----	_	
2-21	.	.	ZP	_	

#id=3
#text= For det første har de gennemlevet noget i deres liv, som gør dem ude af stand til at have et fuldtidsjob.
3-1	For	for	T-:----:--:----	_	
3-2	det	den	PM:s-un:--:----	_	
3-3	første	første	AC:§§u§:--:p---	_	
3-4	har	have	VF:----:sa:----	_	
3-5	de	de	PP:p-n#:--:-3n-	_	
3-6	gennemlevet	gennemleve	VT:siu#:t-:----	_	
3-7	noget	nogen	PI:s-un:--:----	_	
3-8	i	i	T-:----:--:----	_	
3-9	deres	deres	PO:#--#:--:-3np	_	
3-10	liv	liv	NC:piu#:--:----	_	
3-11	,	,	ZD	_	
3-12	som	som	US:----:--:----	_	
3-13	gør	gøre	VF:----:sa:----	_	
3-14	dem	de	PP:p-u#:--:-3n-	_	
3-15	ude	ude	D-:----:--:u---	_	
3-16	af	af	T-:----:--:----	_	
3-17	stand	stand	NC:siuc:--:----	stand_F_ude-af-stand-til	
3-18	til	til	T-:----:--:----	_	
3-19	at	at	UI:----:--:----	_	
3-20	have	have	VI:----:-a:----	_	
3-21	et	en	PI:s-un:--:----	_	
3-22	fuldtidsjob	fuldtidsjob	NC:siun:--:----	_	
3-23	.	.	ZP	_	

#id=4
#text= Man skulle sætte en grænse imellem disse to begreber, og i den vaklende identitetskrise danskerne var i, var man vist ikke rigtig i stand til at skelne imellem, hvad der var danskhedens essens, og hvad der var dens indpakning.
4-1	Man	man	PI:#-uc:--:----	_	
4-2	skulle	skulle	VF:----:ta:----	_	
4-3	sætte	sætte	VI:----:-a:----	_	
4-4	en	en	PI:s-uc:--:----	_	
4-5	grænse	grænse	NC:siuc:--:----	_	
4-6	imellem	imellem	T-:----:--:----	_	
4-7	disse	denne	PM:p-u#:--:----	_	
4-8	to	to	LC:--u-:--:----	_	
4-9	begreber	begreb	NC:piu#:--:----	_	
4-10	,	,	ZD	_	
4-11	og	og	CC:----:--:----	_	
4-12	i	i	T-:----:--:----	_	
4-13	den	den	PM:s-uc:--:----	_	
4-14	vaklende	vakle	VP:##u#:s-:----	_	
4-15	identitetskrise	identitetskrise	XY:----:--:----	_	
4-16	danskerne	dansker	NC:pdu#:--:----	_	
4-17	var	være	VF:----:ta:----	_	
4-18	i	i	T-:----:--:----	_	
4-19	,	,	ZD	_	
4-20	var	være	VF:----:ta:----	_	
4-21	man	man	PI:#-uc:--:----	_	
4-22	vist	vist	D-:----:--:u---	_	
4-23	ikke	ikke	D-:----:--:u---	_	
4-24	rigtig	rigtig	AD:----:--:p---	_	
4-25	i	i	T-:----:--:----	_	
4-26	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
4-27	til	til	T-:----:--:----	_	
4-28	at	at	UI:----:--:----	_	
4-29	skelne	skelne	VI:----:-a:----	_	
4-30	imellem	imellem	T-:----:--:----	_	
4-31	,	,	ZD	_	
4-32	hvad	hvad	PR:s-u#:--:----	_	
4-33	der	der	US:----:--:----	_	
4-34	var	være	VF:----:ta:----	_	
4-35	danskhedens	danskhed	NC:sdgc:--:----	_	
4-36	essens	esse	NP:siu#:--:----	_	
4-37	,	,	ZD	_	
4-38	og	og	CC:----:--:----	_	
4-39	hvad	hvad	PR:s-u#:--:----	_	
4-40	der	der	US:----:--:----	_	
4-41	var	være	VF:----:ta:----	_	
4-42	dens	dens	PO:#--#:--:-3ns	_	
4-43	indpakning	indpakning	NC:siuc:--:----	_	
4-44	.	.	ZP	_	

#id=5
#text=Taget over alle tre dage må det konstateres, at dansk banecykling nok har en særdeles lovende trup, der er i stand til at levere topresultater på internationalt niveau nærmest på samlebånd.
5-1	Taget	tag	NC:sdun:--:----	_	
5-2	over	over	T-:----:--:----	_	
5-3	alle	al	PI:p-u#:--:----	_	
5-4	tre	tre	LC:--u-:--:----	_	
5-5	dage	dag	NC:piu#:--:----	_	
5-6	må	måtte	VF:----:sa:----	_	
5-7	det	det	PP:s-un:--:-3n-	_	
5-8	konstateres	konstatere	VF:----:sp:----	_	
5-9	,	,	ZD	_	
5-10	at	at	CS:----:--:----	_	
5-11	dansk	dansk	AC:siu§:--:p---	_	
5-12	banecykling	banecykling	NC:siuc:--:----	_	
5-13	nok	nok	D-:----:--:u---	_	
5-14	har	have	VF:----:sa:----	_	
5-15	en	en	PI:s-uc:--:----	_	
5-16	særdeles	særdeles	D-:----:--:u---	_	
5-17	lovende	lovende	AC:§§u§:--:p---	_	
5-18	trup	trup	NC:siuc:--:----	_	
5-19	,	,	ZD	_	
5-20	der	der	US:----:--:----	_	
5-21	er	være	VF:----:sa:----	_	
5-22	i	i	T-:----:--:----	_	
5-23	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
5-24	til	til	T-:----:--:----	_	
5-25	at	at	UI:----:--:----	_	
5-26	levere	levere	VI:----:-a:----	_	
5-27	topresultater	topresultat	NC:piu#:--:----	_	
5-28	på	på	T-:----:--:----	_	
5-29	internationalt	international	AD:----:--:p---	_	
5-30	niveau	niveau	XY:----:--:----	_	
5-31	nærmest	nær	AD:----:--:s---	_	
5-32	på	på	T-:----:--:----	_	
5-33	samlebånd	samlebånd	NC:siun:--:----	_	
5-34	.	.	ZP	_	

#id=6
#text= Og med helte - de modige politifolk og andre offentligt ansatte, som trods hårde odds og nogle gange modstand fra samfundets højeste niveauer er i stand til at stoppe noget af den kriminelle aktivitet og indimellem få domfældt de skyldige.
6-1	Og	og	CC:----:--:----	_	
6-2	med	med	T-:----:--:----	_	
6-3	helte	helt	NW:----:--:----	_	
6-4	-	-	ZH	_	
6-5	de	de	NP:siu#:--:----	_	
6-6	modige	modig	AC:p#u#:--:p---	_	
6-7	politifolk	politifolk	NC:piu#:--:----	_	
6-8	og	og	CC:----:--:----	_	
6-9	andre	anden	PI:p-u#:--:----	_	
6-10	offentligt	offentlig	AD:----:--:p---	_	
6-11	ansatte	ansætte	VP:p#u#:t-:----	_	
6-12	,	,	ZD	_	
6-13	som	som	US:----:--:----	_	
6-14	trods	trods	T-:----:--:----	_	
6-15	hårde	hård	AC:p#u#:--:p---	_	
6-16	odds	odds	NC:piu#:--:----	_	
6-17	og	og	CC:----:--:----	_	
6-18	nogle	nogen	PI:p-u#:--:----	_	
6-19	gange	gang	NC:piu#:--:----	_	
6-20	modstand	modstand	NC:siuc:--:----	_	
6-21	fra	fra	T-:----:--:----	_	
6-22	samfundets	samfund	NC:sdgn:--:----	_	
6-23	højeste	høj	AC:§du§:--:s---	_	
6-24	niveauer	niveau	NC:piu#:--:----	_	
6-25	er	være	VF:----:sa:----	_	
6-26	i	i	T-:----:--:----	_	
6-27	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
6-28	til	til	T-:----:--:----	_	
6-29	at	at	UI:----:--:----	_	
6-30	stoppe	stoppe	VI:----:-a:----	_	
6-31	noget	nogen	PI:s-un:--:----	_	
6-32	af	af	T-:----:--:----	_	
6-33	den	den	PM:s-uc:--:----	_	
6-34	kriminelle	kriminel	AC:sdu#:--:p---	_	
6-35	aktivitet	aktivitet	NC:siuc:--:----	_	
6-36	og	og	CC:----:--:----	_	
6-37	indimellem	indimellem	D-:----:--:u---	_	
6-38	få	få	VI:----:-a:----	_	
6-39	domfældt	domfælde	VT:siu#:t-:----	_	
6-40	de	den	PM:p-u#:--:----	_	
6-41	skyldige	skyldig	AC:p#u#:--:p---	_	
6-42	.	.	ZP	_	

#id=7
#text= De tyve fotos er fra 1976 og af  fotografen Palle From, men på trods af at serien faktisk er i upåklagelig stand, er også den sendt retur:
7-1	De	den	PM:p-u#:--:----	_	
7-2	tyve	tyve	LC:--u-:--:----	_	
7-3	fotos	foto	NC:piu#:--:----	_	
7-4	er	være	VF:----:sa:----	_	
7-5	fra	fra	T-:----:--:----	_	
7-6	1976	1976	LC:--u-:--:----	_	
7-7	og	og	CC:----:--:----	_	
7-8	af	af	T-:----:--:----	_	
7-9	fotografen	fotograf	NC:sduc:--:----	_	
7-10	Palle	Palle	NP:siu#:--:----	_	
7-11	From	From	XF:----:--:----	_	
7-12	,	,	ZD	_	
7-13	men	men	CC:----:--:----	_	
7-14	på	på	T-:----:--:----	_	
7-15	trods	trods	NC:siuc:--:----	_	
7-16	af	af	T-:----:--:----	_	
7-17	at	at	CS:----:--:----	_	
7-18	serien	serie	NC:sduc:--:----	_	
7-19	faktisk	faktisk	AD:----:--:p---	_	
7-20	er	være	VF:----:sa:----	_	
7-21	i	i	T-:----:--:----	_	
7-22	upåklagelig	upåklagelig	AC:siuc:--:p---	_	
7-23	stand	stand	NC:siuc:--:----	stand_1	
7-24	,	,	ZD	_	
7-25	er	være	VF:----:sa:----	_	
7-26	også	også	D-:----:--:u---	_	
7-27	den	den	PP:s-uc:--:-3n-	_	
7-28	sendt	sende	VT:siu#:t-:----	_	
7-29	retur	retur	D-:----:--:u---	_	
7-30	:	:	ZP	_	

#id=8
#text= Men Roskilde Brandvæsen var i stand til at vinde deres område".
8-1	Men	men	CC:----:--:----	_	
8-2	Roskilde	Roskilde	NP:siu#:--:----	_	
8-3	Brandvæsen	brandvæsen	NC:siun:--:----	_	
8-4	var	være	VF:----:ta:----	_	
8-5	i	i	T-:----:--:----	_	
8-6	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
8-7	til	til	T-:----:--:----	_	
8-8	at	at	UI:----:--:----	_	
8-9	vinde	vinde	VI:----:-a:----	_	
8-10	deres	deres	PO:#--#:--:-3np	_	
8-11	område	område	NC:siun:--:----	_	
8-12	"	"	ZI	_	
8-13	.	.	ZP	_	

#id=9
#text= Men man får nogle gange den fornemmelse, at det offentlige skal være i besiddelse af dyder, de fleste danskere aldrig selv er i stand til at opretholde.
9-1	Men	men	CC:----:--:----	_	
9-2	man	man	PI:#-uc:--:----	_	
9-3	får	få	VF:----:sa:----	_	
9-4	nogle	nogen	PI:p-u#:--:----	_	
9-5	gange	gang	NC:piu#:--:----	_	
9-6	den	den	PM:s-uc:--:----	_	
9-7	fornemmelse	fornemmelse	NC:siuc:--:----	_	
9-8	,	,	ZD	_	
9-9	at	at	CS:----:--:----	_	
9-10	det	den	PM:s-un:--:----	_	
9-11	offentlige	offentlig	AC:sdu#:--:p---	_	
9-12	skal	skulle	VF:----:sa:----	_	
9-13	være	være	VI:----:-a:----	_	
9-14	i	i	T-:----:--:----	_	
9-15	besiddelse	besiddelse	NC:siuc:--:----	_	
9-16	af	af	T-:----:--:----	_	
9-17	dyder	dyd	NC:piu#:--:----	_	
9-18	,	,	ZD	_	
9-19	de	den	PM:p-u#:--:----	_	
9-20	fleste	mange	AC:p#u#:--:s---	_	
9-21	danskere	dansker	NC:piu#:--:----	_	
9-22	aldrig	aldrig	D-:----:--:u---	_	
9-23	selv	selv	PM:#-u#:--:----	_	
