 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=- Succesen gør mig i stand til blandt andet at donere penge til projekter til udsatte børn og til skleroseforskning.
1-1	-	-	NC:piu#:--:----	_	
1-2	Succesen	succes	NC:sduc:--:----	_	
1-3	gør	gøre	VF:----:sa:----	_	
1-4	mig	jeg	PP:s-uc:--:-1#-	_	
1-5	i	i	T-:----:--:----	_	
1-6	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
1-7	til	til	T-:----:--:----	_	
1-8	blandt	blandt	T-:----:--:----	_	
1-9	andet	anden	PI:s-un:--:----	_	
1-10	at	at	UI:----:--:----	_	
1-11	donere	donere	VI:----:-a:----	_	
1-12	penge	penge	NC:piu#:--:----	_	
1-13	til	til	T-:----:--:----	_	
1-14	projekter	projekt	NC:piu#:--:----	_	
1-15	til	til	T-:----:--:----	_	
1-16	udsatte	udsat	AC:p#u#:--:p---	_	
1-17	børn	barn	NC:piu#:--:----	_	
1-18	og	og	CC:----:--:----	_	
1-19	til	til	T-:----:--:----	_	
1-20	skleroseforskning	skleroseforskning	NC:siuc:--:----	_	
1-21	.	.	ZP	_	

#id=2
#text= s palæ er netop blevet sat i stand, uden at det kostede de kommende beboere en øre.
2-1	s	@s	MN:sig#:--:----	_	
2-2	palæ	palæ	NC:siun:--:----	_	
2-3	er	være	VF:----:sa:----	_	
2-4	netop	netop	D-:----:--:u---	_	
2-5	blevet	blive	VT:siu#:t-:----	_	
2-6	sat	sætte	VT:siu#:t-:----	_	
2-7	i	i	T-:----:--:----	_	
2-8	stand	stand	NC:siuc:--:----	stand_F_gøre-(sætte,-lave,-..)-i-stand	
2-9	,	,	ZD	_	
2-10	uden	uden	-:u---	_	
2-11	at	at	CS:----:--:----	_	
2-12	det	det	PP:s-un:--:-3n-	_	
2-13	kostede	koste	VF:----:ta:----	_	
2-14	de	den	PM:p-u#:--:----	_	
2-15	kommende	komme	VP:##u#:s-:----	_	
2-16	beboere	beboer	NC:piu#:--:----	_	
2-17	en	en	PI:s-uc:--:----	_	
2-18	øre	øre	NC:siuc:--:----	_	
2-19	.	.	ZP	_	

#id=3
#text=Normalt er det kun de rige, som er i stand til at gøre det på deres grovstore lystyachter.
3-1	Normalt	normal	AD:----:--:p---	_	
3-2	er	være	VF:----:sa:----	_	
3-3	det	det	PP:s-un:--:-3n-	_	
3-4	kun	kun	D-:----:--:u---	_	
3-5	de	den	PM:p-u#:--:----	_	
3-6	rige	rig	AC:p#u#:--:p---	_	
