 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=Jeg har gennem et stykke tid gerne villet se samlingen på Herregården Odden.
1-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
1-2	har	have	VF:----:sa:----	_	
1-3	gennem	gennem	T-:----:--:----	_	
1-4	et	en	PI:s-un:--:----	_	
1-5	stykke	stykke	NC:siun:--:----	stykke_3a	
1-6	tid	tid	NC:siuc:--:----	_	
1-7	gerne	gerne	D-:----:--:u---	_	
1-8	villet	ville	VT:siu#:t-:----	_	
1-9	se	se	VI:----:-a:----	_	
1-10	samlingen	samling	NC:sduc:--:----	_	
1-11	på	på	T-:----:--:----	_	
1-12	Herregården	herregård	NC:sduc:--:----	_	
1-13	Odden	od	NC:sduc:--:----	_	
1-14	.	.	ZP	_	

#id=2
#text= Så det har jeg gjort ud over at snitte i grenspidserne og slå dem i stykker med en hammer, inden jeg kom dem i  vasen med det varme vand.
2-1	Så	så	CS:----:--:----	_	
2-2	det	det	PP:s-un:--:-3n-	_	
2-3	har	have	VF:----:sa:----	_	
2-4	jeg	jeg	PP:s-nc:--:-1n-	_	
2-5	gjort	gøre	VT:siu#:t-:----	_	
2-6	ud	ud	D-:----:--:u---	_	
2-7	over	over	T-:----:--:----	_	
2-8	at	at	UI:----:--:----	_	
2-9	snitte	snitte	VI:----:-a:----	_	
2-10	i	i	T-:----:--:----	_	
2-11	grenspidserne	grenspids	NC:pdu#:--:----	_	
2-12	og	og	CC:----:--:----	_	
2-13	slå	slå	VM:----:--:----	_	
2-14	dem	de	PP:p-u#:--:-3n-	_	
2-15	i	i	T-:----:--:----	_	
2-16	stykker	stykke	NC:piu#:--:----	stykke_F_i stykker	
2-17	med	med	T-:----:--:----	_	
2-18	en	en	PI:s-uc:--:----	_	
2-19	hammer	hammer	NC:siuc:--:----	_	
2-20	,	,	ZD	_	
2-21	inden	inden	CS:----:--:----	_	
2-22	jeg	jeg	PP:s-nc:--:-1n-	_	
2-23	kom	komme	VF:----:ta:----	_	
2-24	dem	de	PP:p-u#:--:-3n-	_	
2-25	i	i	T-:----:--:----	_	
2-26	vasen	vase	c:--:----	_	
2-27	med	med	T-:----:--:----	_	
2-28	det	den	PM:s-un:--:----	_	
2-29	varme	varm	AC:sdu#:--:p---	_	
2-30	vand	vand	NC:siun:--:----	_	
2-31	.	.	ZP	_	

#id=3
#text=Med hovederne fulde af tanker og helt stille forlod vi Manns fotografier, manden, teenageren og jeg, og bevægede os ind i et stykke danmarkshistorie:
3-1	Med	med	T-:----:--:----	_	
3-2	hovederne	hoved	NC:pdu#:--:----	_	
3-3	fulde	fuld	AC:p#u#:--:p---	_	
3-4	af	af	T-:----:--:----	_	
3-5	tanker	tanke	NC:piu#:--:----	_	
3-6	og	og	CC:----:--:----	_	
3-7	helt	hel	AD:----:--:p---	_	
3-8	stille	stille	AD:----:--:p---	_	
3-9	forlod	forlade	VF:----:ta:----	_	
3-10	vi	VI	LC:--u-:--:----	_	
3-11	Manns	Manns	NP:siu#:--:----	_	
3-12	fotografier	fotografi	NC:piu#:--:----	_	
3-13	,	,	ZD	_	
3-14	manden	mand	NC:sduc:--:----	_	
3-15	,	,	ZD	_	
3-16	teenageren	teenager	NC:sduc:--:----	_	
3-17	og	og	CC:----:--:----	_	
3-18	jeg	jeg	PP:s-nc:--:-1n-	_	
3-19	,	,	ZD	_	
