 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=Lad mig fremhæve nogle stykker:
1-1	Lad	lade	VM:----:--:----	_	
1-2	mig	jeg	PP:s-uc:--:-1#-	_	
1-3	fremhæve	fremhæve	VI:----:-a:----	_	
1-4	nogle	nogen	PI:p-u#:--:----	_	
1-5	stykker	stykke	NC:piu#:--:----	stykke_4	
1-6	:	:	ZP	_	

#id=2
#text=Venstre har jo mig bekendt siddet ved regeringsmagten et stykke tid, og antallet af folk, der bliver sat på gaden, er stigende.
2-1	Venstre	venstre	AC:§§u§:--:p---	_	
2-2	har	have	VF:----:sa:----	_	
2-3	jo	jo	----:--:u---	_	
2-4	mig	mig	NC:siun:--:----	_	
2-5	bekendt	bekende	VT:siu#:t-:----	_	
2-6	siddet	sidde	VT:siu#:t-:----	_	
2-7	ved	ved	T-:----:--:----	_	
2-8	regeringsmagten	regeringsmagt	NC:sduc:--:----	_	
2-9	et	en	PI:s-un:--:----	_	
2-10	stykke	stykke	NC:siun:--:----	stykke_3a	
2-11	tid	tid	NC:siuc:--:----	_	
2-12	,	,	ZD	_	
2-13	og	og	CC:----:--:----	_	
2-14	antallet	antal	NC:sdun:--:----	_	
2-15	af	af	T-:----:--:----	_	
2-16	folk	folk	NC:piu#:--:----	_	
2-17	,	,	ZD	_	
2-18	der	der	US:----:--:----	_	
2-19	bliver	blive	VF:----:sa:----	_	
2-20	sat	sætte	VT:siu#:t-:----	_	
2-21	på	på	T-:----:--:----	_	
2-22	gaden	gade	NC:sduc:--:----	_	
2-23	,	,	ZD	_	
2-24	er	være	VF:----:sa:----	_	
2-25	stigende	stige	VP:##u#:s-:----	_	
2-26	.	.	ZP	_	

#id=3
#text= Det er måske også det, der er forklaringen på, at Venstre har været nødt til at gå udenbys for at finde en klimaminister, altså fordi den der klimaentusiasme ikke rækker så langt, når det kommer til stykket.
3-1	Det	det	PP:s-un:--:-3n-	_	
3-2	er	være	VF:----:sa:----	_	
3-3	måske	måske	D-:----:--:u---	_	
3-4	også	også	D-:----:--:u---	_	
3-5	det	det	PP:s-un:--:-3n-	_	
3-6	,	,	ZD	_	
3-7	der	der	US:----:--:----	_	
3-8	er	være	VF:----:sa:----	_	
3-9	forklaringen	forklaring	NC:sduc:--:----	_	
3-10	på	på	T-:----:--:----	_	
3-11	,	,	ZD	_	
3-12	at	at	CS:----:--:----	_	
3-13	Venstre	venstre	AC:§§u§:--:p---	_	
3-14	har	have	VF:----:sa:----	_	
3-15	været	være	VT:siu#:t-:----	_	
3-16	nødt	nødt	AC:§§u§:--:p---	_	
3-17	til	til	T-:----:--:----	_	
3-18	at	at	UI:----:--:----	_	
3-19	gå	gå	VI:----:-a:----	_	
3-20	udenbys	udenbys	D-:----:--:u---	_	
3-21	for	for	T-:----:--:----	_	
3-22	at	at	UI:----:--:----	_	
3-23	finde	finde	VI:----:-a:----	_	
3-24	en	en	PI:s-uc:--:----	_	
3-25	klimaminister	klimaminister	NC:siuc:--:----	_	
3-26	,	,	ZD	_	
3-27	altså	altså	D-:----:--:u---	_	
3-28	fordi	fordi	CS:----:--:----	_	
3-29	den	den	PP:s-uc:--:-3n-	_	
3-30	der	der	US:----:--:----	_	
3-31	klimaentusiasme	klimaentusiasme	NC:siuc:--:----	_	
3-32	ikke	ikke	D-:----:--:u---	_	
3-33	rækker	række	VF:----:sa:----	_	
3-34	så	så	D-:----:--:u---	_	
3-35	langt	lang	AC:siun:--:p---	_	
3-36	,	,	ZD	_	
3-37	når	når	CS:----:--:----	_	
3-38	det	det	PP:s-un:--:-3n-	_	
3-39	kommer	komme	VF:----:sa:----	_	
3-40	til	til	T-:----:--:----	_	
3-41	stykket	stykke	NC:sdun:--:----	stykke_F_når det kommer til stykket	
3-42	.	.	ZP	_	

#id=4
#text= Jeg har fået at vide, at mange af de mennesker, der i praksis arbejder med ældre medicinske patienter, ser meget frem til, at der bliver lavet et sådant stykke arbejde, så vi kan gøre en mere helhedsorienteret indsats for de ældre medicinske patienter, der ellers kan komme i klemme.
4-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
4-2	har	have	VF:----:sa:----	_	
4-3	fået	få	VT:siu#:t-:----	_	
4-4	at	at	UI:----:--:----	_	
4-5	vide	vide	VI:----:-a:----	_	
4-6	,	,	ZD	_	
4-7	at	at	CS:----:--:----	_	
4-8	mange	mangen	AC:p#u#:--:p---	_	
4-9	af	af	T-:----:--:----	_	
4-10	de	den	PM:p-u#:--:----	_	
4-11	mennesker	menneske	NC:piu#:--:----	_	
4-12	,	,	ZD	_	
4-13	der	der	US:----:--:----	_	
4-14	i	i	T-:----:--:----	_	
4-15	praksis	praksis	NC:piu#:--:----	_	
4-16	arbejder	arbejde	VF:----:sa:----	_	
4-17	med	med	D-:----:--:u---	_	
4-18	ældre	gammel	AD:----:--:c---	_	
4-19	medicinske	medicinsk	AC:p#u#:--:p---	_	
4-20	patienter	patient	NC:piu#:--:----	_	
4-21	,	,	ZD	_	
4-22	ser	se	VF:----:sa:----	_	
4-23	meget	megen	AD:----:--:p---	_	
4-24	frem	frem	D-:----:--:u---	_	
4-25	til	til	T-:----:--:----	_	
4-26	,	,	ZD	_	
4-27	at	at	CS:----:--:----	_	
4-28	der	der	US:----:--:----	_	
4-29	bliver	blive	VF:----:sa:----	_	
4-30	lavet	lave	VT:siu#:t-:----	_	
4-31	et	en	PI:s-un:--:----	_	
4-32	sådant	sådan	AC:siun:--:p---	_	
4-33	stykke	stykke	NC:siun:--:----	stykke_4b	
4-34	arbejde	arbejde	NC:siun:--:----	_	
4-35	,	,	ZD	_	
4-36	så	så	CS:----:--:----	_	
4-37	vi	vi	PP:p-nc:--:-1n-	_	
4-38	kan	kunne	VF:----:sa:----	_	
4-39	gøre	gøre	VI:----:-a:----	_	
4-40	en	en	PI:s-uc:--:----	_	
4-41	mere	megen	AD:----:--:c---	_	
4-42	helhedsorienteret	helhedsorienteret	AC:siuc:--:p---	_	
4-43	indsats	indsats	NC:siuc:--:----	_	
4-44	for	for	T-:----:--:----	_	
4-45	de	den	PM:p-u#:--:----	_	
4-46	ældre	gammel	AD:----:--:c---	_	
4-47	medicinske	medicinsk	AC:p#u#:--:p---	_	
4-48	patienter	patient	NC:piu#:--:----	_	
4-49	,	,	ZD	_	
4-50	der	der	US:----:--:----	_	
4-51	ellers	ellers	D-:----:--:u---	_	
4-52	kan	kunne	VF:----:sa:----	_	
4-53	komme	komme	VI:----:-a:----	_	
4-54	i	i	T-:----:--:----	_	
4-55	klemme	klemme	NC:siuc:--:----	_	
4-56	.	.	ZP	_	

#id=5
#text=Inkluderet i det har vi så lavet en finanslovaftale, hvor vi fremrykker offentlige investeringer, så vi er nået et stykke ad den vej, som jeg præsenterede, og som hr.
5-1	Inkluderet	inkludere	VT:siu#:t-:----	_	
5-2	i	i	T-:----:--:----	_	
5-3	det	det	PP:s-un:--:-3n-	_	
5-4	har	have	VF:----:sa:----	_	
5-5	vi	vi	PP:p-nc:--:-1n-	_	
5-6	så	så	D-:----:--:u---	_	
5-7	lavet	lave	VT:siu#:t-:----	_	
5-8	en	en	PI:s-uc:--:----	_	
5-9	finanslovaftale	finanslovaftale	NC:siuc:--:----	_	
5-10	,	,	ZD	_	
5-11	hvor	hvor	D-:----:--:u---	_	
5-12	vi	vi	PP:p-nc:--:-1n-	_	
5-13	fremrykker	fremrykke	VF:----:sa:----	_	
5-14	offentlige	offentlig	AC:p#u#:--:p---	_	
5-15	investeringer	investering	NC:piu#:--:----	_	
5-16	,	,	ZD	_	
5-17	så	så	CS:----:--:----	_	
5-18	vi	vi	PP:p-nc:--:-1n-	_	
5-19	er	være	VF:----:sa:----	_	
5-20	nået	nå	VT:siu#:t-:----	_	
5-21	et	en	PI:s-un:--:----	_	
5-22	stykke	stykke	NC:siun:--:----	stykke_3	
5-23	ad	ad	T-:----:--:----	_	
5-24	den	den	PM:s-uc:--:----	_	
5-25	vej	vej	NC:siuc:--:----	_	
5-26	,	,	ZD	_	
5-27	som	som	US:----:--:----	_	
5-28	jeg	jeg	PP:s-nc:--:-1n-	_	
5-29	præsenterede	præsentere	VF:----:ta:----	_	
5-30	,	,	ZD	_	
5-31	og	og	CC:----:--:----	_	
5-32	som	som	US:----:--:----	_	
5-33	hr	herre	NC:siuc:--:----	_	
5-34	.	.	ZP	_	

#id=6
#text= Så er det bare skønne løse tanker fældet ned på et stykke papir.
6-1	Så	så	D-:----:--:u---	_	
6-2	er	være	VF:----:sa:----	_	
6-3	det	det	PP:s-un:--:-3n-	_	
6-4	bare	bare	D-:----:--:u---	_	
6-5	skønne	skøn	AC:p#u#:--:p---	_	
6-6	løse	løs	AC:p#u#:--:p---	_	
6-7	tanker	tanke	NC:piu#:--:----	_	
6-8	fældet	fælde	VT:siu#:t-:----	_	
6-9	ned	ned	D-:----:--:u---	_	
6-10	på	på	T-:----:--:----	_	
6-11	et	en	PI:s-un:--:----	_	
6-12	stykke	stykke	NC:siun:--:----	stykke_4	
6-13	papir	papir	NC:siun:--:----	_	
6-14	.	.	ZP	_	

#id=7
#text= Så jeg mener, at vi alligevel er nået et stykke, når Enhedslisten får opbakning til sin politik i Berlingske Tidende.
7-1	Så	så	CS:----:--:----	_	
7-2	jeg	jeg	PP:s-nc:--:-1n-	_	
7-3	mener	mene	VF:----:sa:----	_	
7-4	,	,	ZD	_	
7-5	at	at	CS:----:--:----	_	
7-6	vi	vi	PP:p-nc:--:-1n-	_	
7-7	alligevel	alligevel	D-:----:--:u---	_	
7-8	er	være	VF:----:sa:----	_	
7-9	nået	nå	VT:siu#:t-:----	_	
7-10	et	en	PI:s-un:--:----	_	
7-11	stykke	stykke	NC:siun:--:----	stykke_3	
7-12	,	,	ZD	_	
7-13	når	når	CS:----:--:----	_	
