 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=At folk, der har skrevet en bog og modtager royalties, bliver beskattet på samme måde som en folkeskolelærer, der ikke har skrevet en bog, at en fotograf, der har taget et billede, der bliver  genbrugt, bliver beskattet på samme måde som en ingeniør, der laver et stykke arbejde, det mener oppositionen er urimeligt.
1-1	At	at	CS:----:--:----	_	
1-2	folk	folk	NC:piu#:--:----	_	
1-3	,	,	ZD	_	
1-4	der	der	US:----:--:----	_	
1-5	har	have	VF:----:sa:----	_	
1-6	skrevet	skrive	VT:siu#:t-:----	_	
1-7	en	en	PI:s-uc:--:----	_	
1-8	bog	bog	NC:siuc:--:----	_	
1-9	og	og	CC:----:--:----	_	
1-10	modtager	modtage	VF:----:sa:----	_	
1-11	royalties	royalty	NC:piu#:--:----	_	
1-12	,	,	ZD	_	
1-13	bliver	blive	VF:----:sa:----	_	
1-14	beskattet	beskatte	VT:siu#:t-:----	_	
1-15	på	på	T-:----:--:----	_	
1-16	samme	samme	AC:§§u§:--:p---	_	
1-17	måde	måde	NC:siuc:--:----	_	
1-18	som	som	US:----:--:----	_	
1-19	en	en	PI:s-uc:--:----	_	
1-20	folkeskolelærer	folkeskolelærer	NC:siuc:--:----	_	
1-21	,	,	ZD	_	
1-22	der	der	US:----:--:----	_	
1-23	ikke	ikke	D-:----:--:u---	_	
1-24	har	have	VF:----:sa:----	_	
1-25	skrevet	skrive	VT:siu#:t-:----	_	
1-26	en	en	PI:s-uc:--:----	_	
1-27	bog	bog	NC:siuc:--:----	_	
1-28	,	,	ZD	_	
1-29	at	at	CS:----:--:----	_	
1-30	en	en	PI:s-uc:--:----	_	
1-31	fotograf	fotograf	NC:siuc:--:----	_	
1-32	,	,	ZD	_	
1-33	der	der	US:----:--:----	_	
1-34	har	have	VF:----:sa:----	_	
1-35	taget	tage	VT:siu#:t-:----	_	
1-36	et	en	PI:s-un:--:----	_	
1-37	billede	billede	NC:siun:--:----	_	
1-38	,	,	ZD	_	
1-39	der	der	US:----:--:----	_	
1-40	bliver	blive	VF:----:sa:----	_	
1-41	genbrugt	genbruge	VT:siu#:t-:----	_	
1-42	,	,	ZD	_	
1-43	bliver	blive	VF:----:sa:----	_	
1-44	beskattet	beskatte	VT:siu#:t-:----	_	
1-45	på	på	T-:----:--:----	_	
1-46	samme	samme	AC:§§u§:--:p---	_	
1-47	måde	måde	NC:siuc:--:----	_	
1-48	som	som	US:----:--:----	_	
1-49	en	en	PI:s-uc:--:----	_	
1-50	ingeniør	ingeniør	NC:siuc:--:----	_	
1-51	,	,	ZD	_	
1-52	der	der	US:----:--:----	_	
1-53	laver	lave	VF:----:sa:----	_	
1-54	et	en	PI:s-un:--:----	_	
1-55	stykke	stykke	NC:siun:--:----	stykke_4b	
1-56	arbejde	arbejde	NC:siun:--:----	_	
1-57	,	,	ZD	_	
1-58	det	det	PP:s-un:--:-3n-	_	
1-59	mener	mene	VF:----:sa:----	_	
1-60	oppositionen	opposition	NC:sduc:--:----	_	
1-61	er	være	VF:----:sa:----	_	
1-62	urimeligt	urimelig	AD:----:--:p---	_	
1-63	.	.	ZP	_	

#id=2
#text=Der er taget en række helt konkrete initiativer, som har den klare hensigt at gøre de offentlige systemer bedre til at hjælpe og vejlede borgerne, så vi er altså i gang og har været det i et stykke tid nu.
2-1	Der	der	US:----:--:----	_	
2-2	er	være	VF:----:sa:----	_	
2-3	taget	tage	VT:siu#:t-:----	_	
2-4	en	en	PI:s-uc:--:----	_	
2-5	række	række	NC:siuc:--:----	_	
