 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=Hvis der gør kommer der nok til at gå et stykke tid.
1-1	Hvis	hvis	CS:----:--:----	_	
1-2	der	der	US:----:--:----	_	
1-3	gør	gø	VF:----:sa:----	_	
1-4	kommer	komme	VF:----:sa:----	_	
1-5	der	der	US:----:--:----	_	
1-6	nok	nok	D-:----:--:u---	_	
1-7	til	til	T-:----:--:----	_	
1-8	at	at	UI:----:--:----	_	
1-9	gå	gå	VI:----:-a:----	_	
1-10	et	en	PI:s-un:--:----	_	
1-11	stykke	stykke	NC:siun:--:----	stykke_3a	
1-12	tid	tid	NC:siuc:--:----	_	
1-13	.	.	ZP	_	

#id=2
#text=tja... det er jo et stykke tid siden, at Zabuza er død, så kan godt forstå at det er svært at huske... har faktisk selv problemer med det, men gider ikke tjekke om hvad der er rigtigt lige nu... hehe, er rimlig doven.
2-1	tja	tja	I-:----:--:----	_	
2-2	.	.	ZP	_	
2-3	.	.	ZP	_	
2-4	.	.	ZP	_	
2-5	det	det	PP:s-un:--:-3n-	_	
2-6	er	være	VF:----:sa:----	_	
2-7	jo	jo	D-:----:--:u---	_	
2-8	et	en	PI:s-un:--:----	_	
2-9	stykke	stykke	NC:siun:--:----	stykke_3a	
2-10	tid	tid	NC:siuc:--:----	_	
2-11	siden	siden	T-:----:--:----	_	
2-12	,	,	ZD	_	
2-13	at	at	CS:----:--:----	_	
2-14	Zabuza	Zabuza	NP:siu#:--:----	_	
2-15	er	være	VF:----:sa:----	_	
2-16	død	død	AC:siuc:--:p---	_	
2-17	,	,	ZD	_	
2-18	så	så	D-:----:--:u---	_	
2-19	kan	kunne	VF:----:sa:----	_	
2-20	godt	god	AD:----:--:p---	_	
2-21	forstå	forstå	VI:----:-a:----	_	
2-22	at	at	CS:----:--:----	_	
2-23	det	det	PP:s-un:--:-3n-	_	
2-24	er	være	VF:----:sa:----	_	
2-25	svært	svær	AC:siun:--:p---	_	
2-26	at	at	UI:----:--:----	_	
2-27	huske	huske	VI:----:-a:----	_	
2-28	.	.	ZP	_	
2-29	.	.	ZP	_	
2-30	.	.	ZP	_	
2-31	har	have	VF:----:sa:----	_	
2-32	faktisk	faktisk	AD:----:--:p---	_	
2-33	selv	selv	D-:----:--:u---	_	
2-34	problemer	problem	NC:piu#:--:----	_	
2-35	med	med	T-:----:--:----	_	
2-36	det	det	PP:s-un:--:-3n-	_	
2-37	,	,	ZD	_	
2-38	men	men	CC:----:--:----	_	
2-39	gider	gide	VF:----:sa:----	_	
2-40	ikke	ikke	D-:----:--:u---	_	
2-41	tjekke	tjekke	--:-a:----	_	
2-42	om	om	CS:----:--:----	_	
2-43	hvad	hvad	PR:s-u#:--:----	_	
2-44	der	der	US:----:--:----	_	
2-45	er	være	VF:----:sa:----	_	
2-46	rigtigt	rigtig	AD:----:--:p---	_	
2-47	lige	lige	D-:----:--:u---	_	
2-48	nu	nu	D-:----:--:u---	_	
2-49	.	.	ZP	_	
2-50	.	.	ZP	_	
2-51	.	.	ZP	_	
2-52	hehe	hehe	I-:----:--:----	_	
2-53	,	,	ZD	_	
2-54	er	være	VF:----:sa:----	_	
2-55	rimlig	rimlig	AC:siu§:--:p---	_	
2-56	doven	doven	AC:siuc:--:p---	_	
2-57	.	.	ZP	_	

#id=3
#text= Indtil videre er de vist oppe på omkring de 18 stykker...
3-1	Indtil	indtil	CS:----:--:----	_	
3-2	videre	videre	D-:----:--:u---	_	
3-3	er	være	VF:----:sa:----	_	
3-4	de	de	PP:p-n#:--:-3n-	_	
3-5	vist	vist	D-:----:--:u---	_	
3-6	oppe	oppe	D-:----:--:u---	_	
3-7	på	på	T-:----:--:----	_	
3-8	omkring	omkring	--:--:----	_	
3-9	de	den	PM:p-u#:--:----	_	
3-10	18	18	LC:--u-:--:----	_	
3-11	stykker	stykke	NC:piu#:--:----	stykke_4a	
3-12	.	.	ZP	_	
3-13	.	.	ZP	_	
3-14	.	.	ZP	_	

#id=4
#text= Venter et stykke tid med at stemme.
4-1	Venter	vente	VF:----:sa:----	_	
4-2	et	en	PI:s-un:--:----	_	
4-3	stykke	stykke	NC:siun:--:----	stykke_3a	
4-4	tid	tid	NC:siuc:--:----	_	
4-5	med	med	T-:----:--:----	_	
4-6	at	at	UI:----:--:----	_	
4-7	stemme	stemme	VI:----:-a:----	_	
4-8	.	.	ZP	_	

#id=5
#text= Det er virkelig unikt, og det bedste jeg er stødt på i et stykke tid.
5-1	Det	det	PP:s-un:--:-3n-	_	
5-2	er	være	VF:----:sa:----	_	
5-3	virkelig	virkelig	D-:----:--:u---	_	
5-4	unikt	unik	AC:siun:--:p---	_	
5-5	,	,	ZD	_	
5-6	og	og	CC:----:--:----	_	
5-7	det	den	PM:s-un:--:----	_	
5-8	bedste	god	AC:§du§:--:s---	_	
5-9	jeg	jeg	NC:siun:--:----	_	
5-10	er	være	VF:----:sa:----	_	
5-11	stødt	støde	VT:siu#:t-:----	_	
5-12	på	på	T-:----:--:----	_	
5-13	i	i	T-:----:--:----	_	
5-14	et	en	PI:s-un:--:----	_	
5-15	stykke	stykke	NC:siun:--:----	stykke_3a	
5-16	tid	tid	NC:siuc:--:----	_	
5-17	.	.	ZP	_	

#id=6
#text= Jeg har da et par stykker: gaiaonline.com - Vist nok verdens største forum, mener der er over 1 mio. registrerede!
6-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
6-2	har	have	VF:----:sa:----	_	
6-3	da	da	D-:----:--:u---	_	
6-4	et	en	PI:s-un:--:----	_	
6-5	par	par	NC:siun:--:----	_	
6-6	stykker	stykke	NC:piu#:--:----	stykke_4a	
6-7	:	:	ZP	_	
6-8	gaiaonline	gaiaonline	AD:----:--:p---	_	
6-9	.	.	ZP	_	
6-10	com	com	DW:----:--:----	_	
6-11	-	-	ZH	_	
6-12	Vist	vise	VT:siu#:t-:----	_	
6-13	nok	nok	AC:§§u§:--:p---	_	
6-14	verdens	verden	NC:sigc:--:----	_	
6-15	største	stor	AC:§du§:--:s---	_	
6-16	forum	forum	NC:siun:--:----	_	
6-17	,	,	ZD	_	
6-18	mener	mene	VF:----:sa:----	_	
6-19	der	der	US:----:--:----	_	
6-20	er	være	VF:----:sa:----	_	
6-21	over	over	T-:----:--:----	_	
6-22	1	1	LC:--u-:--:----	_	
6-23	mio	mio	XS:----:--:----	_	
6-24	.	.	ZP	_	
6-25	registrerede	registrerede	AC:p#u#:--:p---	_	
6-26	!	!	ZP	_	

#id=7
#text=jeg er da på nogle få stykker..
7-1	jeg	jeg	PP:s-nc:--:-1n-	_	
7-2	er	være	VF:----:sa:----	_	
7-3	da	da	D-:----:--:u---	_	
7-4	på	på	T-:----:--:----	_	
7-5	nogle	nogen	PI:p-u#:--:----	_	
7-6	få	få	AC:p#u#:--:p---	_	
7-7	stykker	stykke	NC:piu#:--:----	stykke_4a	
7-8	.	.	ZP	_	
7-9	.	.	ZP	_	

#id=8
#text= Jeg har da selv, med hjælp fra en anden fan, fået "convertet" op mod 10 stykker her på teknisk gymnasium.
8-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
8-2	har	have	VF:----:sa:----	_	
8-3	da	da	D-:----:--:u---	_	
8-4	selv	selv	PM:#-u#:--:----	_	
8-5	,	,	ZD	_	
8-6	med	med	T-:----:--:----	_	
8-7	hjælp	hjælp	NC:siuc:--:----	_	
8-8	fra	fra	T-:----:--:----	_	
8-9	en	en	PI:s-uc:--:----	_	
8-10	anden	anden	PI:s-uc:--:----	_	
8-11	fan	fan	NC:siuc:--:----	_	
8-12	,	,	ZD	_	
8-13	fået	få	VT:siu#:t-:----	_	
8-14	"	"	ZI	_	
8-15	convertet	converten	PI:s-un:--:----	_	
8-16	"	"	ZI	_	
8-17	op	op	D-:----:--:u---	_	
8-18	mod	mod	T-:----:--:----	_	
8-19	10	10	LC:--u-:--:----	_	
8-20	stykker	stykke	NC:piu#:--:----	stykke_4a	
8-21	her	her	D-:----:--:u---	_	
8-22	på	på	T-:----:--:----	_	
8-23	teknisk	teknisk	AC:siu§:--:p---	_	
8-24	gymnasium	gymnasium	NC:siun:--:----	_	
8-25	.	.	ZP	_	

#id=9
#text=hehe, der er kun en nostalgisk anime der slår silver :P nemlig ROBOTECH hvilket jeg købte hele serien af for et godt stykke tid siden :)
9-1	hehe	hehe	I-:----:--:----	_	
9-2	,	,	ZD	_	
9-3	der	der	US:----:--:----	_	
9-4	er	være	VF:----:sa:----	_	
9-5	kun	kun	D-:----:--:u---	_	
9-6	en	en	PI:s-uc:--:----	_	
9-7	nostalgisk	nostalgisk	AC:siuc:--:p---	_	
9-8	anime	Anime	NP:siu#:--:----	_	
9-9	der	der	US:----:--:----	_	
9-10	slår	slå	VF:----:sa:----	_	
9-11	silver	silvvære	VF:----:sa:----	_	
9-12	:	:	ZP	_	
9-13	P	P	NP:siu#:--:----	_	
9-14	nemlig	nemlig	D-:----:--:u---	_	
9-15	ROBOTECH	ROBOTECH	NP:siu#:--:----	_	
9-16	hvilket	hvilket	XY:----:--:----	_	
9-17	jeg	jeg	NC:siun:--:----	_	
9-18	købte	købe	VF:----:ta:----	_	
9-19	hele	hel	AC:sdu#:--:p---	_	
9-20	serien	serie	NC:sduc:--:----	_	
9-21	af	af	T-:----:--:----	_	
9-22	for	for	T-:----:--:----	_	
9-23	et	en	PI:s-un:--:----	_	
9-24	godt	god	AC:siun:--:p---	stykke_3a	
9-25	stykke	stykke	NC:siun:--:----	_	
9-26	tid	tid	NC:siuc:--:----	_	
9-27	siden	siden	D-:----:--:u---	_	
9-28	:	:	ZP	_	
9-29	)	)	ZD	_	

#id=10
#text= Naruto er bare ikke noget videre geni, og har heller ikke noget freaky level 2 curse seal til at tidoble hans styrke......(Desuden er jeg ret sikker på at Naruto holdt igen med sin Rasengan, han ville jo slæbe Sasuke tilbage, og jeg tror ikke at Sakura ville være særlig glad for Sasuke med hovedet sprunget i stykker)
10-1	Naruto	Naruto	NP:siu#:--:----	_	
10-2	er	være	VF:----:sa:----	_	
10-3	bare	bare	D-:----:--:u---	_	
