 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=Et stykke væk ligger ruinerne af det tidligere russiske kulturcenter i Kabul.
1-1	Et	en	PI:s-un:--:----	_	
1-2	stykke	stykke	NC:siun:--:----	stykke_3	
1-3	væk	væk	D-:----:--:u---	_	
1-4	ligger	ligge	VF:----:sa:----	_	
1-5	ruinerne	ruin	NC:pdu#:--:----	_	
1-6	af	af	T-:----:--:----	_	
1-7	det	den	PM:s-un:--:----	_	
1-8	tidligere	tidlig	AC:##u#:--:c---	_	
1-9	russiske	russisk	AC:sdu#:--:p---	_	
1-10	kulturcenter	kulturcenter	n:--:----	_	
1-11	i	i	T-:----:--:----	_	
1-12	Kabul	Kabul	NP:siu#:--:----	_	
1-13	.	.	ZP	_	

#id=2
#text= Meloner, omhyggeligt skåret ud i små stykker, og cigaretter, som sælges enkeltvis.
2-1	Meloner	melon	NC:piu#:--:----	_	
2-2	,	,	ZD	_	
2-3	omhyggeligt	omhyggelig	AD:----:--:p---	_	
2-4	skåret	skære	VT:siu#:t-:----	_	
2-5	ud	ud	D-:----:--:u---	_	
2-6	i	i	T-:----:--:----	_	
2-7	små	lille	AC:p#u#:--:p---	_	
2-8	stykker	stykke	NC:piu#:--:----	stykke_1	
2-9	,	,	ZD	_	
2-10	og	og	CC:----:--:----	_	
2-11	cigaretter	cigaret	NC:piu#:--:----	_	
2-12	,	,	ZD	_	
2-13	som	som	US:----:--:----	_	
2-14	sælges	sælge	VF:----:sp:----	_	
2-15	enkeltvis	enkeltvis	AD:----:--:p---	_	
2-16	.	.	ZP	_	

#id=3
#text=De deltager i et unikt forsøg, hvor de hver fjerde uge får sat små stykker genetisk materiale i form af RNA direkte ind i øjet via en indsprøjtning.
3-1	De	de	PP:p-n#:--:-3n-	_	
3-2	deltager	deltage	VF:----:sa:----	_	
3-3	i	i	T-:----:--:----	_	
3-4	et	en	PI:s-un:--:----	_	
3-5	unikt	unik	AC:siun:--:p---	_	
3-6	forsøg	forsøg	NC:siun:--:----	_	
3-7	,	,	ZD	_	
3-8	hvor	hvor	D-:----:--:u---	_	
3-9	de	de	PP:p-n#:--:-3n-	_	
3-10	hver	hver	PI:s-uc:--:----	_	
3-11	fjerde	fire	LO:--u#:--:----	_	
3-12	uge	uge	NC:siuc:--:----	_	
3-13	får	få	VF:----:sa:----	_	
3-14	sat	sætte	VT:siu#:t-:----	_	
3-15	små	lille	AC:p#u#:--:p---	_	
3-16	stykker	stykke	NC:piu#:--:----	stykke_1	
3-17	genetisk	genetisk	AC:siun:--:p---	_	
3-18	materiale	materiale	NC:siun:--:----	_	
3-19	i	i	T-:----:--:----	_	
3-20	form	form	NC:siuc:--:----	_	
3-21	af	af	T-:----:--:----	_	
3-22	RNA	RNA	NP:siu#:--:----	_	
3-23	direkte	direkte	AD:----:--:p---	_	
3-24	ind	ind	D-:----:--:u---	_	
3-25	i	i	T-:----:--:----	_	
3-26	øjet	øje	NC:sdun:--:----	_	
3-27	via	via	T-:----:--:----	_	
3-28	en	en	PI:s-uc:--:----	_	
3-29	indsprøjtning	indsprøjtning	NC:siuc:--:----	_	
3-30	.	.	ZP	_	

#id=4
#text=Et par stykker kan dog også se forele:
4-1	Et	en	PI:s-un:--:----	_	
4-2	par	par	NC:siun:--:----	_	
4-3	stykker	stykke	NC:piu#:--:----	stykke_4a	
4-4	kan	kunne	VF:----:sa:----	_	
4-5	dog	dog	D-:----:--:u---	_	
4-6	også	også	D-:----:--:u---	_	
4-7	se	se	VI:----:-a:----	_	
4-8	forele	forele	XF:----:--:----	_	
4-9	:	:	ZP	_	

#id=5
#text= Omvendt er der den negative død, som kommer pludseligt, hvor tiden bliver revet i stykker.
5-1	Omvendt	omvendt	AD:----:--:p---	_	
5-2	er	være	VF:----:sa:----	_	
5-3	der	der	US:----:--:----	_	
5-4	den	den	PM:s-uc:--:----	_	
5-5	negative	negativ	AC:sdu#:--:p---	_	
5-6	død	død	NC:siuc:--:----	_	
5-7	,	,	ZD	_	
5-8	som	som	US:----:--:----	_	
5-9	kommer	komme	VF:----:sa:----	_	
5-10	pludseligt	pludselig	AC:siun:--:p---	_	
5-11	,	,	ZD	_	
5-12	hvor	hvor	D-:----:--:u---	_	
5-13	tiden	tid	NC:sduc:--:----	_	
5-14	bliver	blive	VF:----:sa:----	_	
5-15	revet	rive	VT:siu#:t-:----	_	
5-16	i	i	T-:----:--:----	_	
5-17	stykker	stykke	NC:piu#:--:----	stykke_F_i stykker	
5-18	.	.	ZP	_	

#id=6
#text= Ved etableringen af parken afdækkede man et stort stykke af Ayyubid-bymuren fra 1100-1200-tallet - den kan man også besigtige.
6-1	Ved	ved	T-:----:--:----	_	
6-2	etableringen	etablering	NC:sduc:--:----	_	
6-3	af	af	T-:----:--:----	_	
6-4	parken	park	NC:sduc:--:----	_	
6-5	afdækkede	afdække	VF:----:ta:----	_	
6-6	man	man	PI:#-uc:--:----	_	
6-7	et	en	PI:s-un:--:----	_	
6-8	stort	stor	AC:siun:--:p---	_	
6-9	stykke	stykke	NC:siun:--:----	stykke_2	
6-10	af	af	T-:----:--:----	_	
6-11	Ayyubid	Ayyubid	NP:siu#:--:----	_	
6-12	-	-	ZH	_	
6-13	bymuren	bymur	NC:sduc:--:----	_	
6-14	fra	fra	T-:----:--:----	_	
6-15	1100	1100	LC:--u-:--:----	_	
6-16	-	-	ZH	_	
6-17	1200	1200	LW:----:--:----	_	
6-18	-	-	ZH	_	
6-19	tallet	tal	NC:sdun:--:----	_	
6-20	-	-	NC:piu#:--:----	_	
6-21	den	den	PM:s-uc:--:----	_	
6-22	kan	kunne	VF:----:sa:----	_	
6-23	man	man	PI:#-uc:--:----	_	
6-24	også	også	D-:----:--:u---	_	
6-25	besigtige	besigtige	VI:----:-a:----	_	
6-26	.	.	ZP	_	

#id=7
#text="I vores samfund har vi svært ved at lade de faldne i fred", sagde Jonathan Gefen i et interview i den israelske militærradio i sidste uge efter stykkets forpremiere på Cameri Teateret i Tel Aviv.
7-1	"	"	ZI	_	
7-2	I	i	T-:----:--:----	_	
7-3	vores	vores	PO:#--#:--:-1np	_	
7-4	samfund	samfund	NC:siun:--:----	_	
7-5	har	have	VF:----:sa:----	_	
7-6	vi	vi	PP:p-nc:--:-1n-	_	
7-7	svært	svær	AD:----:--:p---	_	
7-8	ved	ved	T-:----:--:----	_	
7-9	at	at	UI:----:--:----	_	
7-10	lade	lade	VI:----:-a:----	_	
7-11	de	de	NP:siu#:--:----	_	
7-12	faldne	faldne	NP:siu#:--:----	_	
7-13	i	i	T-:----:--:----	_	
7-14	fred	fred	NC:siuc:--:----	_	
7-15	"	"	ZI	_	
7-16	,	,	ZD	_	
7-17	sagde	sige	VF:----:ta:----	_	
7-18	Jonathan	Jonathan	NP:siu#:--:----	_	
7-19	Gefen	Gefen	NP:siu#:--:----	_	
7-20	i	i	T-:----:--:----	_	
7-21	et	en	PI:s-un:--:----	_	
7-22	interview	interview	NC:siun:--:----	_	
7-23	i	i	T-:----:--:----	_	
7-24	den	den	PM:s-uc:--:----	_	
7-25	israelske	israelsk	AC:sdu#:--:p---	_	
7-26	militærradio	militærradio	NC:siuc:--:----	_	
7-27	i	i	T-:----:--:----	_	
7-28	sidste	sidste	AC:§§u§:--:p---	_	
7-29	uge	uge	NC:siuc:--:----	_	
7-30	efter	efter	T-:----:--:----	_	
7-31	stykkets	stykke	NC:sdgn:--:----	stykke_5a	
7-32	forpremiere	forpremiere	NC:siuc:--:----	_	
7-33	på	på	T-:----:--:----	_	
7-34	Cameri	Cameri	NP:siu#:--:----	_	
7-35	Teateret	Teateret	NC:sdun:--:----	_	
7-36	i	i	T-:----:--:----	_	
7-37	Tel	Tel	NP:siu#:--:----	_	
7-38	Aviv	Aviv	NP:siu#:--:----	_	
7-39	.	.	ZP	_	

#id=8
#text= Stykket skabte skandale, netop fordi Levin, som Gefen, lod de døde soldater tale til de efterladte om, hvor gerne de ville have været fri for at blive gjort til helte.
8-1	Stykket	stykke	NC:sdun:--:----	stykke_5a	
8-2	skabte	skabe	VF:----:ta:----	_	
8-3	skandale	skandale	NC:siuc:--:----	_	
8-4	,	,	ZD	_	
8-5	netop	netop	D-:----:--:u---	_	
8-6	fordi	fordi	CS:----:--:----	_	
8-7	Levin	Levin	NP:siu#:--:----	_	
8-8	,	,	ZD	_	
8-9	som	som	US:----:--:----	_	
8-10	Gefen	Gefen	NP:siu#:--:----	_	
8-11	,	,	ZD	_	
8-12	lod	lade	VF:----:ta:----	_	
8-13	de	den	PM:p-u#:--:----	_	
8-14	døde	død	AC:p#u#:--:p---	_	
8-15	soldater	soldat	NC:piu#:--:----	_	
8-16	tale	tale	NC:siuc:--:----	_	
8-17	til	til	T-:----:--:----	_	
8-18	de	den	PM:p-u#:--:----	_	
8-19	efterladte	efterlade	VP:p#u#:t-:----	_	
8-20	om	om	T-:----:--:----	_	
8-21	,	,	ZD	_	
8-22	hvor	hvor	D-:----:--:u---	_	
8-23	gerne	gerne	D-:----:--:u---	_	
8-24	de	de	PP:p-n#:--:-3n-	_	
8-25	ville	ville	VF:----:ta:----	_	
8-26	have	have	VI:----:-a:----	_	
8-27	været	være	VT:siu#:t-:----	_	
8-28	fri	fri	AC:siuc:--:p---	_	
8-29	for	for	T-:----:--:----	_	
8-30	at	at	UI:----:--:----	_	
8-31	blive	blive	VI:----:-a:----	_	
8-32	gjort	gøre	VT:siu#:t-:----	_	
8-33	til	til	T-:----:--:----	_	
8-34	helte	helt	NC:piu#:--:----	_	
8-35	.	.	ZP	_	

#id=9
#text= "Jeg opfatter Gefens stykke som en kritik af, at man tager sig for lidt af de levende, og jeg er helt enig.
9-1	"	"	ZI	_	
9-2	Jeg	jeg	PP:s-nc:--:-1n-	_	
9-3	opfatter	opfatte	VF:----:sa:----	_	
9-4	Gefens	Gefens	NP:sig#:--:----	_	
9-5	stykke	stykke	NC:siun:--:----	stykke_5a	
9-6	som	som	US:----:--:----	_	
9-7	en	en	PI:s-uc:--:----	_	
9-8	kritik	kritik	NC:siuc:--:----	_	
9-9	af	af	T-:----:--:----	_	
9-10	,	,	ZD	_	
9-11	at	at	CS:----:--:----	_	
9-12	man	man	PI:#-uc:--:----	_	
9-13	tager	tage	VF:----:sa:----	_	
9-14	sig	sig	PP:#-u#:--:-3y-	_	
9-15	for	for	T-:----:--:----	_	
9-16	lidt	lidt	AD:----:--:p---	_	
9-17	af	af	T-:----:--:----	_	
9-18	de	den	PM:p-u#:--:----	_	
9-19	levende	levende	AC:§§u§:--:p---	_	
9-20	,	,	ZD	_	
9-21	og	og	CC:----:--:----	_	
9-22	jeg	jeg	PP:s-nc:--:-1n-	_	
9-23	er	være	VF:----:sa:----	_	
9-24	helt	hel	AD:----:--:p---	_	
9-25	enig	enig	AC:siuc:--:p---	_	
9-26	.	.	ZP	_	

#id=10
#text=Efter en debriefing tog vi en otte stykker ud og fik øl, og jeg var først hjemme klokken 3.
10-1	Efter	efter	T-:----:--:----	_	
10-2	en	en	PI:s-uc:--:----	_	
10-3	debriefing	debriefing	NC:siuc:--:----	_	
10-4	tog	tage	VF:----:ta:----	_	
10-5	vi	vi	PP:p-nc:--:-1n-	_	
10-6	en	en	PI:s-uc:--:----	_	
10-7	otte	otte	LC:--u-:--:----	_	
10-8	stykker	stykke	NC:piu#:--:----	stykke_4a	
10-9	ud	ud	D-:----:--:u---	_	
10-10	og	og	CC:----:--:----	_	
10-11	fik	få	VF:----:ta:----	_	
10-12	øl	øl	NC:siuc:--:----	_	
10-13	,	,	ZD	_	
10-14	og	og	CC:----:--:----	_	
10-15	jeg	jeg	PP:s-nc:--:-1n-	_	
10-16	var	være	VF:----:ta:----	_	
10-17	først	først	D-:----:--:u---	_	
10-18	hjemme	hjemme	D-:----:--:u---	_	
10-19	klokken	klokke	NC:sduc:--:----	_	
10-20	3	3	LC:--u-:--:----	_	
10-21	.	.	ZP	_	

#id=11
#text= Tina kunne godt lide stykket, men jeg har ikke samme forhold til musikken, for vi hørte ikke så meget dansk musik på Færøerne i firserne.
11-1	Tina	Tina	NP:siu#:--:----	_	
11-2	kunne	kunne	VF:----:ta:----	_	
11-3	godt	god	AD:----:--:p---	_	
11-4	lide	lide	VI:----:-a:----	_	
11-5	stykket	stykke	NC:sdun:--:----	stykke_5b	
11-6	,	,	ZD	_	
11-7	men	men	CC:----:--:----	_	
11-8	jeg	jeg	PP:s-nc:--:-1n-	_	
11-9	har	have	VF:----:sa:----	_	
11-10	ikke	ikke	D-:----:--:u---	_	
11-11	samme	samme	AC:§§u§:--:p---	_	
11-12	forhold	forhold	NC:siun:--:----	_	
11-13	til	til	T-:----:--:----	_	
11-14	musikken	musik	NC:sduc:--:----	_	
11-15	,	,	ZD	_	
11-16	for	for	CC:----:--:----	_	
11-17	vi	vi	PP:p-nc:--:-1n-	_	
11-18	hørte	høre	VF:----:ta:----	_	
11-19	ikke	ikke	D-:----:--:u---	_	
11-20	så	så	D-:----:--:u---	_	
11-21	meget	megen	AD:----:--:p---	_	
11-22	dansk	dansk	AC:siu§:--:p---	_	
11-23	musik	musik	NC:siuc:--:----	_	
11-24	på	på	T-:----:--:----	_	
11-25	Færøerne	Færøerne	NP:siu#:--:----	_	
11-26	i	i	T-:----:--:----	_	
11-27	firserne	firser	NC:pdu#:--:----	_	
11-28	.	.	ZP	_	

#id=12
#text= Vi må bruge krisen til at bevise, at vi ikke bare er krævende, men også kan bidrage til fællesskabet ved at levere et godt gammeldags stykke rugbrødsarbejde.
12-1	Vi	vi	PP:p-nc:--:-1n-	_	
12-2	må	måtte	VF:----:sa:----	_	
12-3	bruge	bruge	VI:----:-a:----	_	
12-4	krisen	kris	NC:sduc:--:----	_	
