 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=Men det var også gået lidt i stykker i et hjørne, men det hæmmede altså ikke dets spilleevne?
1-1	Men	men	CC:----:--:----	_	
1-2	det	det	PP:s-un:--:-3n-	_	
1-3	var	være	VF:----:ta:----	_	
1-4	også	også	D-:----:--:u---	_	
1-5	gået	gå	VT:siu#:t-:----	_	
1-6	lidt	lidt	AD:----:--:p---	_	
1-7	i	i	T-:----:--:----	_	
1-8	stykker	stykke	NC:piu#:--:----	stykke_F_i stykker	
1-9	i	i	T-:----:--:----	_	
1-10	et	en	PI:s-un:--:----	_	
1-11	hjørne	hjørne	NC:siun:--:----	_	
1-12	,	,	ZD	_	
1-13	men	men	CC:----:--:----	_	
1-14	det	det	PP:s-un:--:-3n-	_	
1-15	hæmmede	hæmme	----	_	
1-16	altså	altså	D-:----:--:u---	_	
1-17	ikke	ikke	D-:----:--:u---	_	
1-18	dets	dets	PO:#--#:--:-3ns	_	
1-19	spilleevne	spilleevne	NC:siuc:--:----	_	
1-20	?	?	ZQ	_	

#id=2
#text= Hmm, er det netop ikke derfor at "debatrum" er til...? men ok, (ville  nok kunne blive enige om nogle ting, hvis vi snakkede face to face et stykke tid... :-))
2-1	Hmm	hmm	I-:----:--:----	_	
2-2	,	,	ZD	_	
2-3	er	være	VF:----:sa:----	_	
2-4	det	det	PP:s-un:--:-3n-	_	
2-5	netop	netop	D-:----:--:u---	_	
2-6	ikke	ikke	D-:----:--:u---	_	
2-7	derfor	derfor	D-:----:--:u---	_	
2-8	at	at	UI:----:--:----	_	
2-9	"	"	ZI	_	
2-10	debatrum	debatrum	NC:siun:--:----	_	
2-11	"	"	ZI	_	
2-12	er	være	VF:----:sa:----	_	
2-13	til	til	T-:----:--:----	_	
2-14	.	.	ZP	_	
2-15	.	.	ZP	_	
2-16	.	.	ZP	_	
2-17	?	?	XY:----:--:----	_	
2-18	men	men	CC:----:--:----	_	
2-19	ok	ok	I-:----:--:----	_	
2-20	,	,	ZD	_	
2-21	(	(	ZD	_	
2-22	ville	ville	VF:----:ta:----	_	
2-23	nok	nok	D-:----:--:u---	_	
2-24	kunne	kunne	VF:----:ta:----	_	
2-25	blive	blive	VI:----:-a:----	_	
2-26	enige	enig	AC:p#u#:--:p---	_	
2-27	om	om	T-:----:--:----	_	
2-28	nogle	nogen	PI:p-u#:--:----	_	
2-29	ting	ting	NC:piu#:--:----	_	
2-30	,	,	ZD	_	
2-31	hvis	hvis	CS:----:--:----	_	
2-32	vi	vi	PP:p-nc:--:-1n-	_	
2-33	snakkede	snakke	VF:----:ta:----	_	
2-34	face	face	NC:siuc:--:----	_	
2-35	to	to	LC:--u-:--:----	_	
2-36	face	face	NC:siuc:--:----	_	
2-37	et	en	PI:s-un:--:----	_	
2-38	stykke	stykke	NC:siun:--:----	stykke_3a	
2-39	tid	tid	NC:siuc:--:----	_	
2-40	.	.	ZP	_	
2-41	.	.	ZP	_	
2-42	.	.	ZP	_	
2-43	:	:	ZP	_	
2-44	-	-	ZH	_	
2-45	)	)	ZD	_	
2-46	)	)	ZD	_	

#id=3
#text= Skulle man f.eks. se en film (på VHS), så kunne man få filmen til at vare ALT for længe, ved ganske enkelt at spole båndet et stykke tilbage, når hun lige var ude af lokalet i en kort tid.
3-1	Skulle	skulle	VF:----:ta:----	_	
3-2	man	man	PI:#-uc:--:----	_	
3-3	f	for	T-:----:--:----	_	
3-4	.	.	ZP	_	
3-5	eks	eksempel	NC:siun:--:----	_	
3-6	.	.	ZP	_	
3-7	se	se	VI:----:-a:----	_	
3-8	en	en	PI:s-uc:--:----	_	
3-9	film	film	NC:siuc:--:----	_	
3-10	(	(	ZD	_	
3-11	på	på	T-:----:--:----	_	
3-12	VHS	VHS	NW:----:--:----	_	
3-13	)	)	ZD	_	
3-14	,	,	ZD	_	
3-15	så	så	D-:----:--:u---	_	
3-16	kunne	kunne	VF:----:ta:----	_	
3-17	man	man	PI:#-uc:--:----	_	
3-18	få	få	VI:----:-a:----	_	
3-19	filmen	film	NC:sduc:--:----	_	
3-20	til	til	T-:----:--:----	_	
3-21	at	at	UI:----:--:----	_	
3-22	vare	vare	VI:----:-a:----	_	
3-23	ALT	al	PI:s-un:--:----	_	
3-24	for	for	T-:----:--:----	_	
3-25	længe	længe	D-:----:--:u---	_	
3-26	,	,	ZD	_	
3-27	ved	vide	VF:----:sa:----	_	
3-28	ganske	ganske	D-:----:--:u---	_	
3-29	enkelt	enkelt	AC:siu§:--:p---	_	
3-30	at	at	UI:----:--:----	_	
3-31	spole	spole	VI:----:-a:----	_	
