 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=- Jeg troede, jeg kunne stole på programmet, for det kostede 20.000 kr. for 12 uger, fortæller 48-årige Michael, Men han fik det forkerte skema, der viste, at han skulle træne intenst og spise meget over et stykke tid, hvorefter han skulle faste og gå i sauna.
1-1	-	-	NC:piu#:--:----	_	
1-2	Jeg	jeg	NC:siun:--:----	_	
1-3	troede	tro	VF:----:ta:----	_	
1-4	,	,	ZD	_	
1-5	jeg	jeg	PP:s-nc:--:-1n-	_	
1-6	kunne	kunne	VF:----:ta:----	_	
1-7	stole	stole	VI:----:-a:----	_	
1-8	på	på	T-:----:--:----	_	
1-9	programmet	program	NC:sdun:--:----	_	
1-10	,	,	ZD	_	
1-11	for	for	T-:----:--:----	_	
1-12	det	den	PM:s-un:--:----	_	
1-13	kostede	koste	VP:sdu#:t-:----	_	
1-14	20	20	LO:--u#:--:----	_	
1-15	.	.	ZP	_	
1-16	000	000	LC:--u-:--:----	_	
1-17	kr	krone	NC:piu#:--:----	_	
1-18	.	.	ZP	_	
1-19	for	for	T-:----:--:----	_	
1-20	12	12	LC:--u-:--:----	_	
1-21	uger	uge	NC:piu#:--:----	_	
1-22	,	,	ZD	_	
1-23	fortæller	fortælle	VF:----:sa:----	_	
1-24	48	48	LC:--u-:--:----	_	
1-25	-	-	ZH	_	
1-26	årige	årig	AC:sdu#:--:p---	_	
1-27	Michael	Michael	NP:siu#:--:----	_	
1-28	,	,	ZD	_	
1-29	Men	men	CC:----:--:----	_	
1-30	han	han	PP:s-nc:--:-3n-	_	
1-31	fik	få	VF:----:ta:----	_	
1-32	det	den	PM:s-un:--:----	_	
1-33	forkerte	forkert	AC:sdu#:--:p---	_	
1-34	skema	skema	NC:siun:--:----	_	
1-35	,	,	ZD	_	
1-36	der	der	US:----:--:----	_	
1-37	viste	vise	VF:----:ta:----	_	
1-38	,	,	ZD	_	
1-39	at	at	CS:----:--:----	_	
1-40	han	han	PP:s-nc:--:-3n-	_	
1-41	skulle	skulle	VF:----:ta:----	_	
1-42	træne	træne	VI:----:-a:----	_	
1-43	intenst	intens	AC:siun:--:p---	_	
1-44	og	og	CC:----:--:----	_	
1-45	spise	spise	VI:----:-a:----	_	
1-46	meget	megen	AD:----:--:p---	_	
1-47	over	over	T-:----:--:----	_	
1-48	et	en	PI:s-un:--:----	_	
1-49	stykke	stykke	NC:siun:--:----	stykke_3a	
1-50	tid	tid	NC:siuc:--:----	_	
1-51	,	,	ZD	_	
1-52	hvorefter	hvorefter	D-:----:--:u---	_	
1-53	han	han	PP:s-nc:--:-3n-	_	
1-54	skulle	skulle	VF:----:ta:----	_	
1-55	faste	faste	VI:----:-a:----	_	
1-56	og	og	CC:----:--:----	_	
1-57	gå	gå	VI:----:-a:----	_	
1-58	i	i	T-:----:--:----	_	
1-59	sauna	sauna	NC:siuc:--:----	_	
1-60	.	.	ZP	_	

#id=2
#text=Til gengæld bevæger man sig så også ind i en verden, der et langt stykke hen ad vejen lever op til det romantiske billede af vinlandet med de frodige druemarker, de hyggelige, snoede veje og de prægtige vingårde.
2-1	Til	til	T-:----:--:----	_	
2-2	gengæld	gengæld	NC:siuc:--:----	_	
2-3	bevæger	bevæge	VF:----:sa:----	_	
2-4	man	man	PI:#-uc:--:----	_	
2-5	sig	sig	PP:#-u#:--:-3y-	_	
2-6	så	så	D-:----:--:u---	_	
2-7	også	også	D-:----:--:u---	_	
2-8	ind	ind	D-:----:--:u---	_	
2-9	i	i	T-:----:--:----	_	
2-10	en	en	PI:s-uc:--:----	_	
2-11	verden	verden	NC:siuc:--:----	_	
2-12	,	,	ZD	_	
2-13	der	der	US:----:--:----	_	
2-14	et	en	PI:s-un:--:----	_	
2-15	langt	lang	AC:siun:--:p---	_	
2-16	stykke	stykke	NC:siun:--:----	stykke_F_et langt stykke (af vejen)/et langt stykke hen ad vejen	
2-17	hen	hen	D-:----:--:u---	_	
2-18	ad	ad	T-:----:--:----	_	
2-19	vejen	vej	NC:sduc:--:----	_	
