 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Den sensuelle svingom udviklede sig til nære befamlinger fra cykelrytterens side, og kort efter nåede Andy Schleck så toppen, da parret omkring klokken halv tre byttede mundvand midt på dansegulvet.
1-1	Den	den	PM:s-uc:--:----	_	
1-2	sensuelle	sensuel	AC:sdu#:--:p---	_	
1-3	svingom	svingom	NC:siuc:--:----	_	
1-4	udviklede	udvikle	VF:----:ta:----	_	
1-5	sig	sig	PP:#-u#:--:-3y-	_	
1-6	til	til	T-:----:--:----	_	
1-7	nære	nær	AC:p#u#:--:p---	_	
1-8	befamlinger	befamling	NC:piu#:--:----	_	
1-9	fra	fra	T-:----:--:----	_	
1-10	cykelrytterens	cykelrytter	NC:sdgc:--:----	_	
1-11	side	side	NC:siuc:--:----	_	
1-12	,	,	ZD	_	
1-13	og	og	CC:----:--:----	_	
1-14	kort	kort	AD:----:--:p---	_	
1-15	efter	efter	D-:----:--:u---	_	
1-16	nåede	nå	VF:----:ta:----	_	
1-17	Andy	Andy	NP:siu#:--:----	_	
1-18	Schleck	Schleck	NP:siu#:--:----	_	
1-19	så	se	VF:----:ta:----	_	
1-20	toppen	top|top-3|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-2a-2b|top-2|top-1a-1b|top-1	NC:sduc:--:----	top-2a	
1-21	,	,	ZD	_	
1-22	da	da	CS:----:--:----	_	
1-23	parret	par	NC:sdun:--:----	_	
1-24	omkring	omkring	T-:----:--:----	_	
1-25	klokken	klokke	NC:sduc:--:----	_	
1-26	halv	halv	AC:siuc:--:p---	_	
1-27	tre	tre	LC:--u-:--:----	_	
1-28	byttede	bytte	VF:----:ta:----	_	
1-29	mundvand	mundvand	NC:siun:--:----	_	
1-30	midt	midt	D-:----:--:u---	_	
1-31	på	på	T-:----:--:----	_	
1-32	dansegulvet	dansegulv	NC:sdun:--:----	_	
1-33	.	.	ZP	_	

#id=2
#text=Mrunder top fem-listen af med en indtjening på 242 millioner kr.
2-1	Mrunder	Mrunder	NP:siu#:--:----	_	
2-2	top	top|top-1|top-2a-2b|top-2|top-1a-1b|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3	NC:siuc:--:----	_	
2-3	fem	fem	LC:--u-:--:----	_	
2-4	-	-	ZH	_	
2-5	listen	list	NC:sduc:--:----	_	
2-6	af	af	T-:----:--:----	_	
2-7	med	med	T-:----:--:----	_	
2-8	en	en	PI:s-uc:--:----	_	
2-9	indtjening	indtjening	NC:siuc:--:----	_	
2-10	på	på	T-:----:--:----	_	
2-11	242	242	LC:--u-:--:----	_	
2-12	millioner	million	NC:piu#:--:----	_	
