 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Et halvt år senere gik parret fra hinanden, fordi 54-årige Gibson angiveligt udsatte både Oksana og barnet for vold.
1-1	Et	en	PI:s-un:--:----	_	
1-2	halvt	halv	AC:siun:--:p---	_	
1-3	år	år	NC:siun:--:----	_	
1-4	senere	sen	AD:----:--:c---	_	
1-5	gik	gå	VF:----:ta:----	_	
1-6	parret	parre	VT:siu#:t-:----	_	
1-7	fra	fra	T-:----:--:----	_	
1-8	hinanden	hinanden	PC:p-u-:--:----	_	
1-9	,	,	ZD	_	
1-10	fordi	fordi	CS:----:--:----	_	
1-11	54	54	LC:--u-:--:----	_	
1-12	-	-	ZH	_	
1-13	årige	årig	AC:sdu#:--:p---	_	
1-14	Gibson	Gibson	NP:siu#:--:----	_	
1-15	angiveligt	angivelig	AD:----:--:p---	_	
1-16	udsatte	udsætte	VF:----:ta:----	_	
1-17	både	både	D-:----:--:u---	_	
1-18	Oksana	Oksana	NP:siu#:--:----	_	
1-19	og	og	CC:----:--:----	_	
1-20	barnet	barn	NC:sdun:--:----	_	
1-21	for	for	T-:----:--:----	_	
1-22	vold	vold	NC:siuc:--:----	vold1_1b	
1-23	.	.	ZP	_	

#id=2
#text=Jimmy blev flere gange dømt for tyverier og vold.
2-1	Jimmy	Jimmy	NP:siu#:--:----	_	
2-2	blev	blive	VF:----:ta:----	_	
2-3	flere	mange	AC:##u#:--:c---	_	
2-4	gange	gang	NC:piu#:--:----	_	
2-5	dømt	dødsdømme	VT:siu#:t-:----	_	
2-6	for	for	T-:----:--:----	_	
2-7	tyverier	tyveri	NC:piu#:--:----	_	
2-8	og	og	CC:----:--:----	_	
2-9	vold	vold	NC:siuc:--:----	vold1_1	
2-10	.	.	ZP	_	

#id=3
#text= Han har fået masser af tatoveringer - og hans forbr ug af sprut har gjort, at han nærmest har fået klippekort til spjældet på grund af vold.
3-1	Han	han	PP:s-nc:--:-3n-	_	
3-2	har	have	VF:----:sa:----	_	
3-3	fået	få	VT:siu#:t-:----	_	
3-4	masser	masse	NC:piu#:--:----	_	
3-5	af	af	T-:----:--:----	_	
3-6	tatoveringer	tatovering	NW:----:--:----	_	
3-7	-	-	ZH	_	
3-8	og	og	CC:----:--:----	_	
3-9	hans	hans	PO:#--#:--:-3ns	_	
3-10	forbr	forbr	XY:----:--:----	_	
3-11	ug	ug	NC:siun:--:----	_	
3-12	af	af	T-:----:--:----	_	
3-13	sprut	sprut	NC:piu#:--:----	_	
3-14	har	have	VF:----:sa:----	_	
3-15	gjort	gøre	VT:siu#:t-:----	_	
3-16	,	,	ZD	_	
3-17	at	at	CS:----:--:----	_	
3-18	han	han	PP:s-nc:--:-3n-	_	
3-19	nærmest	nær	AD:----:--:s---	_	
3-20	har	have	VF:----:sa:----	_	
3-21	fået	få	VT:siu#:t-:----	_	
3-22	klippekort	klippekort	NC:siun:--:----	_	
3-23	til	til	T-:----:--:----	_	
3-24	spjældet	spjæld	NC:sdun:--:----	_	
3-25	på	på	T-:----:--:----	_	
3-26	grund	grund	NC:siuc:--:----	_	
3-27	af	af	T-:----:--:----	_	
3-28	vold	vold	NC:siuc:--:----	vold1_1	
3-29	.	.	ZP	_	

#id=4
#text=På Michaels straffeattest står " noget med noget vold og våben", men det er mange år siden, forsikrer hun.
4-1	På	på	T-:----:--:----	_	
4-2	Michaels	Michael	NP:sig#:--:----	_	
4-3	straffeattest	straffeattest	NC:siuc:--:----	_	
4-4	står	stå	VF:----:sa:----	_	
4-5	"	"	ZI	_	
4-6	noget	nogen	PI:s-un:--:----	_	
4-7	med	med	T-:----:--:----	_	
4-8	noget	nogen	PI:s-un:--:----	_	
4-9	vold	vold	NC:siuc:--:----	vold1_1	
4-10	og	og	CC:----:--:----	_	
4-11	våben	våben	NC:siun:--:----	_	
4-12	"	"	ZI	_	
4-13	,	,	ZD	_	
4-14	men	men	CC:----:--:----	_	
4-15	det	det	PP:s-un:--:-3n-	_	
4-16	er	være	VF:----:sa:----	_	
4-17	mange	mangen	AC:p#u#:--:p---	_	
4-18	år	år	NC:piu#:--:----	_	
4-19	siden	siden	D-:----:--:u---	_	
4-20	,	,	ZD	_	
4-21	forsikrer	forsikre	VF:----:sa:----	_	
4-22	hun	hun	PP:s-nc:--:-3n-	_	
4-23	.	.	ZP	_	

#id=5
#text= I 2002 fik han en dom for vold, og sidste år blev rapperen ramt af et skud på Nørrebro.
5-1	I	i	T-:----:--:----	_	
5-2	2002	2002	LC:--u-:--:----	_	
5-3	fik	få	VF:----:ta:----	_	
5-4	han	han	PP:s-nc:--:-3n-	_	
5-5	en	en	PI:s-uc:--:----	_	
5-6	dom	dom	NC:siuc:--:----	_	
5-7	for	for	T-:----:--:----	_	
5-8	vold	vold	NC:siuc:--:----	vold1_1a	
5-9	,	,	ZD	_	
5-10	og	og	CC:----:--:----	_	
5-11	sidste	sidste	AC:§§u§:--:p---	_	
5-12	år	år	NC:siun:--:----	_	
5-13	blev	blive	VF:----:ta:----	_	
5-14	rapperen	rapper	NC:sduc:--:----	_	
5-15	ramt	ramme	VT:siu#:t-:----	_	
5-16	af	af	T-:----:--:----	_	
5-17	et	en	PI:s-un:--:----	_	
5-18	skud	skud	NC:siun:--:----	_	
5-19	på	på	T-:----:--:----	_	
5-20	Nørrebro	Nørrebro	NP:siu#:--:----	_	
5-21	.	.	ZP	_	

#id=6
#text=- Dog uden den fysiske vold, tilføjer han.
6-1	-	-	NC:piu#:--:----	_	
6-2	Dog	dog	D-:----:--:u---	_	
6-3	uden	uden	T-:----:--:----	_	
6-4	den	den	PM:s-uc:--:----	_	
6-5	fysiske	fysisk	AC:sdu#:--:p---	_	
6-6	vold	vold	NC:siuc:--:----	vold1_1	
6-7	,	,	ZD	_	
6-8	tilføjer	tilføje	VF:----:sa:----	_	
6-9	han	han	PP:s-nc:--:-3n-	_	
6-10	.	.	ZP	_	

#id=7
#text= I fængslet giftede hun sig i 2003 med Peter Jensen, der afsonede otte år for mishandling og dødbringende vold på et barn.
7-1	I	i	T-:----:--:----	_	
7-2	fængslet	fængsel	NC:sdun:--:----	_	
7-3	giftede	gifte	VF:----:ta:----	_	
7-4	hun	hun	PP:s-nc:--:-3n-	_	
7-5	sig	sig	PP:#-u#:--:-3y-	_	
7-6	i	i	T-:----:--:----	_	
7-7	2003	2003	LC:--u-:--:----	_	
7-8	med	med	T-:----:--:----	_	
7-9	Peter	Peter	NP:siu#:--:----	_	
7-10	Jensen	Jensen	NP:siu#:--:----	_	
7-11	,	,	ZD	_	
7-12	der	der	US:----:--:----	_	
7-13	afsonede	afsone	VF:----:ta:----	_	
7-14	otte	otte	LC:--u-:--:----	_	
7-15	år	år	NC:piu#:--:----	_	
7-16	for	for	T-:----:--:----	_	
7-17	mishandling	mishandling	NC:siuc:--:----	_	
7-18	og	og	CC:----:--:----	_	
7-19	dødbringende	dødbringende	AD:----:--:p---	_	
7-20	vold	vold	:----	vold1_1a	
7-21	på	på	T-:----:--:----	_	
7-22	et	en	PI:s-un:--:----	_	
7-23	barn	barn	NC:siun:--:----	_	
7-24	.	.	ZP	_	

#id=8
#text=Den 45-årige skuespiller har gang på gang været i politiets søgelys for druk, narko og vold.
8-1	Den	den	PM:s-uc:--:----	_	
8-2	45	45	LW:----:--:----	_	
8-3	-	-	ZH	_	
8-4	årige	årig	AC:sdu#:--:p---	_	
8-5	skuespiller	skuespiller	NC:siuc:--:----	_	
8-6	har	have	VF:----:sa:----	_	
8-7	gang	gang	NC:siuc:--:----	_	
8-8	på	på	T-:----:--:----	_	
8-9	gang	gang	NC:siuc:--:----	_	
8-10	været	være	VT:siu#:t-:----	_	
8-11	i	i	T-:----:--:----	_	
8-12	politiets	politi	NC:sdgn:--:----	_	
8-13	søgelys	søgelys	NC:siun:--:----	_	
8-14	for	for	T-:----:--:----	_	
8-15	druk	druk	NC:siu#:--:----	_	
8-16	,	,	ZD	_	
8-17	narko	narko	NC:siuc:--:----	_	
8-18	og	og	CC:----:--:----	_	
8-19	vold	vold	NC:siuc:--:----	vold1_1	
8-20	.	.	ZP	_	

#id=9
#text= I 1997 blev han således idømt to års betinget fængsel for vold mod sin daværende kæreste, Brittany Ashland.
9-1	I	i	T-:----:--:----	_	
9-2	1997	1997	LC:--u-:--:----	_	
9-3	blev	blive	VF:----:ta:----	_	
9-4	han	han	PP:s-nc:--:-3n-	_	
9-5	således	således	D-:----:--:u---	_	
9-6	idømt	idømme	VT:siu#:t-:----	_	
9-7	to	to	LC:--u-:--:----	_	
9-8	års	år	NC:pig#:--:----	_	
9-9	betinget	betinget	AC:siu§:--:p---	_	
9-10	fængsel	fængsel	NC:siun:--:----	_	
9-11	for	for	T-:----:--:----	_	
9-12	vold	vold	NC:siuc:--:----	vold1_1a	
9-13	mod	mod	T-:----:--:----	_	
9-14	sin	sin	PO:s--c:--:-3ys	_	
9-15	daværende	daværende	AC:§§u§:--:p---	_	
9-16	kæreste	kæreste	NC:siuc:--:----	_	
9-17	,	,	ZD	_	
9-18	Brittany	Brittany	NP:siu#:--:----	_	
9-19	Ashland	Ashland	NP:siu#:--:----	_	
9-20	.	.	ZP	_	

#id=10
#text=Hun kunne ikke klare hans vold længere.
10-1	Hun	hun	PP:s-nc:--:-3n-	_	
10-2	kunne	kunne	VF:----:ta:----	_	
10-3	ikke	ikke	D-:----:--:u---	_	
10-4	klare	klare	VI:----:-a:----	_	
10-5	hans	hans	PO:#--#:--:-3ns	_	
10-6	vold	vold	NC:siuc:--:----	vold1_1	
10-7	længere	lang	AC:##u#:--:c---	_	
10-8	.	.	ZP	_	

#id=11
#text=Denise blev jævnligt udsat for vold.
11-1	Denise	Denise	NP:siu#:--:----	_	
11-2	blev	blive	VF:----:ta:----	_	
11-3	jævnligt	jævnlig	AD:----:--:p---	_	
11-4	udsat	udsat	AC:siu§:--:p---	_	
11-5	for	for	T-:----:--:----	_	
11-6	vold	vold	NC:siuc:--:----	vold1_1b	
11-7	.	.	ZP	_	

#id=12
#text= Det har taget lang tid, og jeg vil da ikke afvise, at sagen er blevet henlagt noget tid, fordi Susan kort efter selv blev meldt for vold i Århus, siger TVdeltageren.
12-1	Det	det	PP:s-un:--:-3n-	_	
12-2	har	have	VF:----:sa:----	_	
12-3	taget	tage	VT:siu#:t-:----	_	
12-4	lang	lang	AC:siuc:--:p---	_	
12-5	tid	tid	NC:siuc:--:----	_	
12-6	,	,	ZD	_	
12-7	og	og	CC:----:--:----	_	
12-8	jeg	jeg	PP:s-nc:--:-1n-	_	
12-9	vil	ville	VF:----:sa:----	_	
12-10	da	da	D-:----:--:u---	_	
12-11	ikke	ikke	D-:----:--:u---	_	
12-12	afvise	afvise	VI:----:-a:----	_	
12-13	,	,	ZD	_	
12-14	at	at	CS:----:--:----	_	
12-15	sagen	sag	NC:sduc:--:----	_	
12-16	er	være	VF:----:sa:----	_	
12-17	blevet	blive	VT:siu#:t-:----	_	
12-18	henlagt	henlægge	VT:siu#:t-:----	_	
12-19	noget	nogen	PI:s-un:--:----	_	
12-20	tid	tid	NC:siuc:--:----	_	
12-21	,	,	ZD	_	
12-22	fordi	fordi	CS:----:--:----	_	
12-23	Susan	Susan	NP:siu#:--:----	_	
12-24	kort	kort	AD:----:--:p---	_	
12-25	efter	efter	T-:----:--:----	_	
12-26	selv	selv	D-:----:--:u---	_	
12-27	blev	blive	VF:----:ta:----	_	
12-28	meldt	melde	VT:siu#:t-:----	_	
12-29	for	for	T-:----:--:----	_	
12-30	vold	vold	NC:siuc:--:----	vold1_1	
12-31	i	i	T-:----:--:----	_	
12-32	Århus	Århus	NP:siu#:--:----	_	
12-33	,	,	ZD	_	
12-34	siger	sige	VF:----:sa:----	_	
12-35	TVdeltageren	TVdeltageren	NP:siu#:--:----	_	
12-36	.	.	ZP	_	

#id=13
#text= Under en indkøbstur i Brugsen i Allinge på Bornholm bliver den 70-årige Ejner Hansen bliver udsat for vold.
13-1	Under	under	T-:----:--:----	_	
13-2	en	en	PI:s-uc:--:----	_	
13-3	indkøbstur	indkøbstur	NC:siuc:--:----	_	
13-4	i	i	T-:----:--:----	_	
13-5	Brugsen	brugs	NC:sduc:--:----	_	
13-6	i	i	T-:----:--:----	_	
13-7	Allinge	Allinge	NP:siu#:--:----	_	
13-8	på	på	T-:----:--:----	_	
13-9	Bornholm	Bornholm	NP:siu#:--:----	_	
13-10	bliver	blive	VF:----:sa:----	_	
13-11	den	den	PM:s-uc:--:----	_	
13-12	70	70	LW:----:--:----	_	
13-13	-	-	ZH	_	
13-14	årige	årig	AC:sdu#:--:p---	_	
13-15	Ejner	Ejner	NP:siu#:--:----	_	
13-16	Hansen	Hansen	NP:siu#:--:----	_	
13-17	bliver	blive	VF:----:sa:----	_	
13-18	udsat	udsætte	VT:siu#:t-:----	_	
13-19	for	for	T-:----:--:----	_	
13-20	vold	vold	NC:siuc:--:----	vold1_1a	
13-21	.	.	ZP	_	

#id=14
#text= Alt for ofte er vold, magtesløshed og død det forfærdelige resultat, skriver Malene.
14-1	Alt	alt	D-:----:--:u---	_	
14-2	for	for	T-:----:--:----	_	
14-3	ofte	ofte	D-:----:--:u---	_	
14-4	er	være	VF:----:sa:----	_	
14-5	vold	vold	NC:siuc:--:----	vold1_1a	
