# newdoc id = bentesblog-6.tsv
# sent_id = 1
# text =  Tags: gæsteblogge, Madbevægelsen, madopskrifter
1	Tags	tags	PROPN		noun.communication
2	:	:	PUNCT		
3	gæsteblogge	gæsteblog	NOUN		
4	,	,	PUNCT		
5	Madbevægelsen	madbevægelsen	PROPN		noun.institution
6	,	,	PUNCT		
7	madopskrifter	madopskrift	NOUN		noun.communication

# newdoc id = bentesblog-6.tsv
# sent_id = 2
# text =  Hmmm jeg har jo overgivet mig og har lagt reklamer på den lille ny, Blogkvinder 40+, i håb om at få dækket nogen af driftomkostningerne ( vist naivt indtjeningen indtil nu har været 5 kroner i alt!).
1	Hmmm	hmm	VERB		
2	jeg	jeg	PRON		
3	har	have	AUX		
4	jo	jo	ADV		
5	overgivet	overgive	VERB		
6	mig	jeg	PRON		verb.REFLPRON
7	og	og	CCONJ		
8	har	have	AUX		
9	lagt	lægge	VERB		verb.motion
10	reklamer	reklame	NOUN		noun.communication
11	på	på	ADP		
12	den	den	DET		
13	lille	lille	ADJ		adj.phys
14	ny	ny	ADJ		adj.time
15	,	,	PUNCT		
16	Blogkvinder	blogkvinder	PROPN		noun.communication
17	40+	40+	NUM		noun.communication
18	,	,	PUNCT		
19	i	i	ADP		
20	håb	håb	NOUN		
21	om	om	ADP		
22	at	at	PART		
23	få	få	VERB		
24	dækket	dække	VERB		verb.possession
25	nogen	nogen	PRON		
26	af	af	ADP		
27	driftomkostningerne	driftomkostning	NOUN		noun.quantity
28	(	(	PUNCT		
29	vist	vist	ADV		
30	naivt	naiv	ADJ		adj.mental
31	indtjeningen	indtjening	NOUN		noun.quantity
32	indtil	indtil	ADP		
33	nu	nu	ADV		
34	har	have	AUX		
35	været	være	AUX		verb.stative
36	5	5	ADJ		
37	kroner	krone	NOUN		noun.quantity
38	i	i	ADP		
39	alt	al	ADJ		
40	!	!	PUNCT		
41	)	)	PUNCT		
42	.	.	PUNCT		

# newdoc id = bentesblog-6.tsv
# sent_id = 3
# text =  Dette indlæg blev udgivet den søndag, 23. november 2008 kl.13: 30 og er gemt i Min have, Vejr. Du kan følge alle svar til dette indlæg via RSS2. 0- feedet.
1	Dette	denne	DET		
2	indlæg	indlæg	NOUN		noun.communication
3	blev	blive	AUX		
4	udgivet	udgive	VERB		verb.communication
5	den	den	DET		
6	søndag	søndag	NOUN		noun.time
7	,	,	PUNCT		
8	23	23	PRON		
9	.	.	PUNCT		
10	november	november	NOUN		noun.time
11	2008	2008	NUM		
12	kl	kl	X		
13	.	.	PUNCT		
14	13	13	PUNCT		
15	:	:	PUNCT		
16	30	30	NUM		
17	og	og	CCONJ		
18	er	være	AUX		
19	gemt	gemme	VERB		verb.motion
20	i	i	ADP		
21	Min	min	DET		noun.communication
22	have	have	NOUN		noun.communication
23	,	,	PUNCT		
24	Vejr	vejr	PROPN		noun.phenomenon
25	.	.	PUNCT		
26	Du	du	PRON		
27	kan	kunne	AUX		
28	følge	følge	VERB		verb.act
29	alle	al	ADJ		
30	svar	svar	NOUN		noun.communication
31	til	til	ADP		
32	dette	denne	DET		
33	indlæg	indlæg	NOUN		noun.communication
34	via	via	ADP		
35	RSS	rss	PROPN		noun.communication
36	2	2	PUNCT		noun.communication
37	.	.	PUNCT		noun.communication
38	0	0	NUM		noun.communication
39	-	-	PUNCT		noun.communication
40	feedet	feed	NOUN		noun.communication
41	.	.	PUNCT		

# newdoc id = bentesblog-6.tsv
# sent_id = 4
# text =  Men en fridag på en mandag falder i den uovertrufne kategori.
1	Men	men	CCONJ		
2	en	en	DET		
3	fridag	fridag	NOUN		noun.time
4	på	på	ADP		
5	en	en	DET		
6	mandag	mandag	NOUN		noun.time
7	falder	falde	VERB		verb.stative
8	i	i	ADP		
9	den	den	DET		
10	uovertrufne	uovertruffen	ADJ		adj.all
11	kategori	kategori	NOUN		noun.abstract
12	.	.	PUNCT		

# newdoc id = bentesblog-6.tsv
# sent_id = 5
# text =  Skønt at I er her jeg glæder mig til at møde nogen af jer til blogtræffet næste lørdag!
1	Skønt	skønt	ADP		
2	at	at	SCONJ		
3	I	i	PRON		
4	er	være	AUX		verb.stative
5	her	her	ADV		
6	jeg	jeg	PRON		
7	glæder	glæde	VERB		verb.emotion
8	mig	jeg	PRON		verb.COLL
9	til	til	ADP		verb.COLL
10	at	at	PART		
11	møde	møde	VERB		verb.act
12	nogen	nogen	PRON		
13	af	af	ADP		
14	jer	i	PRON		
15	til	til	ADP		
16	blogtræffet	blogtræf	NOUN		noun.event
17	næste	næste	ADJ		
18	lørdag	lørdag	NOUN		noun.time
19	!	!	PUNCT		

# newdoc id = bentesblog-6.tsv
# sent_id = 6
# text =  Update:
1	Update	update	NOUN		noun.act
2	:	:	PUNCT		

# newdoc id = bentesblog-6.tsv
# sent_id = 7
# text =  Modtager du også mails med mærkelige tilbud om personlig assistance?
1	Modtager	modtage	VERB		verb.possession
2	du	du	PRON		
3	også	også	ADV		
4	mails	mail	NOUN		
5	med	med	ADP		
6	mærkelige	mærkelig	ADJ		adj.all
7	tilbud	tilbud	NOUN		
