# newdoc id = mangamania-1.tsv
# sent_id = 1
# text =  Det har jeg læst... troede bare der var en ny grund til det måske...
1	Det	det	PRON		
2	har	have	AUX		
3	jeg	jeg	PRON		
4	læst	læse	VERB		verb.cognition
5	.	.	PUNCT		
6	.	.	PUNCT		
7	.	.	PUNCT		
8	troede	tro	VERB		verb.cognition
9	bare	bare	ADV		
10	der	der	ADV		
11	var	være	VERB		verb.stative
12	en	en	DET		
13	ny	ny	ADJ		adj.time
14	grund	grund	NOUN		noun.motive
15	til	til	ADP		
16	det	det	PRON		
17	måske	måske	ADV		
18	.	.	PUNCT		
19	.	.	PUNCT		
20	.	.	PUNCT		

# newdoc id = mangamania-1.tsv
# sent_id = 2
# text =  VI har hørt selvsamme rygte, men intet er bekræftet, så slå koldt vand i blodet!
1	VI	vi	PRON		
2	har	have	AUX		
3	hørt	høre	VERB		verb.perception
4	selvsamme	selvsamme	ADJ		adj.all
5	rygte	rygte	NOUN		noun.communication
6	,	,	PUNCT		
7	men	men	CCONJ		
8	intet	intet	ADV		
9	er	være	AUX		
10	bekræftet	bekræfte	VERB		verb.communication
11	,	,	PUNCT		
12	så	så	ADV		
13	slå	slå	VERB		verb.act
14	koldt	kold	ADJ		adj.phys
15	vand	vand	NOUN		noun.substance
16	i	i	ADP		
17	blodet	blod	NOUN		noun.substance
18	!	!	PUNCT		

# newdoc id = mangamania-1.tsv
# sent_id = 3
# text =  Hehe... Good One
1	Hehe	hehe	PROPN		
2	.	.	PUNCT		
3	.	.	PUNCT		
4	.	.	PUNCT		
5	Good	good	PROPN		
6	One	one	PROPN		

# newdoc id = mangamania-1.tsv
# sent_id = 4
# text = : D: D YAAAAH!!!: D: D Juleaften!!
1	:	:	PUNCT		
2	D	d	X		
3	:	:	PUNCT		
4	D	d	X		
5	YAAAAH	yaaaah	PROPN		
6	!	!	PUNCT		
7	!	!	PUNCT		
8	!	!	PUNCT		
9	:	:	PUNCT		
10	D	d	X		
11	:	:	PUNCT		
12	D	d	X		
13	Juleaften	juleaften	NOUN		
14	!	!	PUNCT		
15	!	!	PUNCT		

# newdoc id = mangamania-1.tsv
# sent_id = 5
# text =  Kunne godt tænke mig at de speedede udgivelsensdatoen lidt op.
1	Kunne	kunne	AUX		
2	godt	godte	ADV		
3	tænke	tænke	VERB		verb.emotion
4	mig	jeg	PRON		verb.REFLPRON
5	at	at	SCONJ		
6	de	den	DET		
7	speedede	speede	ADJ		verb.change
8	udgivelsensdatoen	udgivelsensdato	NOUN		noun.time
9	lidt	lidt	ADV		
10	op	op	ADV		verb.PARTICLE
11	.	.	PUNCT		

# newdoc id = mangamania-1.tsv
# sent_id = 6
# text =  Hikaru no go- YUYU Hakusho- Gundam Wing- Slayers- Hellsing- Trigun- Hack!
1	Hikaru	hikaru	PROPN		noun.communication
2	no	no	VERB		noun.communication
3	go	go	ADV		noun.communication
4	-	-	PUNCT		
5	YUYU	yuyu	PROPN		noun.communication
6	Hakusho	hakusho	PROPN		noun.communication
7	-	-	PUNCT		
8	Gundam	gundam	PROPN		noun.communication
