
#id=1
#text=Vihar alt for travlt .
1-1	Vi	
1-2	har	
1-3	alt	
1-4	for	
1-5	travlt	
1-6	.	

#id=2
#text=Forde fleste går dagen uden pauser .
2-1	For	
2-2	de	
2-3	fleste	
2-4	går	
2-5	dagen	
2-6	uden	
2-7	pauser	
2-8	.	

#id=3
#text=Af_stedtil skole , arbejde , sport eller leg .
3-1	Af_sted	
3-2	til	
3-3	skole	
3-4	,	
3-5	arbejde	
3-6	,	
3-7	sport	
3-8	eller	
3-9	leg	
3-10	.	

#id=4
#text=Udat købe ind .
4-1	Ud	
4-2	at	
4-3	købe	
4-4	ind	
4-5	.	

#id=5
#text=Kunved middagsbordet har man en chance for at være sammen .
5-1	Kun	
5-2	ved	
5-3	middagsbordet	
5-4	har	
5-5	man	
5-6	en	
5-7	chance	
5-8	for	
5-9	at	
5-10	være	
5-11	sammen	
5-12	.	

#id=6
#text=Derforer det nok værd at gøre noget ud af husets spiseplads , så man her får en hyggelig stund .
6-1	Derfor	
6-2	er	
6-3	det	
6-4	nok	
6-5	værd	
6-6	at	
6-7	gøre	
6-8	noget	
6-9	ud	
6-10	af	
6-11	husets	
6-12	spiseplads	
6-13	,	
6-14	så	
6-15	man	
6-16	her	
6-17	får	
6-18	en	
6-19	hyggelig	
6-20	stund	
6-21	.	

#id=7
#text=Der er en tendens til ikke længere at nøjes med den lille krog i køkkenet .
7-1	Der	
7-2	er	
7-3	en	
7-4	tendens	
7-5	til	
7-6	ikke	
7-7	længere	
7-8	at	
7-9	nøjes	
7-10	med	
7-11	den	
7-12	lille	
7-13	krog	
7-14	i	
7-15	køkkenet	
7-16	.	

#id=8
#text=Manhar spisestue eller i_hvert_fald en rar plads i en rolig del af stuen .
8-1	Man	
8-2	har	
8-3	spisestue	
8-4	eller	
8-5	i_hvert_fald	
8-6	en	
8-7	rar	
8-8	plads	
8-9	i	
8-10	en	
8-11	rolig	
8-12	del	
8-13	af	
8-14	stuen	
8-15	.	

#id=9
#text=Kendervi ikke alle nogle steder , hvor man med glæde sidder længe til_bords og ikke bare ønsker at komme ind til de gode lænestole ?
9-1	Kender	
9-2	vi	
9-3	ikke	
9-4	alle	
9-5	nogle	
9-6	steder	
9-7	,	
9-8	hvor	
9-9	man	
9-10	med	
9-11	glæde	
9-12	sidder	
9-13	længe	
9-14	til_bords	
9-15	og	
9-16	ikke	
9-17	bare	
9-18	ønsker	
9-19	at	
9-20	komme	
9-21	ind	
9-22	til	
9-23	de	
9-24	gode	
9-25	lænestole	
9-26	?	

#id=10
#text=Dethar både noget med stolene og bordet at gøre - og pladsen udenom .
10-1	Det	
10-2	har	
10-3	både	
10-4	noget	
10-5	med	
10-6	stolene	
10-7	og	
10-8	bordet	
10-9	at	
10-10	gøre	
10-11	-	
10-12	og	
10-13	pladsen	
10-14	udenom	
10-15	.	

#id=11
#text=Passesammen
11-1	Passe	
11-2	sammen	

#id=12
#text=Deter vigtigt , at bord og stole passer sammen , ikke bare i udseende , men også i mål .
12-1	Det	
12-2	er	
12-3	vigtigt	
12-4	,	
12-5	at	
12-6	bord	
12-7	og	
12-8	stole	
12-9	passer	
12-10	sammen	
12-11	,	
12-12	ikke	
12-13	bare	
12-14	i	
12-15	udseende	
12-16	,	
12-17	men	
12-18	også	
12-19	i	
12-20	mål	
12-21	.	

#id=13
#text=Deter ikke sundt at sidde med løftede skuldre for at nå maden eller krumbøjet ved et for lavt bord .
13-1	Det	
13-2	er	
13-3	ikke	
13-4	sundt	
13-5	at	
13-6	sidde	
13-7	med	
13-8	løftede	
13-9	skuldre	
13-10	for	
13-11	at	
13-12	nå	
13-13	maden	
13-14	eller	
13-15	krumbøjet	
13-16	ved	
13-17	et	
13-18	for	
13-19	lavt	
13-20	bord	
13-21	.	

