 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Situationener , at Lars Olsen endnu har det sidste år tilbage af sin kontrakt med Trabzonspor .
1-1	Situationen	B-noun.state	
1-2	er	B-verb.social	
1-3	,	O	
1-4	at	O	
1-5	Lars	B-noun.person	
1-6	Olsen	I-noun.person	
1-7	endnu	O	
1-8	har	B-verb.stative	
1-9	det	O	
1-10	sidste	B-adj.time	
1-11	år	B-noun.time	
1-12	tilbage	O	
1-13	af	O	
1-14	sin	O	
1-15	kontrakt	B-noun.communication	
1-16	med	O	
1-17	Trabzonspor	B-noun.institution	
1-18	.	O	

#id=2
#text=Menikke_desto_mindre vrimler aviserne med forlydender om , at landsholdets anfører skulle være på vej til en af Istanbuls tre topklubber , Besiktas , Fenerbache eller Galatasaray .
2-1	Men	O	
2-2	ikke_desto_mindre	O	
2-3	vrimler	B-verb.phenomenon	
2-4	aviserne	B-noun.communication	
2-5	med	O	
2-6	forlydender	B-noun.communication	
2-7	om	O	
2-8	,	O	
2-9	at	O	
2-10	landsholdets	B-noun.person	
2-11	anfører	B-noun.person	
2-12	skulle	O	
2-13	være	B-verb.motion	
2-14	på	B-verb.COLL	
2-15	vej	B-verb.COLL	
2-16	til	O	
2-17	en	O	
2-18	af	O	
2-19	Istanbuls	B-noun.location	
2-20	tre	O	
2-21	topklubber	B-noun.institution	
2-22	,	O	
2-23	Besiktas	B-noun.institution	
2-24	,	O	
2-25	Fenerbache	B-noun.institution	
2-26	eller	O	
2-27	Galatasaray	B-noun.institution	
2-28	.	O	

#id=3
#text="Jeg lægger ikke spor i denne rygte-regn , " siger Lars Olsen til B.T. .
3-1	"	O	
3-2	Jeg	O	
3-3	lægger	B-verb.cognition	
3-4	ikke	O	
3-5	spor	B-noun.abstract	
3-6	i	O	
3-7	denne	O	
3-8	rygte-regn	B-noun.communication	
3-9	,	O	
3-10	"	O	
3-11	siger	B-verb.communication	
3-12	Lars	B-noun.person	
3-13	Olsen	I-noun.person	
3-14	til	O	
3-15	B.T.	B-noun.person	
3-16	.	O	

#id=4
#text="Vi er midt i den mest hektiske " handelstid " i tyrkisk fodbold .
4-1	"	O	
4-2	Vi	O	
4-3	er	B-verb.stative	
4-4	midt	O	
4-5	i	O	
4-6	den	O	
4-7	mest	O	
4-8	hektiske	B-adj.all	
4-9	"	O	
4-10	handelstid	B-noun.time	
4-11	"	O	
4-12	i	O	
4-13	tyrkisk	B-adj.social	
4-14	fodbold	B-noun.domain	
4-15	.	O	

