 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Kriminalpolitieti Løgstør har endnu ikke kunne konstatere , at manden har søgt lægehjælp , og man beder derfor offentligheden om hjælp til at identificere gerningsmanden .
1-1	Kriminalpolitiet	B-noun.institution	
1-2	i	O	
1-3	Løgstør	B-noun.location	
1-4	har	O	
1-5	endnu	O	
1-6	ikke	O	
1-7	kunne	O	
1-8	konstatere	B-verb.cognition	
1-9	,	O	
1-10	at	O	
1-11	manden	B-noun.person	
1-12	har	O	
1-13	søgt	B-verb.act	
1-14	lægehjælp	B-noun.act	
1-15	,	O	
1-16	og	O	
1-17	man	O	
1-18	beder	B-verb.communication	
1-19	derfor	O	
1-20	offentligheden	B-noun.person	
1-21	om	O	
1-22	hjælp	B-noun.act	
1-23	til	O	
1-24	at	O	
1-25	identificere	B-verb.cognition	
1-26	gerningsmanden	B-noun.person	
1-27	.	O	

#id=2
#text=Hanbeskrives som 25-30 år , ca. 175 cm. , almindelig af bygning , sort  kort hår , sorte øjne , stor krum næse og måske med overskæg .
2-1	Han	O	
2-2	beskrives	B-verb.communication	
2-3	som	O	
2-4	25-30	O	
2-5	år	B-noun.time	
2-6	,	O	
2-7	ca.	O	
2-8	175	O	
2-9	cm.	O	
2-10	,	O	
2-11	almindelig	B-adj.all	
2-12	af	O	
2-13	bygning	B-noun.body	
2-14	,	O	
2-15	sort	B-adj.phys	
2-16	kort	B-adj.phys	
2-17	hår	B-noun.body	
2-18	,	O	
2-19	sorte	B-adj.phys	
2-20	øjne	B-noun.body	
2-21	,	O	
2-22	stor	B-adj.phys	
2-23	krum	B-adj.phys	
2-24	næse	B-noun.body	
2-25	og	O	
2-26	måske	O	
2-27	med	O	
2-28	overskæg	B-noun.body	
2-29	.	O	

#id=3
#text=Hanvar iført en muligvis rød t-shirt , en sort lædervest og grå bukser .
3-1	Han	O	
3-2	var	O	
3-3	iført	B-verb.body	
3-4	en	O	
3-5	muligvis	O	
3-6	rød	B-adj.phys	
3-7	t-shirt	B-noun.artifact	
3-8	,	O	
3-9	en	O	
3-10	sort	B-adj.phys	
3-11	lædervest	B-noun.artifact	
3-12	og	O	
3-13	grå	B-adj.phys	
3-14	bukser	B-noun.artifact	
3-15	.	O	

#id=4
#text=Undersamtalen på restaurant Rio Bravo fortalte han kvinden , at han var iraner .
4-1	Under	O	
4-2	samtalen	B-noun.communication	
4-3	på	O	
4-4	restaurant	B-noun.building	
4-5	Rio	I-noun.building	
4-6	Bravo	I-noun.building	
4-7	fortalte	B-verb.communication	
4-8	han	O	
4-9	kvinden	B-noun.person	
4-10	,	O	
4-11	at	O	
4-12	han	O	
4-13	var	B-verb.stative	
4-14	iraner	B-noun.person	
4-15	.	O	

#id=5
#text=IKKELIVSTRUENDE
5-1	IKKE	O	
5-2	LIVSTRUENDE	B-adj.all	

#id=6
#text=EmbedslægeIb Steen Andersen , Nordjyllands Amt , kan ikke umiddelbart sige , hvor farligt bidsåret er , men selv_om der er mange blodårer i lemmet , anser embedslægen ikke situationen for livstruende .
6-1	Embedslæge	B-noun.person	
6-2	Ib	B-noun.person	
6-3	Steen	I-noun.person	
6-4	Andersen	I-noun.person	
