 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Eller rettere manden nedlagde det.
1-1	Eller	O	
1-2	rettere	O	
1-3	manden	B-noun.person	
1-4	nedlagde	B-verb.motion	
1-5	det	O	
1-6	.	O	

#id=2
#text=Dadejen var rørt, og panden sat over, kiggede manden i mit liv på mit projekt og spurgte:
2-1	Da	O	
2-2	dejen	B-noun.food	
2-3	var	O	
2-4	rørt	B-verb.contact	
2-5	,	O	
2-6	og	O	
2-7	panden	B-noun.artifact	
2-8	sat	B-verb.motion	
2-9	over	B-verb.PARTICLE	
2-10	,	O	
2-11	kiggede	B-verb.perception	
2-12	manden	B-noun.person	
2-13	i	O	
2-14	mit	O	
2-15	liv	B-noun.state	
2-16	på	O	
2-17	mit	O	
2-18	projekt	B-noun.act	
2-19	og	O	
2-20	spurgte	B-verb.communication	
2-21	:	O	

#id=3
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget  site.
3-1	Du	O	
3-2	kan	O	
3-3	skrive	B-verb.communication	
3-4	en	O	
3-5	kommentar	B-noun.communication	
3-6	,	O	
3-7	eller	O	
3-8	sende	B-verb.communication	
3-9	et	O	
3-10	trackback	B-noun.communication	
3-11	fra	O	
3-12	dit	O	
3-13	eget	O	
3-14	site	B-noun.communication	
3-15	.	O	

#id=4
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
4-1	Du	O	
4-2	kan	O	
4-3	skrive	B-verb.communication	
4-4	en	O	
4-5	kommentar	B-noun.communication	
4-6	,	O	
4-7	eller	O	
4-8	sende	B-verb.communication	
4-9	et	O	
4-10	trackback	B-noun.communication	
4-11	fra	O	
4-12	dit	O	
4-13	eget	O	
4-14	site	B-noun.communication	
4-15	.	O	

#id=5
#text=Detteindlæg blev udgivet den tirsdag, 13. juli 2010 kl. 12:10 og er gemt i Katte.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
5-1	Dette	O	
5-2	indlæg	B-noun.communication	
5-3	blev	O	
5-4	udgivet	B-verb.communication	
5-5	den	O	
5-6	tirsdag	B-noun.time	
5-7	,	O	
5-8	13	O	
5-9	.	O	
5-10	juli	B-noun.time	
5-11	2010	B-noun.time	
5-12	kl	O	
5-13	.	O	
5-14	12	O	
5-15	:	O	
5-16	10	O	
5-17	og	O	
5-18	er	O	
5-19	gemt	B-verb.stative	
5-20	i	O	
5-21	Katte	B-noun.communication	
5-22	.	O	
5-23	Du	O	
5-24	kan	O	
5-25	følge	B-verb.cognition	
5-26	alle	O	
5-27	svar	B-noun.communication	
5-28	til	O	
5-29	dette	O	
5-30	indlæg	B-noun.communication	
5-31	via	O	
5-32	RSS	O	
5-33	2	O	
5-34	.	O	
5-35	0	O	
5-36	-	O	
5-37	feedet	O	
5-38	.	O	

#id=6
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
6-1	Du	O	
6-2	kan	O	
6-3	skrive	B-verb.communication	
6-4	en	O	
6-5	kommentar	B-noun.communication	
6-6	,	O	
6-7	eller	O	
6-8	sende	B-verb.communication	
6-9	et	O	
6-10	trackback	B-noun.communication	
6-11	fra	O	
6-12	dit	O	
6-13	eget	O	
6-14	site	B-noun.communication	
6-15	.	O	

#id=7
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
7-1	Du	O	
7-2	kan	O	
7-3	skrive	B-verb.communication	
7-4	en	O	
7-5	kommentar	B-noun.communication	
7-6	,	O	
7-7	eller	O	
7-8	sende	B-verb.communication	
7-9	et	O	
7-10	trackback	B-noun.communication	
7-11	fra	O	
7-12	dit	O	
7-13	eget	O	
7-14	site	B-noun.communication	
7-15	.	O	

