 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Solens kærtegn har sluppet de sarte blade ud af deres skjul, og midt i det hele gemmer løfterne om kommende blomster sig.
1-1	Solens	B-noun.object	
1-2	kærtegn	B-noun.act	
1-3	har	O	
1-4	sluppet	B-verb.act	
1-5	de	O	
1-6	sarte	B-adj.all	
1-7	blade	B-noun.plant	
1-8	ud	B-verb.PARTICLE	
1-9	af	O	
1-10	deres	O	
1-11	skjul	B-noun.location	
1-12	,	O	
1-13	og	O	
1-14	midt	O	
1-15	i	O	
1-16	det	O	
1-17	hele	O	
1-18	gemmer	B-verb.stative	
1-19	løfterne	B-noun.cognition	
1-20	om	O	
1-21	kommende	B-adj.time	
1-22	blomster	B-noun.plant	
1-23	sig	O	
1-24	.	O	

#id=2
#text=En af dem, hvor vi kom ud at gå aftentur.
2-1	En	O	
2-2	af	O	
2-3	dem	O	
2-4	,	O	
2-5	hvor	O	
2-6	vi	O	
2-7	kom	O	
2-8	ud	O	
2-9	at	O	
2-10	gå	B-verb.motion	
2-11	aftentur	B-noun.act	
2-12	.	O	

#id=3
#text=FjordstiensFrederikssund-Roskilde-etape kommer nærmest gennem min baghave (hmmm, overdrivelse fremmer forståelsen men tæt på er den i hvert fald),  og det er en cykelvej, jeg slet ikke bruger, så meget som den fortjener.
3-1	Fjordstiens	B-noun.location	
3-2	Frederikssund	B-noun.location	
3-3	-	I-noun.location	
3-4	Roskilde	I-noun.location	
3-5	-	I-noun.location	
3-6	etape	I-noun.location	
3-7	kommer	B-verb.motion	
3-8	nærmest	O	
3-9	gennem	O	
3-10	min	O	
3-11	baghave	B-noun.location	
3-12	(	O	
3-13	hmmm	O	
3-14	,	O	
3-15	overdrivelse	B-noun.communication	
3-16	fremmer	B-verb.change	
3-17	forståelsen	B-noun.cognition	
3-18	men	O	
3-19	tæt	B-adj.phys	
3-20	på	O	
3-21	er	O	
3-22	den	O	
3-23	i	O	
3-24	hvert	O	
3-25	fald	O	
3-26	)	O	
3-27	,	O	
3-28	og	O	
3-29	det	O	
3-30	er	B-verb.stative	
3-31	en	O	
3-32	cykelvej	B-noun.location	
3-33	,	O	
3-34	jeg	O	
3-35	slet	O	
3-36	ikke	O	
3-37	bruger	B-verb.act	
3-38	,	O	
3-39	så	O	
3-40	meget	O	
3-41	som	O	
3-42	den	O	
3-43	fortjener	B-verb.stative	
3-44	.	O	

#id=4
#text=Teenageren har en vigtig aftale med DSB, som skal fragte hende til Aalborg på kæresteweekend i dagens anledning for den beskedne sum af 79 kr.
4-1	Teenageren	B-noun.person	
4-2	har	B-verb.communication	
4-3	en	O	
4-4	vigtig	B-adj.all	
4-5	aftale	B-noun.communication	
4-6	med	O	
4-7	DSB	B-noun.institution	
4-8	,	O	
4-9	som	O	
4-10	skal	O	
4-11	fragte	B-verb.motion	
4-12	hende	O	
4-13	til	O	
4-14	Aalborg	B-noun.location	
4-15	på	O	
4-16	kæresteweekend	B-noun.event	
4-17	i	O	
4-18	dagens	B-noun.time	
