 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Colourwalk", "One Piece Red:
1-1	Colourwalk	O	
1-2	"	O	
1-3	,	O	
1-4	"	O	
1-5	One	O	
1-6	Piece	O	
1-7	Red	O	
1-8	:	O	

#id=2
#text=Jegkunne godt lide...RAMEN NINJAS!
2-1	Jeg	O	
2-2	kunne	B-verb.emotion	
2-3	godt	O	
2-4	lide	B-verb.COLL	
2-5	.	O	
2-6	.	O	
2-7	.	O	
2-8	RAMEN	B-noun.communication	
2-9	NINJAS	I-noun.communication	
2-10	!	O	

#id=3
#text=Okayjeg skulle bare lige høre...
3-1	Okay	O	
3-2	jeg	O	
3-3	skulle	B-verb.phenomenon	
3-4	bare	O	
3-5	lige	O	
3-6	høre	B-verb.communication	
3-7	.	O	
3-8	.	O	
3-9	.	O	

#id=4
#text=FaraosCigarer sælger hele serien på tilbud for 129 kr. for tiden - det er ca. 16 kr. pr. bind!
4-1	Faraos	B-noun.institution	
4-2	Cigarer	I-noun.institution	
4-3	sælger	B-verb.possession	
4-4	hele	B-adj.phys	
4-5	serien	B-noun.artifact	
4-6	på	O	
4-7	tilbud	B-noun.possession	
4-8	for	O	
4-9	129	O	
4-10	kr	B-noun.quantity	
4-11	.	O	
4-12	for	O	
4-13	tiden	O	
4-14	-	O	
4-15	det	O	
4-16	er	B-verb.stative	
4-17	ca	O	
4-18	.	O	
4-19	16	O	
4-20	kr	B-noun.quantity	
4-21	.	O	
4-22	pr	O	
4-23	.	O	
4-24	bind	B-noun.artifact	
4-25	!	O	

#id=5
#text=Juhuuu!!endelig er forumet oppe :D Glæder mig FscKED op meget til siden er klar :)
5-1	Juhuuu	O	
5-2	!	O	
5-3	!	O	
5-4	endelig	O	
5-5	er	B-verb.stative	
5-6	forumet	B-noun.communication	
5-7	oppe	B-adj.all	
5-8	:	O	
5-9	D	O	
5-10	Glæder	B-verb.emotion	
5-11	mig	O	
5-12	FscKED	O	
5-13	op	O	
5-14	meget	O	
5-15	til	O	
5-16	siden	B-noun.communication	
5-17	er	B-verb.stative	
5-18	klar	B-adj.all	
5-19	:	O	
5-20	)	O	

#id=6
#text=Bleach:
6-1	Bleach	B-noun.communication	
6-2	:	O	

#id=7
#text=Skal man Blane sit sidedeck...
7-1	Skal	B-verb.emotion	
7-2	man	O	
7-3	Blane	B-verb.change	
7-4	sit	O	
7-5	sidedeck	B-noun.artifact	
7-6	.	O	
7-7	.	O	
7-8	.	O	

#id=8
#text=Nej,jeg mener, Sasuke og Narutos situation.
8-1	Nej	O	
8-2	,	O	
8-3	jeg	O	
8-4	mener	B-verb.cognition	
8-5	,	O	
8-6	Sasuke	B-noun.person	
8-7	og	O	
8-8	Narutos	B-noun.person	
8-9	situation	B-noun.state	
8-10	.	O	

#id=9
#text=Mener du ikke omvendt? - der er jo næsten kun udkommet shounen-manga i Danmark.
9-1	Mener	B-verb.cognition	
9-2	du	O	
9-3	ikke	O	
9-4	omvendt	O	
9-5	?	O	
9-6	-	O	
9-7	der	O	
