 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Verner Møller, Odense, 47, professor Erik Steffensen, København, 48, fhv. landsholdsspiller Jesper Olsen, England, 48, troubadur, fysioterapeut, Jens Ole Pihl, Sønderborg, 49.
1-1	Verner	verne	NC:piu#:--:----	O	
1-2	Møller	Møller	NP:siu#:--:----	B-noun.person	
1-3	,	,	ZD	O	
1-4	Odense	Odense	NP:siu#:--:----	O	
1-5	,	,	ZD	O	
1-6	47	47	LC:--u-:--:----	O	
1-7	,	,	ZD	O	
1-8	professor	professor	NC:siuc:--:----	B-noun.communication|B-noun.person	
1-9	Erik	Erik	NP:siu#:--:----	O	
1-10	Steffensen	Steffensen	NP:siu#:--:----	O	
1-11	,	,	ZD	O	
1-12	København	København	NP:siu#:--:----	O	
1-13	,	,	ZD	O	
1-14	48	48	LC:--u-:--:----	O	
1-15	,	,	ZD	O	
1-16	fhv	fhv	XS:----:--:----	O	
1-17	.	.	ZP	O	
1-18	landsholdsspiller	landsholdsspiller	NC:siuc:--:----	B-noun.person	
1-19	Jesper	Jesper	NP:siu#:--:----	O	
1-20	Olsen	Olsen	NP:siu#:--:----	O	
1-21	,	,	ZD	O	
1-22	England	England	NP:siu#:--:----	O	
1-23	,	,	ZD	O	
1-24	48	48	LC:--u-:--:----	O	
1-25	,	,	ZD	O	
1-26	troubadur	troubadur	NC:siuc:--:----	O	
1-27	,	,	ZD	O	
1-28	fysioterapeut	fysioterapeut	NC:siuc:--:----	B-noun.person	
1-29	,	,	ZD	O	
1-30	Jens	Jens	NP:siu#:--:----	B-noun.person	
1-31	Ole	Ole	NP:siu#:--:----	O	
1-32	Pihl	Pihl	NP:siu#:--:----	O	
1-33	,	,	ZD	O	
1-34	Sønderborg	Sønderborg	NP:siu#:--:----	O	
1-35	,	,	ZD	O	
1-36	49	49	LC:--u-:--:----	O	
1-37	.	.	ZP	O	

#id=2
#text="Hvis man er fan af den amerikanske baseballiga, så pletter det en æra i nogen grad", siger Barack Obama efter Sports Illustrated har afsløret, at Rodriguez er en 104 spillere, der i 2003 tog steroider.
2-1	"	"	ZI	O	
2-2	Hvis	hvis	CS:----:--:----	O	
2-3	man	man	PI:#-uc:--:----	O	
2-4	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
2-5	fan	fan	NC:siuc:--:----	B-noun.person	
2-6	af	af	T-:----:--:----	O	
2-7	den	den	PM:s-uc:--:----	O	
2-8	amerikanske	amerikansk	AC:sdu#:--:p---	B-adj.social	
2-9	baseballiga	baseballiga	NC:siuc:--:----	O	
2-10	,	,	ZD	O	
2-11	så	så	D-:----:--:u---	O	
2-12	pletter	plette	VF:----:sa:----	B-verb.phenomenon|B-verb.act	
2-13	det	det	PP:s-un:--:-3n-	O	
2-14	en	en	PI:s-uc:--:----	O	
2-15	æra	æra	NC:siuc:--:----	B-noun.time	
2-16	i	i	T-:----:--:----	O	
2-17	nogen	nogen	PI:s-uc:--:----	O	
2-18	grad	grad	NC:siuc:--:----	B-noun.communication|B-noun.quantity	
2-19	"	"	ZI	O	
2-20	,	,	ZD	O	
2-21	siger	sige	VF:----:sa:----	B-verb.cognition|B-verb.communication|B-verb.phenomenon	
2-22	Barack	Barack	NP:siu#:--:----	O	
2-23	Obama	Obama	NP:siu#:--:----	O	
2-24	efter	efter	T-:----:--:----	O	
2-25	Sports	sport	NC:sigc:--:----	B-noun.act	
2-26	Illustrated	Illustrated	NP:siu#:--:----	O	
2-27	har	have	VF:----:sa:----	B-verb.perception|B-verb.act|B-on|B-verb.cognition|B-verb.phenomenon|B-verb.TOP	
2-28	afsløret	afsløre	VT:siu#:t-:----	B-verb.change|B-verb.cognition|B-verb.act|B-verb.motion	
2-29	,	,	ZD	O	
2-30	at	at	CS:----:--:----	O	
2-31	Rodriguez	Rodriguez	NP:siu#:--:----	O	
2-32	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
2-33	en	en	PI:s-uc:--:----	O	
2-34	104	104	LC:--u-:--:----	O	
2-35	spillere	spiller	NC:piu#:--:----	B-noun.artifact|B-noun.person	
2-36	,	,	ZD	O	
2-37	der	der	US:----:--:----	O	
2-38	i	i	T-:----:--:----	O	
2-39	2003	2003	LC:--u-:--:----	O	
2-40	tog	tog	NC:piu#:--:----	B-noun.vehicle|B-noun.person	
2-41	steroider	steroid	NC:piu#:--:----	O	
2-42	.	.	ZP	O	

#id=3
#text=Deresejendommelige arkitektur, der favner flere offentlige institutioner, ligger som en skarpt tegnet landskabelig struktur på kanten af Ordrup Park.
3-1	Deres	deres	PO:#--#:--:-3np	O	
3-2	ejendommelige	ejendommelig	AC:sdu#:--:p---	B-adj.all	
3-3	arkitektur	arkitektur	NC:siuc:--:----	B-noun.domain	
3-4	,	,	ZD	O	
3-5	der	der	US:----:--:----	O	
3-6	favner	favne	VF:----:sa:----	O	
3-7	flere	mange	AC:##u#:--:c---	O	
3-8	offentlige	offentlig	AC:p#u#:--:p---	B-adj.social	
3-9	institutioner	institution	NC:piu#:--:----	B-noun.institution|B-noun.building|B-noun.person|B-noun.cognition	
3-10	,	,	ZD	O	
3-11	ligger	ligge	VF:----:sa:----	B-verb.stative|B-verb.act|B-verb.motion	
3-12	som	som	US:----:--:----	O	
3-13	en	en	PI:s-uc:--:----	O	
3-14	skarpt	skarp	AD:----:--:p---	B-adj.phys|B-adj.mental	
