 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Så både de og bilen måtte bugseres retur til Østerbro, og der er udsigt til en klækkelig mekanikerregning.
1-1	Så	O	
1-2	både	O	
1-3	de	O	
1-4	og	O	
1-5	bilen	B-noun.vehicle	
1-6	måtte	O	
1-7	bugseres	B-verb.motion	
1-8	retur	O	
1-9	til	O	
1-10	Østerbro	B-noun.location	
1-11	,	O	
1-12	og	O	
1-13	der	O	
1-14	er	B-verb.stative	
1-15	udsigt	B-noun.phenomenon	
1-16	til	O	
1-17	en	O	
1-18	klækkelig	B-adj.phys	
1-19	mekanikerregning	B-noun.possession	
1-20	.	O	

#id=2
#text=Tags:nørderi, olivenbrød, rødbedesalat med avocado, Væksthus Hovedstadsregionen
2-1	Tags	B-noun.attribute	
2-2	:	O	
2-3	nørderi	B-noun.act	
2-4	,	O	
2-5	olivenbrød	B-noun.food	
2-6	,	O	
2-7	rødbedesalat	B-noun.food	
2-8	med	O	
2-9	avocado	B-noun.food	
2-10	,	O	
2-11	Væksthus	B-noun.building	
2-12	Hovedstadsregionen	I-noun.building	

#id=3
#text=Men det er der en rigtig god grund til (altså ud over den, der hedder arbejde ).
3-1	Men	O	
3-2	det	O	
3-3	er	B-verb.stative	
3-4	der	O	
3-5	en	O	
3-6	rigtig	O	
3-7	god	B-adj.all	
3-8	grund	B-noun.motive	
3-9	til	O	
3-10	(	O	
3-11	altså	O	
3-12	ud	O	
3-13	over	O	
3-14	den	O	
3-15	,	O	
3-16	der	O	
3-17	hedder	B-verb.stative	
3-18	arbejde	B-noun.act	
3-19	)	O	
3-20	.	O	

#id=4
#text=Hurra!!
4-1	Hurra	O	
4-2	!	O	
4-3	!	O	

#id=5
#text=Helt inde bagerst i højre overmund.
5-1	Helt	O	
5-2	inde	O	
5-3	bagerst	O	
5-4	i	O	
5-5	højre	O	
5-6	overmund	B-noun.body	
5-7	.	O	

#id=6
#text= Der var ikke mange.
6-1	Der	O	
6-2	var	B-verb.stative	
6-3	ikke	O	
6-4	mange	O	
6-5	.	O	

#id=7
#text=Koldtvand er godt til bagning kan man læse på tjek på politiken.dk i en artikel, som bl.a. indeholder den indlysende udtalelse:
7-1	Koldt	B-adj.phys	
7-2	vand	B-noun.substance	
7-3	er	B-verb.stative	
7-4	godt	B-adj.all	
7-5	til	O	
7-6	bagning	B-noun.act	
7-7	kan	O	
7-8	man	O	
7-9	læse	B-verb.cognition	
7-10	på	O	
7-11	tjek	B-noun.communication	
7-12	på	O	
7-13	politiken	B-noun.communication	
7-14	.	I-noun.communication	
7-15	dk	I-noun.communication	
7-16	i	O	
7-17	en	O	
7-18	artikel	B-noun.communication	
7-19	,	O	
7-20	som	O	
7-21	bl	O	
7-22	.	O	
7-23	a	O	
7-24	.	O	
7-25	indeholder	B-verb.stative	
7-26	den	O	
7-27	indlysende	B-adj.mental	
7-28	udtalelse	B-noun.communication	
7-29	:	O	

#id=8
#text=PåFreakonomics har økonomiprofessor Steven Levitt (humoristisk) skrevet om undersøgelsen, og det har udløst debat.
8-1	På	O	
8-2	Freakonomics	B-noun.communication	
8-3	har	O	
8-4	økonomiprofessor	B-noun.person	
8-5	Steven	B-noun.person	
8-6	Levitt	I-noun.person	
8-7	(	O	
8-8	humoristisk	B-adj.all	
8-9	)	O	
8-10	skrevet	B-verb.creation	
8-11	om	O	
8-12	undersøgelsen	B-noun.cognition	
8-13	,	O	
8-14	og	O	
8-15	det	O	
8-16	har	O	
8-17	udløst	B-verb.aspectual	
8-18	debat	B-noun.communication	
8-19	.	O	

#id=9
#text=Togange på to dage er jeg nu stødt på pudsigheder, som enhver årvågen korrekturlæser burde have fanget.
9-1	To	O	
9-2	gange	B-noun.quantity	
9-3	på	O	
9-4	to	O	
9-5	dage	B-noun.time	
9-6	er	O	
9-7	jeg	O	
9-8	nu	O	
9-9	stødt	B-verb.phenomenon	
9-10	på	O	
9-11	pudsigheder	B-noun.phenomenon	
9-12	,	O	
9-13	som	O	
9-14	enhver	O	
9-15	årvågen	B-adj.mental	
9-16	korrekturlæser	B-noun.person	
9-17	burde	O	
9-18	have	O	
9-19	fanget	B-verb.cognition	
9-20	.	O	

#id=10
#text=Du kan skrive en kommentar, eller sende et trackback fra dit eget site.
10-1	Du	O	
10-2	kan	O	
10-3	skrive	B-verb.communication	
10-4	en	O	
10-5	kommentar	B-noun.communication	
10-6	,	O	
10-7	eller	O	
10-8	sende	B-verb.communication	
10-9	et	O	
10-10	trackback	B-noun.communication	
10-11	fra	O	
10-12	dit	O	
10-13	eget	O	
10-14	site	B-noun.communication	
10-15	.	O	

#id=11
#text=Detteindlæg blev udgivet den fredag, 18. juni 2010 kl. 18:00 og er gemt i Min have.Du kan følge alle svar til dette indlæg via RSS 2.0-feedet.
11-1	Dette	O	
11-2	indlæg	B-noun.communication	
11-3	blev	O	
11-4	udgivet	B-verb.communication	
11-5	den	O	
11-6	fredag	B-noun.time	
11-7	,	O	
11-8	18	O	
11-9	.	O	
11-10	juni	B-noun.time	
11-11	2010	B-noun.time	
11-12	kl	O	
11-13	.	O	
11-14	18	O	
11-15	:	O	
11-16	00	O	
11-17	og	O	
11-18	er	O	
11-19	gemt	B-verb.act	
11-20	i	O	
11-21	Min	B-noun.domain	
11-22	have	I-noun.domain	
11-23	.	O	
11-24	Du	O	
11-25	kan	O	
11-26	følge	B-verb.cognition	
11-27	alle	O	
11-28	svar	B-noun.communication	
11-29	til	O	
11-30	dette	O	
11-31	indlæg	B-noun.communication	
11-32	via	O	
11-33	RSS	B-noun.communication	
11-34	2	I-noun.communication	
11-35	.	I-noun.communication	
11-36	0	I-noun.communication	
11-37	-	I-noun.communication	
11-38	feedet	I-noun.communication	
11-39	.	O	

#id=12
#text=Nu kom det jo til at handle om mad igen .
12-1	Nu	O	
12-2	kom	O	
12-3	det	O	
12-4	jo	O	
12-5	til	O	
12-6	at	O	
12-7	handle	B-verb.stative	
12-8	om	O	
12-9	mad	B-noun.food	
12-10	igen	O	
12-11	.	O	

#id=13
#text=Selv om jeg ved, at det kan bruges til meget andet, fx deltagelse i grupper om diverse emner, brancher osv.
13-1	Selv	O	
13-2	om	O	
13-3	jeg	O	
13-4	ved	B-verb.cognition	
13-5	,	O	
13-6	at	O	
13-7	det	O	
13-8	kan	O	
13-9	bruges	B-verb.act	
13-10	til	O	
13-11	meget	O	
13-12	andet	O	
13-13	,	O	
13-14	fx	O	
13-15	deltagelse	B-noun.act	
13-16	i	O	
13-17	grupper	B-noun.person	
13-18	om	O	
13-19	diverse	O	
13-20	emner	B-noun.domain	
13-21	,	O	
13-22	brancher	B-noun.domain	
13-23	osv	O	
13-24	.	O	

#id=14
#text=Masseraf gange har jeg læst begejstrede ord om Jussi Adler-Olsens bøger bl.a. her  i blogland.
14-1	Masser	B-noun.quantity	
14-2	af	O	
14-3	gange	B-noun.quantity	
14-4	har	O	
14-5	jeg	O	
14-6	læst	B-verb.cognition	
14-7	begejstrede	B-adj.mental	
14-8	ord	B-noun.communication	
14-9	om	O	
14-10	Jussi	B-noun.person	
14-11	Adler	I-noun.person	
14-12	-	I-noun.person	
14-13	Olsens	I-noun.person	
14-14	bøger	B-noun.communication	
14-15	bl	O	
14-16	.	O	
14-17	a	O	
14-18	.	O	
14-19	her	O	
14-20	i	O	
14-21	blogland	B-noun.communication	
14-22	.	O	

#id=15
#text=Hårdt.
15-1	Hårdt	B-adj.phys	
15-2	.	O	

#id=16
#text=Sådet var et tiltrængt udslag af fornuft, der fik manden i mit liv og mig  til at planlægge en tur i fitnesscenter i dag efter arbejde.
16-1	Så	O	
16-2	det	O	
16-3	var	B-verb.stative	
16-4	et	O	
16-5	tiltrængt	B-adj.all	
16-6	udslag	B-noun.TOP	
16-7	af	O	
16-8	fornuft	B-noun.feeling	
16-9	,	O	
16-10	der	O	
16-11	fik	O	
16-12	manden	B-noun.person	
16-13	i	O	
16-14	mit	O	
16-15	liv	B-noun.state	
16-16	og	O	
16-17	mig	O	
16-18	til	O	
16-19	at	O	
16-20	planlægge	B-verb.cognition	
16-21	en	O	
16-22	tur	B-noun.event	
16-23	i	O	
16-24	fitnesscenter	B-noun.building	
16-25	i	O	
16-26	dag	B-noun.time	
16-27	efter	O	
16-28	arbejde	B-noun.act	
16-29	.	O	

#id=17
#text=Førstfik vi lige lidt mere kunst med på vejen på Spars parkeringsplads ved beklageligvis ikke, hvem kunstneren er.
17-1	Først	O	
17-2	fik	O	
17-3	vi	O	
17-4	lige	O	
17-5	lidt	O	
17-6	mere	O	
17-7	kunst	B-noun.artifact	
17-8	med	O	
17-9	på	O	
17-10	vejen	B-noun.location	
17-11	på	O	
17-12	Spars	B-noun.institution	
17-13	parkeringsplads	B-noun.location	
17-14	ved	B-verb.cognition	
17-15	beklageligvis	O	
17-16	ikke	O	
17-17	,	O	
17-18	hvem	O	
17-19	kunstneren	B-noun.person	
17-20	er	B-verb.stative	
17-21	.	O	

#id=18
#text=Derfor må her fx gerne bo et sammenbragt miks af sofaer, for de taler jo deres tydelige sprog om, at vi også er et sammenbragt miks af mennesker.
18-1	Derfor	O	
18-2	må	O	
18-3	her	O	
18-4	fx	O	
18-5	gerne	O	
18-6	bo	B-verb.stative	
18-7	et	O	
18-8	sammenbragt	B-adj.phys	
18-9	miks	B-noun.group	
18-10	af	O	
18-11	sofaer	B-noun.artifact	
18-12	,	O	
18-13	for	O	
18-14	de	O	
18-15	taler	B-verb.communication	
18-16	jo	O	
18-17	deres	O	
18-18	tydelige	B-adj.all	
