 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Begge brødre led martyrdøden ved halshugning .
1-1	Begge	O	
1-2	brødre	B-noun.person	
1-3	led	B-verb.phenomenon	
1-4	martyrdøden	B-noun.phenomenon	
1-5	ved	O	
1-6	halshugning	B-noun.act	
1-7	.	O	

#id=2
#text=( sko ) .
2-1	(	O	
2-2	sko	B-noun.artifact	
2-3	)	O	
2-4	.	O	

#id=3
#text=1
3-1	1	O	

#id=4
#text=Det er , hvad de er udviklet til at kunne .
4-1	Det	O	
4-2	er	B-verb.stative	
4-3	,	O	
4-4	hvad	O	
4-5	de	O	
4-6	er	O	
4-7	udviklet	B-verb.creation	
4-8	til	O	
4-9	at	O	
4-10	kunne	B-verb.stative	
4-11	.	O	

#id=5
#text=Svar :
5-1	Svar	O	
5-2	:	O	

#id=6
#text=Siden har Depeche Mode med ' Sounds Of The Universe ' , som udkommer mandag , udgivet 12 studiealbum , 4 greatest hitsopsamlinger og et remix - album .
6-1	Siden	O	
6-2	har	O	
6-3	Depeche	B-noun.person	
6-4	Mode	I-noun.person	
6-5	med	O	
6-6	'	O	
6-7	Sounds	B-noun.communication	
6-8	Of	I-noun.communication	
6-9	The	I-noun.communication	
6-10	Universe	I-noun.communication	
6-11	'	I-noun.communication	
6-12	,	O	
6-13	som	O	
6-14	udkommer	B-verb.change	
6-15	mandag	B-noun.time	
6-16	,	O	
6-17	udgivet	B-verb.communication	
6-18	12	O	
6-19	studiealbum	B-noun.communication	
6-20	,	O	
6-21	4	O	
6-22	greatest	B-noun.communication	
6-23	hitsopsamlinger	I-noun.communication	
6-24	og	O	
6-25	et	O	
6-26	remix	B-noun.communication	
6-27	-	I-noun.communication	
6-28	album	I-noun.communication	
6-29	.	O	

#id=7
#text=Der er næsten ingen grænser for , hvad danskerne vil anmelde stjålet på nettet .
7-1	Der	O	
7-2	er	B-verb.stative	
7-3	næsten	O	
7-4	ingen	O	
7-5	grænser	B-noun.abstract	
7-6	for	O	
7-7	,	O	
7-8	hvad	O	
7-9	danskerne	B-noun.person	
7-10	vil	O	
7-11	anmelde	B-verb.communication	
7-12	stjålet	B-adj.all	
7-13	på	O	
7-14	nettet	B-noun.communication	
7-15	.	O	

#id=8
#text=Men den historie giver præsidenten for Det Rumænske Håndboldforbund ikke meget for .
8-1	Men	O	
8-2	den	O	
8-3	historie	B-noun.communication	
8-4	giver	B-verb.cognition	
8-5	præsidenten	B-noun.person	
8-6	for	O	
8-7	Det	B-noun.institution	
8-8	Rumænske	I-noun.institution	
8-9	Håndboldforbund	I-noun.institution	
8-10	ikke	B-verb.COLL	
8-11	meget	B-verb.COLL	
8-12	for	B-verb.COLL	
8-13	.	O	

#id=9
#text=Det viser en test af forme til muffins , som Karolines Køkken i Århus har foretaget for Politikens forbrugersite , Tjek . dk , ved at bage sig igennem syv forme .
9-1	Det	O	
9-2	viser	B-verb.communication	
9-3	en	O	
