 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=IHolstebro tør de ikke lade en skulptur stå ude om natten.
1-1	I	O	
1-2	Holstebro	B-noun.location	
1-3	tør	B-verb.emotion	
1-4	de	O	
1-5	ikke	O	
1-6	lade	B-verb.phenomenon	
1-7	en	O	
1-8	skulptur	B-noun.artifact	
1-9	stå	B-verb.stative	
1-10	ude	O	
1-11	om	O	
1-12	natten	B-noun.time	
1-13	.	O	

#id=2
#text=Drengenbetragtes af politiet som farlig, og derfor blev han efterlyst med navn og billede, selv om retten har nedlagt navneforbud.
2-1	Drengen	B-noun.person	
2-2	betragtes	B-verb.cognition	
2-3	af	O	
2-4	politiet	B-noun.institution	
2-5	som	O	
2-6	farlig	B-adj.all	
2-7	,	O	
2-8	og	O	
2-9	derfor	O	
2-10	blev	O	
2-11	han	O	
2-12	efterlyst	B-verb.communication	
2-13	med	O	
2-14	navn	B-noun.attribute	
2-15	og	O	
2-16	billede	B-noun.artifact	
2-17	,	O	
2-18	selv	O	
2-19	om	O	
2-20	retten	B-noun.institution	
2-21	har	O	
2-22	nedlagt	B-verb.act	
2-23	navneforbud	B-noun.act	
2-24	.	O	

#id=3
#text=4.
3-1	4	O	
3-2	.	O	

#id=4
#text=30-årige Staal har i denne sæson været på isen for HV 71, der netop har hentet sølv i den svenske eliteserie, men nu trækker hans gamle klub med et attraktivt tilbud.
4-1	30	B-adj.phys	
4-2	-	I-adj.phys	
4-3	årige	I-adj.phys	
4-4	Staal	B-noun.person	
4-5	har	O	
4-6	i	O	
4-7	denne	O	
4-8	sæson	B-noun.time	
4-9	været	B-verb.stative	
4-10	på	O	
4-11	isen	B-noun.substance	
4-12	for	O	
4-13	HV	B-noun.person	
4-14	71	I-noun.person	
4-15	,	O	
4-16	der	O	
4-17	netop	O	
4-18	har	O	
4-19	hentet	B-verb.possession	
4-20	sølv	B-noun.artifact	
4-21	i	O	
4-22	den	O	
4-23	svenske	B-adj.social	
4-24	eliteserie	B-noun.domain	
4-25	,	O	
4-26	men	O	
4-27	nu	O	
4-28	trækker	B-verb.phenomenon	
4-29	hans	O	
4-30	gamle	B-adj.time	
4-31	klub	B-noun.person	
4-32	med	O	
4-33	et	O	
4-34	attraktivt	B-adj.all	
4-35	tilbud	B-noun.possession	
4-36	.	O	

#id=5
#text=Til den tid forventer regionen at have været igennem en ny udbudsrunde, skriver Dagbladet Ringsted og Sjællandske.
5-1	Til	O	
5-2	den	O	
5-3	tid	B-noun.time	
5-4	forventer	B-verb.cognition	
5-5	regionen	B-noun.institution	
5-6	at	O	
5-7	have	O	
5-8	været	B-verb.stative	
5-9	igennem	B-verb.PARTICLE	
5-10	en	O	
5-11	ny	B-adj.time	
5-12	udbudsrunde	B-noun.event	
5-13	,	O	
5-14	skriver	B-verb.communication	
5-15	Dagbladet	B-noun.communication	
5-16	Ringsted	I-noun.communication	
5-17	og	I-noun.communication	
5-18	Sjællandske	I-noun.communication	
5-19	.	O	

#id=6
#text=Ja, det var åbenlyst for alle i den tribunebuldrende hal i den  kroatiske havneby Porec:
6-1	Ja	O	
6-2	,	O	
6-3	det	O	
6-4	var	B-verb.stative	
6-5	åbenlyst	B-adj.mental	
6-6	for	O	
6-7	alle	B-noun.person	
6-8	i	O	
6-9	den	O	
6-10	tribunebuldrende	B-adj.phys	
6-11	hal	B-noun.building	
6-12	i	O	
6-13	den	O	
6-14	kroatiske	B-adj.social	
6-15	havneby	B-noun.location	
6-16	Porec	B-noun.location	
6-17	:	O	

#id=7
#text="Vived godt, at vi er de bedste.
7-1	"	O	
7-2	Vi	O	
7-3	ved	B-verb.cognition	
7-4	godt	O	
7-5	,	O	
7-6	at	O	
7-7	vi	O	
7-8	er	B-verb.stative	
7-9	de	O	
7-10	bedste	B-noun.person	
7-11	.	O	

#id=8
#text=Det er blevet til en serie grafiske kunsttryk, der hver især er produceret i et oplag på 2.000 stk. "Som fagnørder i begge verdener har  vi lagt vægt på et grafisk kunsttryk af høj håndværksmæssig kvalitet", fortæller Anders
8-1	Det	O	
8-2	er	O	
8-3	blevet	B-verb.stative	
8-4	til	O	
8-5	en	O	
8-6	serie	B-noun.quantity	
8-7	grafiske	B-adj.phys	
8-8	kunsttryk	B-noun.artifact	
8-9	,	O	
8-10	der	O	
8-11	hver	O	
8-12	især	O	
8-13	er	O	
8-14	produceret	B-verb.creation	
8-15	i	O	
8-16	et	O	
8-17	oplag	B-noun.quantity	
8-18	på	O	
8-19	2	O	
8-20	.	O	
8-21	000	O	
8-22	stk	O	
8-23	.	O	
8-24	"	O	
8-25	Som	O	
8-26	fagnørder	B-noun.person	
8-27	i	O	
8-28	begge	O	
8-29	verdener	B-noun.domain	
8-30	har	O	
8-31	vi	O	
8-32	lagt	B-verb.cognition	
8-33	vægt	B-verb.COLL	
8-34	på	B-verb.COLL	
8-35	et	O	
8-36	grafisk	B-adj.phys	
8-37	kunsttryk	B-noun.artifact	
8-38	af	O	
8-39	høj	B-adj.all	
8-40	håndværksmæssig	B-adj.all	
8-41	kvalitet	B-noun.attribute	
8-42	"	O	
8-43	,	O	
8-44	fortæller	B-verb.communication	
8-45	Anders	B-noun.person	

#id=9
#text=Overfaldsmanden bøjer sig over ham og siger:
9-1	Overfaldsmanden	B-noun.person	
9-2	bøjer	B-verb.motion	
9-3	sig	B-verb.REFLPRON	
9-4	over	O	
9-5	ham	O	
9-6	og	O	
9-7	siger	B-verb.communication	
9-8	:	O	

#id=10
#text=Det skulle have stået "lidt mere end halvdelen".
10-1	Det	O	
10-2	skulle	B-verb.emotion	
10-3	have	O	
10-4	stået	B-verb.stative	
10-5	"	O	
10-6	lidt	O	
10-7	mere	O	
10-8	end	O	
10-9	halvdelen	B-noun.quantity	
10-10	"	O	
10-11	.	O	

#id=11
#text=Derer ingen tvivl om, at samtidsforfattere, som kan ramme et stort publikum, også fremover vil få tilbudt store forskud", mener Hans Henrik Schwab.
11-1	Der	O	
11-2	er	B-verb.stative	
11-3	ingen	O	
11-4	tvivl	B-noun.cognition	
11-5	om	O	
11-6	,	O	
11-7	at	O	
11-8	samtidsforfattere	B-noun.person	
11-9	,	O	
11-10	som	O	
11-11	kan	B-verb.emotion	
11-12	ramme	B-verb.act	
11-13	et	O	
11-14	stort	B-adj.phys	
11-15	publikum	B-noun.person	
11-16	,	O	
11-17	også	O	
11-18	fremover	O	
11-19	vil	O	
11-20	få	O	
11-21	tilbudt	B-verb.communication	
11-22	store	B-adj.phys	
11-23	forskud	B-noun.possession	
11-24	"	O	
11-25	,	O	
11-26	mener	B-verb.cognition	
11-27	Hans	B-noun.person	
11-28	Henrik	I-noun.person	
